"Порядковый номер";"Приоритет конкурса";"Подано согласие";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"2";"—";"50000";"-";"50000";"Ожидание результатов ВИ";"2310163";"—"
"2";"1";"Электронное";"50000";"-";"50000";"Ожидание результатов ВИ";"2006049";"—"
"3";"8";"Электронное";"50000";"-";"50000";"Ожидание результатов ВИ";"1901368";"—"
"4";"2";"—";"45000";"-";"45000";"Ожидание результатов ВИ";"1771231";"—"
"5";"5";"—";"45000";"-";"45000";"Ожидание результатов ВИ";"1856364";"—"
"6";"11";"—";"43000";"-";"43000";"Ожидание результатов ВИ";"2142548";"—"
"7";"3";"Электронное";"40000";"-";"40000";"Ожидание результатов ВИ";"2181043";"—"
"8";"3";"—";"40000";"-";"40000";"Ожидание результатов ВИ";"1891393";"—"
"9";"1";"—";"40000";"-";"40000";"Ожидание результатов ВИ";"997370";"—"
"10";"24";"Электронное";"40000";"-";"40000";"Ожидание результатов ВИ";"2311893";"—"
"11";"1";"Электронное";"40000";"-";"40000";"Ожидание результатов ВИ";"1855178";"—"
"12";"9";"Электронное";"40000";"-";"40000";"Ожидание результатов ВИ";"2314256";"—"
"13";"1";"—";"40000";"-";"40000";"Ожидание результатов ВИ";"2426326";"—"
"14";"1";"—";"40000";"-";"40000";"Ожидание результатов ВИ";"1900918";"—"
"15";"11";"—";"40000";"-";"40000";"Ожидание результатов ВИ";"1972138";"—"
"16";"3";"—";"40000";"-";"40000";"Ожидание результатов ВИ";"1962419";"—"
"17";"4";"—";"40000";"-";"40000";"Ожидание результатов ВИ";"1990488";"—"
"18";"4";"—";"40000";"-";"40000";"Ожидание результатов ВИ";"2053380";"—"
"19";"16";"—";"40000";"-";"40000";"Ожидание результатов ВИ";"2101723";"—"
"20";"1";"—";"40000";"-";"40000";"Ожидание результатов ВИ";"2077514";"—"
"21";"1";"—";"40000";"-";"40000";"Ожидание результатов ВИ";"2186189";"—"
"22";"3";"—";"40000";"-";"40000";"Ожидание результатов ВИ";"1962420";"—"
"23";"12";"—";"40000";"-";"40000";"Ожидание результатов ВИ";"2176738";"—"
"24";"3";"Электронное";"40000";"-";"40000";"Ожидание результатов ВИ";"2210468";"—"
"25";"2";"Электронное";"40000";"-";"40000";"Ожидание результатов ВИ";"2240040";"—"
"26";"1";"Электронное";"35000";"-";"35000";"Ожидание результатов ВИ";"1127378";"—"
"27";"2";"—";"35000";"-";"35000";"Ожидание результатов ВИ";"2046504";"—"
"28";"13";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"1844346";"—"
"29";"3";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2099631";"—"
"31";"5";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2206607";"—"
"33";"5";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2206716";"—"
"34";"1";"Электронное";"25000";"-";"25000";"Ожидание результатов ВИ";"2243599";"—"
"35";"7";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"1901414";"—"
"36";"4";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2044638";"—"
"37";"7";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2363771";"—"
"38";"8";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2314832";"—"
"39";"4";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2352975";"—"
"40";"4";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"1245891";"—"
"41";"7";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"1169362";"—"
"42";"3";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2352659";"—"
"43";"5";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"1024649";"—"
"44";"1";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"1792726";"—"
"45";"9";"Электронное";"25000";"-";"25000";"Ожидание результатов ВИ";"1973207";"—"
"46";"4";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"1900817";"—"
"47";"7";"Электронное";"25000";"-";"25000";"Ожидание результатов ВИ";"2000173";"—"
"48";"4";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"1995122";"—"
"49";"2";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"1994305";"—"
"50";"10";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"1985268";"—"
"51";"1";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"1980856";"—"
"53";"34";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2056013";"—"
"54";"2";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2356094";"—"
