"Порядковый номер";"Приоритет конкурса";"Подано согласие";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"5";"—";"291000";"94 96 91";"10000";"Участвует в конкурсе";"2002346";"—"
"2";"1";"—";"279000";"92 88 89";"10000";"Участвует в конкурсе";"1461437";"—"
"3";"1";"—";"273000";"92 82 89";"10000";"Участвует в конкурсе";"942049";"—"
"4";"2";"—";"263000";"86 96 81";"—";"Участвует в конкурсе";"1396342";"—"
"5";"6";"—";"261000";"82 80 89";"10000";"Участвует в конкурсе";"2095431";"—"
"7";"1";"—";"256000";"80 80 86";"10000";"Участвует в конкурсе";"1177155";"—"
"8";"3";"Электронное";"251000";"92 82 72";"5000";"Участвует в конкурсе";"1609241";"—"
"9";"1";"—";"250000";"77 96 72";"5000";"Участвует в конкурсе";"2278987";"—"
"10";"3";"—";"247000";"76 86 75";"10000";"Участвует в конкурсе";"1064017";"—"
"11";"7";"—";"247000";"74 82 81";"10000";"Участвует в конкурсе";"2179346";"—"
"12";"2";"—";"246000";"79 76 81";"10000";"Участвует в конкурсе";"1682374";"—"
"13";"1";"—";"245000";"74 86 75";"10000";"Участвует в конкурсе";"1409832";"—"
"14";"5";"—";"243000";"68 86 89";"—";"Участвует в конкурсе";"1845255";"—"
"15";"1";"—";"234000";"85 76 73";"—";"Участвует в конкурсе";"2156056";"—"
"16";"1";"—";"228000";"71 74 83";"—";"Участвует в конкурсе";"2285078";"—"
"17";"2";"—";"226000";"76 72 78";"—";"Участвует в конкурсе";"1358929";"—"
"18";"1";"—";"199000";"64 72 60";"3000";"Участвует в конкурсе";"1130367";"—"
"19";"1";"—";"199000";"58 64 69";"8000";"Участвует в конкурсе";"2264522";"—"
"20";"5";"—";"198000";"62 78 58";"—";"Участвует в конкурсе";"1979125";"—"
"23";"1";"—";"172000";"68 52 52";"—";"Участвует в конкурсе";"1205349";"—"
"24";"5";"—";"149000";"49 58 42";"—";"Участвует в конкурсе";"2237539";"—"
"25";"6";"Электронное";"145000";"44 46 55";"—";"Участвует в конкурсе";"1422782";"—"
