"Порядковый номер";"Приоритет конкурса";"Подано согласие";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"3";"Электронное";"1000";"x x x";"10000";"Участвует в конкурсе";"2364971";"—"
"2";"1";"—";"1000";"x x x";"10000";"Участвует в конкурсе";"1265789";"—"
"4";"3";"—";"1000";"x x x";"—";"Участвует в конкурсе";"1211513";"—"
"9";"15";"—";"299000";"100 92 97";"10000";"Участвует в конкурсе";"1473705";"—"
"10";"3";"—";"285000";"92 86 97";"10000";"Участвует в конкурсе";"2306608";"—"
"11";"1";"—";"278000";"86 88 94";"10000";"Участвует в конкурсе";"1265780";"—"
"12";"3";"Электронное";"273000";"88 86 89";"10000";"Участвует в конкурсе";"1389174";"—"
"13";"3";"—";"268000";"100 86 72";"10000";"Участвует в конкурсе";"1540877";"—"
"14";"3";"—";"267000";"96 78 83";"10000";"Участвует в конкурсе";"1464819";"—"
"15";"1";"Электронное";"261000";"84 80 94";"3000";"Участвует в конкурсе";"1624302";"—"
"17";"1";"—";"247000";"79 80 83";"5000";"Участвует в конкурсе";"1617324";"—"
"19";"1";"—";"244000";"71 88 75";"10000";"Участвует в конкурсе";"1515242";"—"
"20";"12";"Электронное";"243000";"86 75 72";"10000";"Участвует в конкурсе";"2148449";"—"
"22";"3";"Электронное";"240000";"72 74 84";"10000";"Участвует в конкурсе";"1360972";"—"
"23";"4";"—";"237000";"88 86 63";"—";"Участвует в конкурсе";"2271721";"—"
"24";"2";"—";"237000";"74 78 75";"10000";"Участвует в конкурсе";"1718215";"—"
"25";"5";"Электронное";"236000";"71 84 81";"—";"Участвует в конкурсе";"2311177";"—"
"26";"5";"—";"234000";"79 86 67";"2000";"Участвует в конкурсе";"1717276";"—"
"28";"3";"—";"232000";"71 78 83";"—";"Участвует в конкурсе";"1857284";"—"
"29";"1";"Электронное";"230000";"74 80 66";"10000";"Участвует в конкурсе";"1854475";"—"
"30";"1";"—";"229000";"77 80 72";"—";"Участвует в конкурсе";"2218938";"—"
"31";"1";"—";"227000";"76 74 67";"10000";"Участвует в конкурсе";"2211080";"—"
"32";"2";"—";"226000";"76 72 78";"—";"Участвует в конкурсе";"1358929";"—"
"33";"1";"—";"226000";"76 75 72";"3000";"Участвует в конкурсе";"1340104";"—"
"34";"4";"Электронное";"218000";"67 78 63";"10000";"Участвует в конкурсе";"1793418";"—"
"35";"2";"—";"214000";"80 74 60";"—";"Участвует в конкурсе";"1215145";"—"
"36";"2";"—";"214000";"70 78 66";"—";"Участвует в конкурсе";"1068240";"—"
"37";"3";"—";"210000";"79 70 61";"—";"Участвует в конкурсе";"1433745";"—"
"38";"1";"—";"208000";"71 80 57";"—";"Участвует в конкурсе";"1428329";"—"
"39";"1";"Электронное";"207000";"64 82 61";"—";"Участвует в конкурсе";"1188866";"—"
"40";"1";"—";"199000";"64 72 60";"3000";"Участвует в конкурсе";"1130367";"—"
"41";"3";"—";"194000";"68 74 52";"—";"Участвует в конкурсе";"2000967";"—"
"42";"4";"—";"194000";"59 78 57";"—";"Участвует в конкурсе";"1627065";"—"
"43";"6";"—";"190000";"54 72 64";"—";"Участвует в конкурсе";"1006726";"—"
"44";"3";"—";"188000";"70 70 48";"—";"Участвует в конкурсе";"2085147";"—"
"45";"1";"—";"177000";"59 70 48";"—";"Участвует в конкурсе";"1777525";"—"
"46";"2";"—";"173000";"61 58 52";"2000";"Участвует в конкурсе";"1341315";"—"
