"Порядковый номер";"Приоритет конкурса";"Наличие договора";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"4";"—";"40000";"-";"40000";"Ожидание результатов ВИ";"1891393";"—"
"2";"2";"—";"40000";"-";"40000";"Ожидание результатов ВИ";"1885582";"—"
"3";"1";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"1970612";"—"
"4";"14";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2119826";"—"
"5";"8";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2363771";"—"
"6";"2";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2332954";"—"
"7";"2";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2215209";"—"
"8";"2";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"1964729";"—"
"9";"9";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2056013";"—"
"10";"1";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2085018";"—"
"11";"2";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2305301";"—"
"12";"9";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2249701";"—"
"14";"17";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"2424001";"—"
"15";"3";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"2413825";"—"
"16";"35";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"2437204";"—"
"17";"2";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"2432987";"—"
"18";"2";"—";"—";"-";"—";"Ожидание результатов ВИ";"2477131";"—"
"19";"30";"—";"—";"-";"—";"Ожидание результатов ВИ";"2421065";"—"
"20";"2";"—";"—";"-";"—";"Ожидание результатов ВИ";"945495";"—"
"21";"3";"—";"—";"-";"—";"Ожидание результатов ВИ";"1180100";"—"
"22";"28";"—";"—";"-";"—";"Ожидание результатов ВИ";"1336113";"—"
"23";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"1638990";"—"
"24";"2";"—";"—";"-";"—";"Ожидание результатов ВИ";"1713760";"—"
"25";"27";"—";"—";"-";"—";"Ожидание результатов ВИ";"2018293";"—"
"26";"5";"—";"—";"-";"—";"Ожидание результатов ВИ";"1599442";"—"
"27";"4";"—";"—";"-";"—";"Ожидание результатов ВИ";"1624206";"—"
"28";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"2190353";"—"
"29";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"2266189";"—"
"30";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"2266261";"—"
"31";"19";"—";"—";"-";"—";"Ожидание результатов ВИ";"2296188";"—"
"32";"20";"—";"—";"-";"—";"Ожидание результатов ВИ";"2295983";"—"
"33";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"2312829";"—"
"34";"3";"—";"—";"-";"—";"Ожидание результатов ВИ";"2313060";"—"
"35";"5";"—";"—";"-";"—";"Ожидание результатов ВИ";"2338748";"—"
"36";"22";"—";"—";"-";"—";"Ожидание результатов ВИ";"2338458";"—"
"37";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"2357069";"—"
"38";"14";"—";"—";"-";"—";"Ожидание результатов ВИ";"2353970";"—"
"39";"8";"—";"—";"-";"—";"Ожидание результатов ВИ";"2379671";"—"
"40";"2";"—";"—";"-";"—";"Ожидание результатов ВИ";"2411880";"—"
"41";"11";"—";"—";"-";"—";"Ожидание результатов ВИ";"2413072";"—"
"42";"12";"—";"—";"-";"—";"Ожидание результатов ВИ";"2414490";"—"
"43";"17";"—";"—";"-";"—";"Ожидание результатов ВИ";"2412748";"—"
"44";"7";"—";"—";"-";"—";"Ожидание результатов ВИ";"2431308";"—"
"45";"2";"—";"—";"-";"—";"Ожидание результатов ВИ";"2429855";"—"
"46";"18";"—";"—";"-";"—";"Ожидание результатов ВИ";"2441572";"—"
"47";"5";"—";"—";"-";"—";"Ожидание результатов ВИ";"2119536";"—"
"48";"6";"—";"—";"-";"—";"Ожидание результатов ВИ";"2453055";"—"
"49";"5";"—";"—";"-";"—";"Ожидание результатов ВИ";"2456712";"—"
"50";"5";"—";"—";"-";"—";"Ожидание результатов ВИ";"2456710";"—"
"51";"35";"—";"—";"-";"—";"Ожидание результатов ВИ";"2460652";"—"
"52";"2";"—";"—";"-";"—";"Ожидание результатов ВИ";"2476846";"—"
"53";"28";"—";"—";"-";"—";"Ожидание результатов ВИ";"2482726";"—"
"54";"6";"—";"—";"-";"—";"Ожидание результатов ВИ";"2370933";"—"
