"Порядковый номер";"Приоритет конкурса";"Подано согласие";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"1";"—";"45000";"-";"45000";"Ожидание результатов ВИ";"1038076";"—"
"2";"6";"—";"40000";"-";"40000";"Ожидание результатов ВИ";"1891393";"—"
"3";"2";"Электронное";"40000";"-";"40000";"Ожидание результатов ВИ";"1885582";"—"
"4";"31";"Электронное";"40000";"-";"40000";"Ожидание результатов ВИ";"2311893";"—"
"5";"10";"Электронное";"40000";"-";"40000";"Ожидание результатов ВИ";"2443709";"—"
"6";"5";"Электронное";"40000";"-";"40000";"Ожидание результатов ВИ";"2206594";"—"
"7";"1";"—";"33000";"-";"33000";"Ожидание результатов ВИ";"2246701";"—"
"8";"1";"Электронное";"25000";"-";"25000";"Ожидание результатов ВИ";"1970612";"—"
"9";"10";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"1901414";"—"
"10";"12";"Электронное";"25000";"-";"25000";"Ожидание результатов ВИ";"2098742";"—"
"11";"36";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2363771";"—"
"12";"2";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2332954";"—"
"13";"2";"Электронное";"25000";"-";"25000";"Ожидание результатов ВИ";"2215209";"—"
"14";"1";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2178786";"—"
"15";"2";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"1964729";"—"
"16";"8";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"1982245";"—"
"17";"9";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2056013";"—"
"18";"9";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2024261";"—"
"19";"8";"—";"25000";"x";"25000";"На рассмотрении";"2443694";"—"
"20";"2";"Электронное";"25000";"-";"25000";"Ожидание результатов ВИ";"1960125";"—"
"21";"1";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2085018";"—"
"22";"3";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2143113";"—"
"23";"2";"Электронное";"25000";"-";"25000";"Ожидание результатов ВИ";"2305301";"—"
"24";"19";"Электронное";"25000";"-";"25000";"Ожидание результатов ВИ";"2128867";"—"
"25";"5";"Электронное";"25000";"-";"25000";"Ожидание результатов ВИ";"2219995";"—"
"26";"34";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2269151";"—"
"27";"9";"Электронное";"25000";"-";"25000";"Ожидание результатов ВИ";"2249701";"—"
"28";"3";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"1745461";"—"
"29";"39";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"2273751";"—"
"30";"26";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"2077176";"—"
"31";"29";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"2178161";"—"
"32";"10";"Электронное";"15000";"-";"15000";"Ожидание результатов ВИ";"2170852";"—"
"33";"7";"Электронное";"15000";"-";"15000";"Ожидание результатов ВИ";"2241606";"—"
"34";"10";"Электронное";"15000";"-";"15000";"Ожидание результатов ВИ";"2252396";"—"
"35";"5";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"2293296";"—"
"36";"38";"Электронное";"15000";"-";"15000";"Ожидание результатов ВИ";"2272668";"—"
"37";"6";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"2272017";"—"
"38";"5";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"2355516";"—"
"39";"13";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"1993635";"—"
"40";"12";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"2298220";"—"
"41";"1";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"2129188";"—"
"42";"1";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"2404913";"—"
"43";"17";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"2424001";"—"
"44";"5";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"2425093";"—"
"46";"35";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"2261463";"—"
"47";"3";"Электронное";"15000";"-";"15000";"Ожидание результатов ВИ";"2413825";"—"
"48";"29";"Электронное";"15000";"-";"15000";"Ожидание результатов ВИ";"2338959";"—"
"49";"35";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"2437204";"—"
"50";"9";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"2443759";"—"
"51";"2";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"2432987";"—"
"52";"4";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"1647612";"—"
"53";"37";"Электронное";"—";"-";"—";"Ожидание результатов ВИ";"2305449";"—"
"54";"2";"—";"—";"-";"—";"Ожидание результатов ВИ";"2477131";"—"
"55";"8";"—";"—";"-";"—";"Ожидание результатов ВИ";"2421065";"—"
"56";"2";"Электронное";"—";"-";"—";"Ожидание результатов ВИ";"945495";"—"
"57";"3";"—";"—";"-";"—";"Ожидание результатов ВИ";"960208";"—"
"58";"13";"—";"—";"-";"—";"Ожидание результатов ВИ";"963640";"—"
"60";"31";"—";"—";"-";"—";"Ожидание результатов ВИ";"1336113";"—"
"61";"31";"—";"—";"-";"—";"Ожидание результатов ВИ";"1336108";"—"
"62";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"1347830";"—"
"63";"34";"—";"—";"-";"—";"Ожидание результатов ВИ";"1609899";"—"
"64";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"1618993";"—"
"65";"1";"Электронное";"—";"-";"—";"Ожидание результатов ВИ";"1638990";"—"
"66";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"1705771";"—"
"67";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"1744693";"—"
"69";"2";"—";"—";"-";"—";"Ожидание результатов ВИ";"1713760";"—"
"71";"10";"—";"—";"-";"—";"Ожидание результатов ВИ";"1694842";"—"
"72";"19";"—";"—";"-";"—";"Ожидание результатов ВИ";"2018293";"—"
"73";"2";"—";"—";"-";"—";"Ожидание результатов ВИ";"2035306";"—"
"74";"5";"—";"—";"-";"—";"Ожидание результатов ВИ";"2047013";"—"
"76";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"1481704";"—"
"77";"7";"—";"—";"-";"—";"Ожидание результатов ВИ";"1543349";"—"
"78";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"1572160";"—"
"79";"2";"—";"—";"-";"—";"Ожидание результатов ВИ";"2007498";"—"
"80";"21";"—";"—";"-";"—";"Ожидание результатов ВИ";"2119969";"—"
"81";"8";"Электронное";"—";"-";"—";"Ожидание результатов ВИ";"2133453";"—"
"82";"5";"—";"—";"-";"—";"Ожидание результатов ВИ";"1599442";"—"
"83";"4";"—";"—";"-";"—";"Ожидание результатов ВИ";"1624206";"—"
"84";"4";"—";"—";"-";"—";"Ожидание результатов ВИ";"2152483";"—"
"85";"17";"—";"—";"-";"—";"Ожидание результатов ВИ";"1738345";"—"
"86";"9";"Электронное";"—";"-";"—";"Ожидание результатов ВИ";"2177229";"—"
"87";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"2190353";"—"
"88";"10";"—";"—";"-";"—";"Ожидание результатов ВИ";"2134894";"—"
"89";"5";"Электронное";"—";"-";"—";"Ожидание результатов ВИ";"2204553";"—"
"90";"14";"—";"—";"-";"—";"Ожидание результатов ВИ";"2170172";"—"
"91";"18";"Электронное";"—";"-";"—";"Ожидание результатов ВИ";"2221271";"—"
"92";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"1937360";"—"
"93";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"2238705";"—"
"94";"3";"—";"—";"-";"—";"Ожидание результатов ВИ";"1794368";"—"
"95";"5";"—";"—";"-";"—";"Ожидание результатов ВИ";"2255746";"—"
"96";"8";"Электронное";"—";"-";"—";"Ожидание результатов ВИ";"2266096";"—"
"97";"2";"Электронное";"—";"-";"—";"Ожидание результатов ВИ";"2270401";"—"
"98";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"2266261";"—"
"99";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"2266189";"—"
"100";"3";"—";"—";"-";"—";"Ожидание результатов ВИ";"2272007";"—"
"101";"3";"—";"—";"-";"—";"Ожидание результатов ВИ";"2295041";"—"
"102";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"2291426";"—"
"103";"27";"—";"—";"-";"—";"Ожидание результатов ВИ";"2296586";"—"
"104";"26";"—";"—";"-";"—";"Ожидание результатов ВИ";"2038186";"—"
"105";"20";"Электронное";"—";"-";"—";"Ожидание результатов ВИ";"2296188";"—"
"106";"19";"Электронное";"—";"-";"—";"Ожидание результатов ВИ";"2295983";"—"
"107";"1";"Электронное";"—";"-";"—";"Ожидание результатов ВИ";"2313060";"—"
"108";"1";"Электронное";"—";"-";"—";"Ожидание результатов ВИ";"2312829";"—"
"109";"18";"—";"—";"-";"—";"Ожидание результатов ВИ";"2305462";"—"
"110";"19";"Электронное";"—";"-";"—";"Ожидание результатов ВИ";"2338458";"—"
"111";"5";"—";"—";"-";"—";"Ожидание результатов ВИ";"2294086";"—"
"112";"2";"—";"—";"-";"—";"Ожидание результатов ВИ";"2215792";"—"
"113";"3";"—";"—";"-";"—";"Ожидание результатов ВИ";"2338840";"—"
"114";"8";"—";"—";"-";"—";"Ожидание результатов ВИ";"2338748";"—"
"115";"25";"Электронное";"—";"-";"—";"Ожидание результатов ВИ";"2344089";"—"
"116";"9";"—";"—";"-";"—";"Ожидание результатов ВИ";"2342601";"—"
"117";"10";"—";"—";"-";"—";"Ожидание результатов ВИ";"2339534";"—"
"118";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"2350060";"—"
"119";"10";"Электронное";"—";"-";"—";"Ожидание результатов ВИ";"2353970";"—"
"120";"14";"—";"—";"-";"—";"Ожидание результатов ВИ";"2349248";"—"
"121";"12";"Электронное";"—";"-";"—";"Ожидание результатов ВИ";"2292991";"—"
"122";"3";"—";"—";"-";"—";"Ожидание результатов ВИ";"2357069";"—"
"123";"2";"—";"—";"-";"—";"Ожидание результатов ВИ";"2335771";"—"
"124";"5";"Электронное";"—";"-";"—";"Ожидание результатов ВИ";"2365710";"—"
"125";"5";"Электронное";"—";"-";"—";"Ожидание результатов ВИ";"2365763";"—"
"126";"31";"—";"—";"-";"—";"Ожидание результатов ВИ";"2366427";"—"
"127";"4";"Электронное";"—";"-";"—";"Ожидание результатов ВИ";"2365692";"—"
"128";"9";"—";"—";"-";"—";"Ожидание результатов ВИ";"2385027";"—"
"129";"18";"—";"—";"-";"—";"Ожидание результатов ВИ";"2371698";"—"
"130";"2";"Электронное";"—";"-";"—";"Ожидание результатов ВИ";"2389143";"—"
"131";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"2411880";"—"
"132";"17";"—";"—";"-";"—";"Ожидание результатов ВИ";"2412748";"—"
"133";"21";"—";"—";"-";"—";"Ожидание результатов ВИ";"2414490";"—"
"134";"32";"—";"—";"-";"—";"Ожидание результатов ВИ";"2413072";"—"
"135";"35";"—";"—";"-";"—";"Ожидание результатов ВИ";"1781322";"—"
"136";"5";"—";"—";"-";"—";"Ожидание результатов ВИ";"2425377";"—"
"137";"5";"—";"—";"-";"—";"Ожидание результатов ВИ";"2410505";"—"
"138";"10";"—";"—";"-";"—";"Ожидание результатов ВИ";"2427307";"—"
"139";"21";"Электронное";"—";"-";"—";"Ожидание результатов ВИ";"2431308";"—"
"140";"2";"Электронное";"—";"-";"—";"Ожидание результатов ВИ";"2429855";"—"
"141";"10";"—";"—";"-";"—";"Ожидание результатов ВИ";"2429608";"—"
"142";"7";"—";"—";"-";"—";"Ожидание результатов ВИ";"2433438";"—"
"143";"7";"—";"—";"-";"—";"Ожидание результатов ВИ";"2431987";"—"
"144";"18";"Электронное";"—";"-";"—";"Ожидание результатов ВИ";"2441346";"—"
"145";"18";"Электронное";"—";"-";"—";"Ожидание результатов ВИ";"2441572";"—"
"146";"25";"Электронное";"—";"-";"—";"Ожидание результатов ВИ";"2441487";"—"
"147";"8";"—";"—";"-";"—";"Ожидание результатов ВИ";"1976660";"—"
"148";"13";"—";"—";"-";"—";"Ожидание результатов ВИ";"2446520";"—"
"149";"18";"—";"—";"-";"—";"Ожидание результатов ВИ";"2446507";"—"
"150";"9";"—";"—";"-";"—";"Ожидание результатов ВИ";"2443783";"—"
"151";"10";"—";"—";"-";"—";"Ожидание результатов ВИ";"2446897";"—"
"152";"4";"—";"—";"-";"—";"Ожидание результатов ВИ";"2119536";"—"
"153";"6";"—";"—";"-";"—";"Ожидание результатов ВИ";"2453055";"—"
"154";"17";"—";"—";"-";"—";"Ожидание результатов ВИ";"2454697";"—"
"155";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"1560560";"—"
"156";"5";"—";"—";"-";"—";"Ожидание результатов ВИ";"2456710";"—"
"157";"35";"—";"—";"-";"—";"Ожидание результатов ВИ";"2442188";"—"
"158";"5";"—";"—";"-";"—";"Ожидание результатов ВИ";"2456712";"—"
"159";"27";"—";"—";"-";"—";"Ожидание результатов ВИ";"2265063";"—"
"160";"31";"—";"—";"-";"—";"Ожидание результатов ВИ";"2259803";"—"
"161";"35";"—";"—";"-";"—";"Ожидание результатов ВИ";"2460652";"—"
"162";"35";"Электронное";"—";"-";"—";"Ожидание результатов ВИ";"2472377";"—"
"163";"15";"—";"—";"-";"—";"Ожидание результатов ВИ";"2480732";"—"
"164";"1";"—";"—";"-";"—";"Ожидание результатов ВИ";"2083778";"—"
"165";"2";"—";"—";"-";"—";"Ожидание результатов ВИ";"2476846";"—"
"166";"14";"Электронное";"—";"-";"—";"Ожидание результатов ВИ";"2293958";"—"
"167";"28";"—";"—";"-";"—";"Ожидание результатов ВИ";"2482726";"—"
"168";"3";"—";"—";"-";"—";"Ожидание результатов ВИ";"2482254";"—"
"169";"9";"—";"—";"-";"—";"Ожидание результатов ВИ";"2370933";"—"
