"Порядковый номер";"Приоритет конкурса";"Подано согласие";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"2";"—";"1000";"x x x";"10000";"Участвует в конкурсе";"2153116";"—"
"2";"4";"—";"1000";"x x x";"10000";"Участвует в конкурсе";"1265789";"—"
"3";"4";"—";"1000";"x x x";"10000";"Участвует в конкурсе";"1710349";"—"
"4";"3";"—";"1000";"x x x";"10000";"Участвует в конкурсе";"1848465";"—"
"5";"3";"—";"1000";"x x x";"3000";"Участвует в конкурсе";"1887703";"—"
"6";"2";"Электронное";"1000";"x x x";"2000";"Участвует в конкурсе";"1072368";"—"
"7";"2";"—";"1000";"x x x";"2000";"Участвует в конкурсе";"1351565";"—"
"8";"11";"—";"1000";"x x x";"—";"Участвует в конкурсе";"1476992";"—"
"9";"5";"Электронное";"1000";"x x x";"—";"Участвует в конкурсе";"1649935";"—"
"10";"4";"Электронное";"1000";"x x x";"—";"Участвует в конкурсе";"1835464";"—"
"11";"3";"—";"1000";"x x x";"—";"Участвует в конкурсе";"1779012";"—"
"12";"2";"—";"1000";"x x x";"—";"Участвует в конкурсе";"1797003";"—"
"13";"2";"—";"1000";"x x x";"—";"Участвует в конкурсе";"2412277";"—"
"14";"2";"—";"1000";"x x x";"—";"Участвует в конкурсе";"1478016";"—"
"15";"3";"—";"1000";"x x x";"—";"Участвует в конкурсе";"1782301";"—"
"16";"4";"—";"1000";"x x x";"—";"Участвует в конкурсе";"2341110";"—"
"33";"6";"—";"303000";"99 97 97";"10000";"Участвует в конкурсе";"1171803";"—"
"34";"12";"—";"292000";"99 86 97";"10000";"Участвует в конкурсе";"1440526";"—"
"35";"7";"—";"287000";"100 94 83";"10000";"Участвует в конкурсе";"2249102";"—"
"36";"1";"—";"285000";"91 95 89";"10000";"Участвует в конкурсе";"1516991";"—"
"37";"2";"—";"284000";"93 95 86";"10000";"Участвует в конкурсе";"1650750";"—"
"38";"4";"Электронное";"279000";"95 85 89";"10000";"Участвует в конкурсе";"1505622";"—"
"39";"2";"—";"278000";"97 98 73";"10000";"Участвует в конкурсе";"1906769";"—"
"40";"4";"Электронное";"276000";"100 75 91";"10000";"Участвует в конкурсе";"1554223";"—"
"41";"1";"—";"276000";"88 95 83";"10000";"Участвует в конкурсе";"1521646";"—"
"42";"6";"Электронное";"274000";"86 95 83";"10000";"Участвует в конкурсе";"1620689";"—"
"43";"3";"Электронное";"273000";"79 93 91";"10000";"Участвует в конкурсе";"1603736";"—"
"44";"4";"—";"271000";"86 86 89";"10000";"Участвует в конкурсе";"1436436";"—"
"45";"3";"Электронное";"270000";"97 86 83";"4000";"Участвует в конкурсе";"1977430";"—"
"46";"1";"Электронное";"270000";"95 95 70";"10000";"Участвует в конкурсе";"1885894";"—"
"47";"8";"—";"270000";"93 78 89";"10000";"Участвует в конкурсе";"1285589";"—"
"48";"2";"Электронное";"268000";"97 80 81";"10000";"Участвует в конкурсе";"2133587";"—"
"49";"3";"Электронное";"268000";"95 80 83";"10000";"Участвует в конкурсе";"1130561";"—"
"50";"2";"Электронное";"266000";"88 82 86";"10000";"Участвует в конкурсе";"1983467";"—"
"51";"4";"—";"265000";"97 82 86";"—";"Участвует в конкурсе";"959552";"—"
"52";"3";"—";"264000";"97 85 72";"10000";"Участвует в конкурсе";"1842063";"—"
"53";"2";"—";"262000";"93 86 73";"10000";"Участвует в конкурсе";"1503915";"—"
"54";"4";"—";"259000";"100 74 75";"10000";"Участвует в конкурсе";"1726418";"—"
"55";"9";"Электронное";"259000";"95 76 78";"10000";"Участвует в конкурсе";"2264007";"—"
"56";"1";"—";"259000";"86 88 75";"10000";"Участвует в конкурсе";"1813178";"—"
"57";"2";"—";"256000";"95 76 75";"10000";"Участвует в конкурсе";"1567048";"—"
"59";"1";"—";"254000";"86 66 97";"5000";"Участвует в конкурсе";"1984146";"—"
"60";"2";"—";"252000";"84 80 78";"10000";"Участвует в конкурсе";"1793355";"—"
