"Порядковый номер";"Приоритет конкурса";"Подано согласие";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"3";"—";"1000";"x x x";"10000";"Участвует в конкурсе";"2153116";"—"
"2";"7";"—";"1000";"x x x";"10000";"Участвует в конкурсе";"1265789";"—"
"3";"12";"—";"1000";"x x x";"—";"Участвует в конкурсе";"1476992";"—"
"4";"2";"Электронное";"1000";"x x x";"—";"Участвует в конкурсе";"1649935";"—"
"5";"5";"—";"1000";"x x x";"—";"Участвует в конкурсе";"1779012";"—"
"13";"5";"—";"303000";"99 97 97";"10000";"Участвует в конкурсе";"1171803";"—"
"14";"6";"—";"292000";"99 86 97";"10000";"Участвует в конкурсе";"1440526";"—"
"15";"5";"Электронное";"279000";"95 85 89";"10000";"Участвует в конкурсе";"1505622";"—"
"16";"3";"Электронное";"276000";"100 75 91";"10000";"Участвует в конкурсе";"1554223";"—"
"17";"5";"Электронное";"273000";"93 95 75";"10000";"Участвует в конкурсе";"1914229";"—"
"18";"5";"Электронное";"273000";"79 93 91";"10000";"Участвует в конкурсе";"1603736";"—"
"19";"6";"—";"271000";"86 86 89";"10000";"Участвует в конкурсе";"1436436";"—"
"20";"2";"Электронное";"270000";"95 95 70";"10000";"Участвует в конкурсе";"1885894";"—"
"21";"10";"—";"270000";"93 78 89";"10000";"Участвует в конкурсе";"1285589";"—"
"22";"6";"Электронное";"268000";"97 80 81";"10000";"Участвует в конкурсе";"2133587";"—"
"23";"8";"Электронное";"268000";"95 80 83";"10000";"Участвует в конкурсе";"1130561";"—"
"24";"5";"Электронное";"266000";"88 82 86";"10000";"Участвует в конкурсе";"1983467";"—"
"25";"4";"—";"264000";"97 85 72";"10000";"Участвует в конкурсе";"1842063";"—"
"26";"6";"—";"262000";"93 86 73";"10000";"Участвует в конкурсе";"1503915";"—"
"27";"11";"Электронное";"259000";"95 76 78";"10000";"Участвует в конкурсе";"2264007";"—"
"28";"6";"—";"259000";"88 86 75";"10000";"Участвует в конкурсе";"1598112";"—"
