"Порядковый номер";"Приоритет конкурса";"Подано согласие";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"1";"—";"291000";"100 84 97";"10000";"Участвует в конкурсе";"1409876";"—"
"2";"3";"—";"280000";"99 90 81";"10000";"Участвует в конкурсе";"831215";"—"
"3";"1";"—";"280000";"99 88 83";"10000";"Участвует в конкурсе";"1523059";"—"
"4";"7";"—";"269000";"91 82 86";"10000";"Участвует в конкурсе";"1713724";"—"
"5";"3";"Электронное";"268000";"91 84 83";"10000";"Участвует в конкурсе";"1913504";"—"
"6";"3";"—";"266000";"93 72 91";"10000";"Участвует в конкурсе";"1486997";"—"
"7";"5";"—";"262000";"95 95 72";"—";"Участвует в конкурсе";"1154155";"—"
"8";"2";"—";"259000";"88 88 73";"10000";"Участвует в конкурсе";"1225081";"—"
"11";"5";"Электронное";"241000";"78 80 83";"—";"Участвует в конкурсе";"1836385";"—"
"12";"6";"Электронное";"238000";"87 66 75";"10000";"Участвует в конкурсе";"1364106";"—"
"13";"1";"—";"237000";"91 68 78";"—";"Участвует в конкурсе";"2394489";"—"
"14";"5";"—";"237000";"82 74 81";"—";"Участвует в конкурсе";"1711493";"—"
"15";"12";"—";"237000";"90 74 63";"10000";"Участвует в конкурсе";"1212498";"—"
"16";"8";"—";"235000";"84 76 75";"—";"Участвует в конкурсе";"1157951";"—"
"18";"3";"—";"234000";"78 80 66";"10000";"Участвует в конкурсе";"1307312";"—"
"19";"3";"—";"232000";"88 72 69";"3000";"Участвует в конкурсе";"956707";"—"
"20";"12";"—";"219000";"82 88 49";"—";"Участвует в конкурсе";"2333407";"—"
"21";"10";"Электронное";"216000";"74 58 81";"3000";"Участвует в конкурсе";"1272859";"—"
"22";"2";"—";"214000";"86 70 58";"—";"Участвует в конкурсе";"1215393";"—"
"24";"12";"—";"211000";"62 76 70";"3000";"Участвует в конкурсе";"1339068";"—"
"25";"3";"—";"208000";"77 74 57";"—";"Участвует в конкурсе";"1360551";"—"
"26";"5";"—";"208000";"64 66 75";"3000";"Участвует в конкурсе";"1899264";"—"
"28";"9";"—";"205000";"61 78 66";"—";"Участвует в конкурсе";"1782301";"—"
"29";"1";"—";"204000";"73 64 67";"—";"Участвует в конкурсе";"1367464";"—"
"30";"4";"—";"204000";"58 70 73";"3000";"Участвует в конкурсе";"2228772";"—"
"31";"1";"—";"201000";"77 72 52";"—";"Участвует в конкурсе";"1180429";"—"
"32";"4";"—";"192000";"47 76 69";"—";"Участвует в конкурсе";"1256184";"—"
"33";"3";"Электронное";"183000";"56 55 72";"—";"Участвует в конкурсе";"1962881";"—"
"34";"7";"—";"178000";"62 58 58";"—";"Участвует в конкурсе";"1728187";"—"
"35";"10";"—";"174000";"65 58 51";"—";"Участвует в конкурсе";"2331537";"—"
"36";"11";"—";"173000";"49 58 66";"—";"Участвует в конкурсе";"1959607";"—"
"38";"4";"Электронное";"166000";"43 40 83";"—";"Участвует в конкурсе";"1916748";"—"
"39";"8";"—";"155000";"42 46 67";"—";"Участвует в конкурсе";"947331";"—"
"40";"6";"—";"141000";"47 40 54";"—";"Участвует в конкурсе";"2056280";"—"
