"Порядковый номер";"Приоритет конкурса";"Наличие договора";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"26";"—";"304000";"98 99 97";"10000";"Участвует в конкурсе";"1914761";"—"
"2";"6";"—";"304000";"98 96 100";"10000";"Участвует в конкурсе";"1334560";"—"
"3";"11";"—";"301000";"100 97 94";"10000";"Участвует в конкурсе";"1196082";"—"
"4";"14";"—";"300000";"98 98 94";"10000";"Участвует в конкурсе";"1202951";"—"
"5";"8";"—";"300000";"95 98 97";"10000";"Участвует в конкурсе";"1331541";"—"
"6";"13";"—";"299000";"96 96 97";"10000";"Участвует в конкурсе";"1626983";"—"
"7";"13";"—";"298000";"96 92 100";"10000";"Участвует в конкурсе";"1796557";"—"
"8";"8";"—";"294000";"98 100 86";"10000";"Участвует в конкурсе";"1625066";"—"
"9";"6";"—";"294000";"96 94 94";"10000";"Участвует в конкурсе";"1430424";"—"
"10";"14";"—";"294000";"95 95 94";"10000";"Участвует в конкурсе";"1176975";"—"
"11";"17";"—";"294000";"95 92 97";"10000";"Участвует в конкурсе";"1333982";"—"
"12";"21";"—";"292000";"98 97 97";"—";"Участвует в конкурсе";"2006503";"—"
"13";"8";"—";"292000";"98 94 97";"3000";"Участвует в конкурсе";"1481603";"—"
"14";"25";"—";"292000";"95 98 89";"10000";"Участвует в конкурсе";"2000936";"—"
"16";"18";"—";"289000";"93 100 86";"10000";"Участвует в конкурсе";"1288256";"—"
"17";"14";"—";"289000";"90 100 89";"10000";"Участвует в конкурсе";"2344911";"—"
"18";"18";"—";"289000";"88 100 91";"10000";"Участвует в конкурсе";"1516325";"—"
"19";"20";"—";"288000";"96 95 89";"8000";"Участвует в конкурсе";"1977029";"—"
"21";"5";"—";"287000";"98 98 86";"5000";"Участвует в конкурсе";"1204240";"—"
"22";"5";"—";"287000";"90 98 89";"10000";"Участвует в конкурсе";"1332216";"—"
"23";"27";"—";"287000";"90 90 97";"10000";"Участвует в конкурсе";"1493775";"—"
"25";"6";"—";"286000";"100 90 86";"10000";"Участвует в конкурсе";"1291410";"—"
"26";"14";"—";"286000";"90 92 94";"10000";"Участвует в конкурсе";"2415700";"—"
"28";"13";"—";"285000";"90 99 86";"10000";"Участвует в конкурсе";"1795014";"—"
"29";"6";"—";"284000";"95 92 94";"3000";"Участвует в конкурсе";"1203083";"—"
"30";"8";"—";"284000";"96 94 89";"5000";"Участвует в конкурсе";"1828164";"—"
"31";"1";"—";"284000";"96 96 86";"6000";"Участвует в конкурсе";"1213183";"—"
"32";"18";"—";"284000";"96 95 83";"10000";"Участвует в конкурсе";"960464";"—"
