"Порядковый номер";"Приоритет конкурса";"Подано согласие";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"7";"Электронное";"1000";"x x x";"10000";"Участвует в конкурсе";"2097792";"—"
"2";"9";"Электронное";"1000";"x x x";"10000";"Участвует в конкурсе";"1651267";"—"
"3";"21";"—";"1000";"x x x";"10000";"Участвует в конкурсе";"1355457";"—"
"4";"7";"Электронное";"1000";"x x x";"10000";"Участвует в конкурсе";"1559916";"—"
"5";"12";"—";"1000";"x x x";"10000";"Участвует в конкурсе";"1782587";"—"
"6";"4";"—";"1000";"x x x";"10000";"Участвует в конкурсе";"1643367";"—"
"7";"2";"Электронное";"1000";"x x x";"10000";"Участвует в конкурсе";"1549631";"—"
"8";"5";"—";"1000";"x x x";"10000";"Участвует в конкурсе";"1883716";"—"
"9";"8";"—";"1000";"x x x";"10000";"Участвует в конкурсе";"2085177";"—"
"10";"9";"—";"1000";"x x x";"10000";"Участвует в конкурсе";"1702133";"—"
"11";"25";"—";"1000";"x x x";"10000";"Участвует в конкурсе";"1846843";"—"
"12";"7";"—";"1000";"x x x";"10000";"Участвует в конкурсе";"2269000";"—"
"13";"5";"—";"1000";"x x x";"10000";"Участвует в конкурсе";"2226527";"—"
"14";"2";"—";"1000";"x x x";"10000";"Участвует в конкурсе";"1291256";"—"
"15";"11";"—";"1000";"x x x";"10000";"Участвует в конкурсе";"1624808";"—"
"16";"5";"—";"1000";"x x x";"10000";"Участвует в конкурсе";"1963316";"—"
"17";"1";"—";"1000";"x x x";"10000";"Участвует в конкурсе";"1773182";"—"
"18";"1";"—";"1000";"x x x";"10000";"Участвует в конкурсе";"1283901";"—"
"19";"13";"—";"1000";"x x x";"5000";"Участвует в конкурсе";"1928698";"—"
"20";"4";"Электронное";"1000";"x x x";"3000";"Участвует в конкурсе";"1105535";"—"
"21";"6";"—";"1000";"x x x";"3000";"Участвует в конкурсе";"1987920";"—"
"22";"3";"—";"1000";"x x x";"3000";"Участвует в конкурсе";"2084323";"—"
"23";"11";"—";"1000";"x x x";"3000";"Участвует в конкурсе";"1961801";"—"
"24";"6";"Электронное";"1000";"x x x";"3000";"Участвует в конкурсе";"1980402";"—"
"25";"20";"—";"1000";"x x x";"3000";"Участвует в конкурсе";"2231197";"—"
"26";"10";"—";"1000";"x x x";"2000";"Участвует в конкурсе";"1653349";"—"
"27";"9";"—";"1000";"x x x";"2000";"Участвует в конкурсе";"1771361";"—"
"28";"4";"—";"1000";"x x x";"—";"Участвует в конкурсе";"1720387";"—"
"29";"6";"—";"1000";"x x x";"—";"Участвует в конкурсе";"1417367";"—"
"30";"5";"Электронное";"1000";"x x x";"—";"Участвует в конкурсе";"1542584";"—"
"31";"10";"Электронное";"1000";"x x x";"—";"Участвует в конкурсе";"1517915";"—"
"32";"2";"—";"1000";"x x x";"—";"Участвует в конкурсе";"1331580";"—"
"33";"12";"—";"1000";"x x x";"—";"Участвует в конкурсе";"1975707";"—"
"34";"4";"—";"1000";"x x x";"—";"Участвует в конкурсе";"1792091";"—"
"35";"22";"—";"1000";"x x x";"—";"Участвует в конкурсе";"1642778";"—"
"36";"3";"—";"1000";"x x x";"—";"Участвует в конкурсе";"2079705";"—"
"37";"10";"—";"1000";"x x x";"—";"Участвует в конкурсе";"1476167";"—"
"38";"16";"—";"1000";"x x x";"—";"Участвует в конкурсе";"2235006";"—"
"39";"12";"Электронное";"1000";"x x x";"—";"Участвует в конкурсе";"1166793";"—"
"40";"19";"Электронное";"1000";"x x x";"—";"Участвует в конкурсе";"1763734";"—"
"41";"16";"—";"1000";"x x x";"—";"Участвует в конкурсе";"2092683";"—"
"42";"7";"Электронное";"1000";"x x x";"—";"Участвует в конкурсе";"1205117";"—"
"43";"2";"Электронное";"1000";"x x x";"—";"Участвует в конкурсе";"2133320";"—"
"44";"4";"—";"1000";"x x x";"—";"Участвует в конкурсе";"1638048";"—"
"45";"3";"Электронное";"1000";"x x x";"—";"Участвует в конкурсе";"2136579";"—"
"47";"13";"—";"1000";"x x x";"—";"Участвует в конкурсе";"1355737";"—"
"48";"3";"—";"1000";"x x x";"—";"Участвует в конкурсе";"959929";"—"
"49";"9";"Электронное";"1000";"x x x";"—";"Участвует в конкурсе";"1356884";"—"
"51";"4";"Электронное";"1000";"x x x";"—";"Участвует в конкурсе";"2364364";"—"
"52";"13";"—";"1000";"x x x";"—";"Участвует в конкурсе";"1836480";"—"
