"Порядковый номер";"Приоритет конкурса";"Наличие договора";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"24";"—";"304000";"98 99 97";"10000";"Участвует в конкурсе";"1914761";"—"
"2";"6";"—";"300000";"98 98 94";"10000";"Участвует в конкурсе";"1202951";"—"
"3";"10";"—";"300000";"95 98 97";"10000";"Участвует в конкурсе";"1331541";"—"
"4";"5";"—";"299000";"95 100 94";"10000";"Участвует в конкурсе";"1554023";"—"
"5";"11";"—";"298000";"95 96 97";"10000";"Участвует в конкурсе";"1626983";"—"
"6";"17";"—";"297000";"98 100 89";"10000";"Участвует в конкурсе";"1167293";"—"
"7";"9";"—";"296000";"95 97 94";"10000";"Участвует в конкурсе";"1196082";"—"
"8";"8";"—";"296000";"90 96 100";"10000";"Участвует в конкурсе";"1334560";"—"
"9";"9";"—";"294000";"95 95 94";"10000";"Участвует в конкурсе";"1176975";"—"
"10";"13";"—";"294000";"95 92 97";"10000";"Участвует в конкурсе";"1333982";"—"
"11";"6";"—";"294000";"93 97 94";"10000";"Участвует в конкурсе";"1441293";"—"
"12";"10";"—";"292000";"98 97 97";"—";"Участвует в конкурсе";"2006503";"—"
"13";"5";"—";"292000";"100 92 94";"6000";"Участвует в конкурсе";"1977911";"—"
"14";"9";"—";"292000";"100 95 89";"8000";"Участвует в конкурсе";"1788572";"—"
"15";"22";"—";"292000";"95 98 89";"10000";"Участвует в конкурсе";"2000936";"—"
"16";"7";"—";"292000";"95 90 97";"10000";"Участвует в конкурсе";"2208406";"—"
"17";"6";"—";"291000";"100 92 89";"10000";"Участвует в конкурсе";"1622970";"—"
"18";"7";"—";"291000";"95 92 94";"10000";"Участвует в конкурсе";"1963797";"—"
"19";"1";"—";"291000";"95 92 94";"10000";"Участвует в конкурсе";"2052288";"—"
"20";"8";"—";"291000";"83 98 100";"10000";"Участвует в конкурсе";"1656043";"—"
"21";"12";"—";"290000";"95 96 89";"10000";"Участвует в конкурсе";"1729121";"—"
"22";"8";"—";"290000";"88 95 97";"10000";"Участвует в конкурсе";"1287292";"—"
"23";"6";"—";"289000";"95 94 97";"3000";"Участвует в конкурсе";"1481603";"—"
"24";"7";"—";"289000";"98 95 86";"10000";"Участвует в конкурсе";"1843556";"—"
"25";"19";"—";"289000";"93 100 86";"10000";"Участвует в конкурсе";"1288256";"—"
"26";"9";"—";"289000";"90 100 89";"10000";"Участвует в конкурсе";"2344911";"—"
"27";"20";"—";"289000";"88 100 91";"10000";"Участвует в конкурсе";"1516325";"—"
"29";"9";"—";"288000";"93 96 89";"10000";"Участвует в конкурсе";"1580385";"—"
"30";"2";"—";"287000";"98 98 86";"5000";"Участвует в конкурсе";"1204240";"—"
"31";"26";"—";"287000";"90 90 97";"10000";"Участвует в конкурсе";"1493775";"—"
"33";"5";"—";"285000";"100 94 81";"10000";"Участвует в конкурсе";"2270816";"—"
"35";"11";"—";"285000";"90 94 91";"10000";"Участвует в конкурсе";"1730554";"—"
"36";"23";"—";"285000";"83 92 100";"10000";"Участвует в конкурсе";"1796557";"—"
"37";"13";"—";"284000";"98 100 86";"—";"Участвует в конкурсе";"1915078";"—"
