"Порядковый номер";"Приоритет конкурса";"Подано согласие";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"11";"—";"310000";"100 100 100";"10000";"Участвует в конкурсе";"1514555";"—"
"2";"3";"—";"310000";"100 100 100";"10000";"Участвует в конкурсе";"1701767";"—"
"3";"1";"Электронное";"305000";"98 97 100";"10000";"Участвует в конкурсе";"2311531";"—"
"4";"3";"—";"305000";"95 100 100";"10000";"Участвует в конкурсе";"1185396";"—"
"5";"13";"—";"304000";"100 100 94";"10000";"Участвует в конкурсе";"952832";"—"
"6";"7";"—";"304000";"100 97 97";"10000";"Участвует в конкурсе";"1253269";"—"
"7";"27";"—";"304000";"98 99 97";"10000";"Участвует в конкурсе";"1914761";"—"
"8";"20";"—";"303000";"100 99 94";"10000";"Участвует в конкурсе";"1684531";"—"
"9";"3";"—";"303000";"98 98 97";"10000";"Участвует в конкурсе";"1859799";"—"
"10";"6";"—";"303000";"98 95 100";"10000";"Участвует в конкурсе";"1928315";"—"
"11";"6";"—";"302000";"98 97 97";"10000";"Участвует в конкурсе";"1592497";"—"
"12";"14";"—";"302000";"95 97 100";"10000";"Участвует в конкурсе";"2005384";"—"
"13";"8";"—";"301000";"100 100 91";"10000";"Участвует в конкурсе";"1723490";"—"
"14";"6";"—";"301000";"100 100 91";"10000";"Участвует в конкурсе";"1281973";"—"
"15";"7";"—";"301000";"100 100 91";"10000";"Участвует в конкурсе";"1958013";"—"
"16";"13";"—";"301000";"100 97 94";"10000";"Участвует в конкурсе";"1730665";"—"
"18";"4";"—";"300000";"100 99 91";"10000";"Участвует в конкурсе";"1999926";"—"
"19";"12";"—";"300000";"100 90 100";"10000";"Участвует в конкурсе";"1618714";"—"
"20";"6";"—";"300000";"98 98 94";"10000";"Участвует в конкурсе";"1202951";"—"
"21";"9";"—";"300000";"98 98 94";"10000";"Участвует в конкурсе";"1268185";"—"
"22";"12";"—";"300000";"98 92 100";"10000";"Участвует в конкурсе";"2262178";"—"
"23";"10";"—";"300000";"95 98 97";"10000";"Участвует в конкурсе";"1331541";"—"
