"Порядковый номер";"Приоритет конкурса";"Наличие договора";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"12";"—";"304000";"98 99 97";"10000";"Участвует в конкурсе";"1914761";"—"
"2";"7";"—";"304000";"98 96 100";"10000";"Участвует в конкурсе";"1334560";"—"
"3";"17";"—";"302000";"100 95 97";"10000";"Участвует в конкурсе";"1287292";"—"
"4";"13";"—";"302000";"98 100 94";"10000";"Участвует в конкурсе";"1839611";"—"
"5";"14";"—";"301000";"100 97 94";"10000";"Участвует в конкурсе";"1196082";"—"
"6";"17";"—";"300000";"98 98 94";"10000";"Участвует в конкурсе";"1202951";"—"
"7";"9";"—";"300000";"95 98 97";"10000";"Участвует в конкурсе";"1331541";"—"
"8";"16";"—";"298000";"96 92 100";"10000";"Участвует в конкурсе";"1796557";"—"
"9";"10";"—";"297000";"98 94 97";"8000";"Участвует в конкурсе";"1514024";"—"
"10";"18";"—";"297000";"98 100 89";"10000";"Участвует в конкурсе";"1167293";"—"
"11";"8";"—";"294000";"96 94 94";"10000";"Участвует в конкурсе";"1430424";"—"
"12";"11";"—";"294000";"95 95 94";"10000";"Участвует в конкурсе";"1176975";"—"
"13";"21";"—";"294000";"95 92 97";"10000";"Участвует в конкурсе";"1333982";"—"
"14";"13";"—";"292000";"98 97 97";"—";"Участвует в конкурсе";"2006503";"—"
"15";"9";"—";"292000";"98 94 97";"3000";"Участвует в конкурсе";"1481603";"—"
"16";"28";"—";"292000";"95 98 89";"10000";"Участвует в конкурсе";"2000936";"—"
"17";"4";"—";"291000";"95 92 94";"10000";"Участвует в конкурсе";"1963797";"—"
"18";"6";"—";"290000";"94 95 91";"10000";"Участвует в конкурсе";"1559828";"—"
"19";"8";"—";"289000";"94 88 97";"10000";"Участвует в конкурсе";"1999327";"—"
"20";"6";"—";"289000";"93 100 86";"10000";"Участвует в конкурсе";"1288256";"—"
"21";"16";"—";"289000";"88 100 91";"10000";"Участвует в конкурсе";"1516325";"—"
"22";"22";"—";"288000";"96 95 89";"8000";"Участвует в конкурсе";"1977029";"—"
"24";"5";"—";"288000";"90 94 94";"10000";"Участвует в конкурсе";"1725406";"—"
"25";"8";"—";"287000";"98 98 86";"5000";"Участвует в конкурсе";"1204240";"—"
