"Порядковый номер";"Приоритет конкурса";"Подано согласие";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"9";"—";"310000";"100 100 100";"10000";"Участвует в конкурсе";"1728488";"—"
"2";"7";"—";"310000";"100 100 100";"10000";"Участвует в конкурсе";"1701767";"—"
"3";"4";"—";"307000";"100 100 97";"10000";"Участвует в конкурсе";"2127872";"—"
"4";"6";"—";"305000";"98 100 97";"10000";"Участвует в конкурсе";"1655375";"—"
"5";"19";"—";"304000";"100 100 94";"10000";"Участвует в конкурсе";"952832";"—"
"6";"18";"—";"304000";"98 99 97";"10000";"Участвует в конкурсе";"1914761";"—"
"7";"12";"—";"304000";"98 96 100";"10000";"Участвует в конкурсе";"1334560";"—"
"8";"25";"—";"303000";"100 99 94";"10000";"Участвует в конкурсе";"1684531";"—"
"9";"16";"—";"302000";"100 95 97";"10000";"Участвует в конкурсе";"1287292";"—"
"10";"6";"—";"302000";"100 92 100";"10000";"Участвует в конкурсе";"1731521";"—"
"11";"14";"—";"302000";"98 100 94";"10000";"Участвует в конкурсе";"1839611";"—"
"12";"4";"—";"302000";"98 100 94";"10000";"Участвует в конкурсе";"1704437";"—"
"14";"14";"—";"301000";"100 100 91";"10000";"Участвует в конкурсе";"1190329";"—"
"15";"10";"—";"301000";"100 97 94";"10000";"Участвует в конкурсе";"1728529";"—"
"16";"14";"—";"301000";"100 97 94";"10000";"Участвует в конкурсе";"1196082";"—"
"17";"20";"—";"301000";"98 96 97";"10000";"Участвует в конкурсе";"1366342";"—"
"18";"2";"—";"300000";"100 99 91";"10000";"Участвует в конкурсе";"1639884";"—"
"19";"7";"—";"300000";"100 99 91";"10000";"Участвует в конкурсе";"1999926";"—"
"21";"15";"—";"300000";"100 90 100";"10000";"Участвует в конкурсе";"1618714";"—"
"22";"16";"—";"300000";"98 98 94";"10000";"Участвует в конкурсе";"1202951";"—"
"23";"8";"—";"300000";"98 98 94";"10000";"Участвует в конкурсе";"1268185";"—"
"24";"9";"—";"300000";"95 98 97";"10000";"Участвует в конкурсе";"1331541";"—"
"25";"6";"—";"300000";"92 98 100";"10000";"Участвует в конкурсе";"1548589";"—"
"26";"13";"—";"299000";"100 100 89";"10000";"Участвует в конкурсе";"1786590";"—"
"27";"18";"—";"299000";"100 100 89";"10000";"Участвует в конкурсе";"1797731";"—"
"28";"14";"—";"299000";"100 100 89";"10000";"Участвует в конкурсе";"1720224";"—"
"29";"20";"—";"299000";"100 98 91";"10000";"Участвует в конкурсе";"1290308";"—"
"30";"6";"—";"299000";"100 95 94";"10000";"Участвует в конкурсе";"1420208";"—"
"31";"9";"—";"299000";"100 92 97";"10000";"Участвует в конкурсе";"1473705";"—"
"32";"26";"—";"299000";"100 92 97";"10000";"Участвует в конкурсе";"1729269";"—"
"33";"10";"—";"299000";"98 100 91";"10000";"Участвует в конкурсе";"1064266";"—"
"34";"3";"—";"299000";"98 100 91";"10000";"Участвует в конкурсе";"1389799";"—"
"35";"5";"—";"299000";"96 96 97";"10000";"Участвует в конкурсе";"1515215";"—"
"36";"3";"—";"299000";"96 96 97";"10000";"Участвует в конкурсе";"1765173";"—"
"37";"26";"—";"299000";"95 97 97";"10000";"Участвует в конкурсе";"1772073";"—"
"38";"12";"—";"298000";"100 99 89";"10000";"Участвует в конкурсе";"1480178";"—"
"39";"2";"—";"298000";"100 97 91";"10000";"Участвует в конкурсе";"1558324";"—"
