"Порядковый номер";"Приоритет конкурса";"Подано согласие";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"14";"—";"1000";"x x x";"10000";"Участвует в конкурсе";"1782587";"—"
"2";"2";"—";"1000";"x x x";"10000";"Участвует в конкурсе";"1643367";"—"
"3";"4";"Электронное";"1000";"x x x";"10000";"Участвует в конкурсе";"1549631";"—"
"4";"26";"—";"1000";"x x x";"10000";"Участвует в конкурсе";"1846843";"—"
"5";"10";"—";"1000";"x x x";"10000";"Участвует в конкурсе";"1624808";"—"
"6";"1";"—";"1000";"x x x";"10000";"Участвует в конкурсе";"1963316";"—"
"7";"3";"—";"1000";"x x x";"3000";"Участвует в конкурсе";"2246962";"—"
"8";"4";"—";"1000";"x x x";"3000";"Участвует в конкурсе";"1987920";"—"
"9";"26";"—";"1000";"x x x";"3000";"Участвует в конкурсе";"1961801";"—"
"10";"30";"—";"1000";"x x x";"3000";"Участвует в конкурсе";"2231197";"—"
"11";"10";"Электронное";"1000";"x x x";"3000";"Участвует в конкурсе";"1980402";"—"
"12";"5";"Электронное";"1000";"x x x";"2000";"Участвует в конкурсе";"1130423";"—"
"13";"11";"—";"1000";"x x x";"—";"Участвует в конкурсе";"1417367";"—"
"14";"19";"Электронное";"1000";"x x x";"—";"Участвует в конкурсе";"1542584";"—"
"15";"6";"—";"1000";"x x x";"—";"Участвует в конкурсе";"1975707";"—"
"16";"15";"—";"1000";"x x x";"—";"Участвует в конкурсе";"1642778";"—"
"17";"14";"—";"1000";"x x x";"—";"Участвует в конкурсе";"1480127";"—"
"18";"7";"—";"1000";"x x x";"—";"Участвует в конкурсе";"1476167";"—"
"19";"13";"—";"1000";"x x x";"—";"Участвует в конкурсе";"2235006";"—"
"20";"8";"Электронное";"1000";"x x x";"—";"Участвует в конкурсе";"1166793";"—"
"21";"26";"—";"1000";"x x x";"—";"Участвует в конкурсе";"2092683";"—"
"22";"13";"Электронное";"1000";"x x x";"—";"Участвует в конкурсе";"2133320";"—"
"23";"2";"Электронное";"1000";"x x x";"—";"Участвует в конкурсе";"1356884";"—"
"24";"28";"Электронное";"1000";"x x x";"—";"Участвует в конкурсе";"2364364";"—"
"25";"14";"—";"1000";"x x x";"—";"Участвует в конкурсе";"1836480";"—"
"51";"6";"—";"294000";"95 100 89";"10000";"Участвует в конкурсе";"1908016";"—"
"52";"1";"—";"292000";"100 82 100";"10000";"Участвует в конкурсе";"2266228";"—"
"53";"1";"—";"292000";"96 97 89";"10000";"Участвует в конкурсе";"1107050";"—"
"54";"7";"—";"292000";"84 98 100";"10000";"Участвует в конкурсе";"1656043";"—"
"55";"6";"—";"291000";"93 88 100";"10000";"Участвует в конкурсе";"1584673";"—"
"56";"4";"Электронное";"290000";"93 96 91";"10000";"Участвует в конкурсе";"1584715";"—"
"57";"16";"—";"289000";"98 95 86";"10000";"Участвует в конкурсе";"1291171";"—"
"58";"11";"—";"289000";"95 84 100";"10000";"Участвует в конкурсе";"1582041";"—"
"59";"8";"—";"287000";"96 92 89";"10000";"Участвует в конкурсе";"2101488";"—"
"60";"6";"—";"287000";"94 94 89";"10000";"Участвует в конкурсе";"2043412";"—"
"62";"5";"—";"284000";"96 95 83";"10000";"Участвует в конкурсе";"1287770";"—"
"63";"5";"Электронное";"284000";"92 90 92";"10000";"Участвует в конкурсе";"1385950";"—"
"65";"3";"—";"283000";"98 92 83";"10000";"Участвует в конкурсе";"2099309";"—"
"66";"6";"—";"282000";"92 94 86";"10000";"Участвует в конкурсе";"1233605";"—"
"67";"5";"Электронное";"282000";"92 90 90";"10000";"Участвует в конкурсе";"1385930";"—"
"68";"21";"—";"281000";"96 94 81";"10000";"Участвует в конкурсе";"1637333";"—"
"69";"1";"Электронное";"281000";"90 92 89";"10000";"Участвует в конкурсе";"1622023";"—"
"70";"17";"—";"281000";"90 90 91";"10000";"Участвует в конкурсе";"1438369";"—"
"71";"2";"—";"280000";"94 95 91";"—";"Участвует в конкурсе";"1907930";"—"
"73";"6";"—";"279000";"98 92 86";"3000";"Участвует в конкурсе";"2338542";"—"
"75";"17";"—";"278000";"95 86 94";"3000";"Участвует в конкурсе";"1290581";"—"
"76";"22";"—";"277000";"95 99 83";"—";"Участвует в конкурсе";"1292749";"—"
"77";"8";"—";"277000";"98 88 81";"10000";"Участвует в конкурсе";"977071";"—"
"78";"4";"—";"277000";"94 90 83";"10000";"Участвует в конкурсе";"1645368";"—"
"79";"14";"Электронное";"276000";"93 84 89";"10000";"Участвует в конкурсе";"2260583";"—"
"80";"13";"—";"273000";"88 94 91";"—";"Участвует в конкурсе";"1518237";"—"
"81";"24";"—";"273000";"90 92 81";"10000";"Участвует в конкурсе";"1512114";"—"
"82";"5";"Электронное";"273000";"90 84 89";"10000";"Участвует в конкурсе";"1343659";"—"
"83";"7";"Электронное";"272000";"90 90 92";"—";"Участвует в конкурсе";"1548259";"—"
"84";"20";"—";"272000";"93 80 89";"10000";"Участвует в конкурсе";"1360112";"—"
"85";"24";"—";"272000";"85 86 91";"10000";"Участвует в конкурсе";"1910274";"—"
"86";"1";"—";"271000";"90 84 97";"—";"Участвует в конкурсе";"1720687";"—"
"87";"26";"—";"271000";"98 94 73";"6000";"Участвует в конкурсе";"973960";"—"
"88";"7";"Электронное";"271000";"90 80 91";"10000";"Участвует в конкурсе";"1881605";"—"
"89";"13";"—";"270000";"95 86 89";"—";"Участвует в конкурсе";"1854964";"—"
"90";"7";"—";"270000";"95 90 75";"10000";"Участвует в конкурсе";"2255720";"—"
"91";"6";"—";"268000";"93 96 69";"10000";"Участвует в конкурсе";"1177016";"—"
"92";"8";"—";"268000";"88 84 86";"10000";"Участвует в конкурсе";"1852052";"—"
"93";"5";"—";"267000";"84 92 81";"10000";"Участвует в конкурсе";"1855906";"—"
"94";"27";"—";"266000";"85 90 91";"—";"Участвует в конкурсе";"1616542";"—"
"95";"16";"—";"266000";"83 92 81";"10000";"Участвует в конкурсе";"2241659";"—"
"96";"14";"—";"265000";"78 90 94";"3000";"Участвует в конкурсе";"1148291";"—"
"98";"16";"Электронное";"265000";"88 84 83";"10000";"Участвует в конкурсе";"2001215";"—"
"99";"10";"—";"265000";"86 94 75";"10000";"Участвует в конкурсе";"1551735";"—"
"100";"1";"—";"262000";"84 82 86";"10000";"Участвует в конкурсе";"1720043";"—"
"101";"13";"—";"261000";"78 92 89";"2000";"Участвует в конкурсе";"1856516";"—"
"102";"3";"—";"260000";"100 78 72";"10000";"Участвует в конкурсе";"1175957";"—"
"103";"14";"—";"260000";"85 74 91";"10000";"Участвует в конкурсе";"1348748";"—"
"104";"5";"—";"259000";"88 92 69";"10000";"Участвует в конкурсе";"2001761";"—"
"105";"14";"Электронное";"259000";"86 82 81";"10000";"Участвует в конкурсе";"2288995";"—"
"106";"14";"Электронное";"259000";"80 80 89";"10000";"Участвует в конкурсе";"1530025";"—"
"107";"22";"—";"258000";"70 92 86";"10000";"Участвует в конкурсе";"2272665";"—"
