"Порядковый номер";"Приоритет конкурса";"Наличие договора";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"23";"—";"304000";"98 99 97";"10000";"Участвует в конкурсе";"1914761";"—"
"2";"9";"—";"304000";"98 96 100";"10000";"Участвует в конкурсе";"1334560";"—"
"3";"8";"—";"301000";"100 97 94";"10000";"Участвует в конкурсе";"1196082";"—"
"4";"5";"—";"300000";"98 98 94";"10000";"Участвует в конкурсе";"1202951";"—"
"5";"7";"—";"300000";"95 98 97";"10000";"Участвует в конкурсе";"1331541";"—"
"6";"14";"—";"298000";"96 92 100";"10000";"Участвует в конкурсе";"1796557";"—"
"7";"14";"—";"294000";"95 92 97";"10000";"Участвует в конкурсе";"1333982";"—"
"8";"17";"—";"292000";"98 97 97";"—";"Участвует в конкурсе";"2006503";"—"
"9";"5";"—";"292000";"98 94 97";"3000";"Участвует в конкурсе";"1481603";"—"
"10";"29";"—";"292000";"95 98 89";"10000";"Участвует в конкурсе";"2000936";"—"
"11";"8";"—";"291000";"95 92 94";"10000";"Участвует в конкурсе";"1963797";"—"
"12";"3";"—";"291000";"95 92 94";"10000";"Участвует в конкурсе";"2052288";"—"
"13";"18";"—";"290000";"96 90 94";"10000";"Участвует в конкурсе";"2227144";"—"
"14";"5";"—";"289000";"98 100 81";"10000";"Участвует в конкурсе";"1350561";"—"
"15";"13";"—";"289000";"93 100 86";"10000";"Участвует в конкурсе";"1288256";"—"
"16";"3";"—";"289000";"90 100 89";"10000";"Участвует в конкурсе";"2344911";"—"
"17";"7";"—";"289000";"88 100 91";"10000";"Участвует в конкурсе";"1516325";"—"
"18";"16";"—";"288000";"96 95 89";"8000";"Участвует в конкурсе";"1977029";"—"
"19";"8";"—";"288000";"93 96 89";"10000";"Участвует в конкурсе";"1262362";"—"
"20";"17";"—";"288000";"90 94 94";"10000";"Участвует в конкурсе";"1725406";"—"
"21";"3";"—";"288000";"82 99 97";"10000";"Участвует в конкурсе";"1499103";"—"
"22";"9";"—";"287000";"98 98 86";"5000";"Участвует в конкурсе";"1204240";"—"
