"Порядковый номер";"Приоритет конкурса";"Подано согласие";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"12";"—";"304000";"100 100 94";"10000";"Участвует в конкурсе";"952832";"—"
"2";"21";"—";"304000";"98 99 97";"10000";"Участвует в конкурсе";"1914761";"—"
"3";"16";"—";"304000";"98 96 100";"10000";"Участвует в конкурсе";"1334560";"—"
"4";"10";"—";"303000";"100 99 94";"10000";"Участвует в конкурсе";"1684531";"—"
"5";"4";"—";"302000";"100 98 94";"10000";"Участвует в конкурсе";"1209561";"—"
"7";"14";"—";"301000";"100 100 91";"10000";"Участвует в конкурсе";"1958013";"—"
"8";"8";"—";"301000";"100 97 94";"10000";"Участвует в конкурсе";"1728529";"—"
"9";"8";"—";"301000";"100 97 94";"10000";"Участвует в конкурсе";"1196082";"—"
"10";"15";"—";"301000";"100 97 94";"10000";"Участвует в конкурсе";"1730665";"—"
"12";"16";"—";"300000";"100 90 100";"10000";"Участвует в конкурсе";"1618714";"—"
"13";"5";"—";"300000";"98 98 94";"10000";"Участвует в конкурсе";"1202951";"—"
"14";"7";"—";"300000";"95 98 97";"10000";"Участвует в конкурсе";"1331541";"—"
"15";"5";"—";"299000";"100 100 89";"10000";"Участвует в конкурсе";"1615185";"—"
"16";"7";"—";"299000";"100 100 89";"10000";"Участвует в конкурсе";"1720224";"—"
"17";"19";"—";"299000";"100 98 91";"10000";"Участвует в конкурсе";"1654126";"—"
"18";"12";"—";"299000";"100 98 91";"10000";"Участвует в конкурсе";"1290308";"—"
"19";"14";"—";"299000";"100 92 97";"10000";"Участвует в конкурсе";"1473705";"—"
"20";"28";"—";"299000";"100 92 97";"10000";"Участвует в конкурсе";"1729269";"—"
"21";"8";"—";"299000";"98 100 91";"10000";"Участвует в конкурсе";"1064266";"—"
"22";"16";"—";"299000";"95 97 97";"10000";"Участвует в конкурсе";"1772073";"—"
"23";"15";"—";"298000";"100 99 89";"10000";"Участвует в конкурсе";"1480178";"—"
"24";"11";"—";"298000";"98 99 91";"10000";"Участвует в конкурсе";"1128272";"—"
"25";"14";"—";"298000";"96 92 100";"10000";"Участвует в конкурсе";"1796557";"—"
"27";"8";"—";"297000";"98 99 97";"3000";"Участвует в конкурсе";"1521257";"—"
"28";"16";"—";"297000";"100 96 91";"10000";"Участвует в конкурсе";"1261735";"—"
"29";"18";"—";"297000";"100 90 97";"10000";"Участвует в конкурсе";"1784994";"—"
"30";"4";"—";"297000";"100 90 97";"10000";"Участвует в конкурсе";"1623781";"—"
"31";"6";"—";"297000";"100 90 97";"10000";"Участвует в конкурсе";"1726516";"—"
"32";"25";"—";"297000";"98 98 91";"10000";"Участвует в конкурсе";"1997125";"—"
"33";"5";"—";"297000";"98 98 91";"10000";"Участвует в конкурсе";"1772003";"—"
"35";"16";"—";"296000";"100 100 86";"10000";"Участвует в конкурсе";"1205358";"—"
"36";"12";"—";"296000";"100 95 91";"10000";"Участвует в конкурсе";"1670063";"—"
"37";"13";"—";"296000";"98 97 91";"10000";"Участвует в конкурсе";"1978769";"—"
"39";"9";"—";"296000";"95 100 91";"10000";"Участвует в конкурсе";"1798824";"—"
"40";"3";"—";"296000";"94 95 97";"10000";"Участвует в конкурсе";"1460517";"—"
"41";"4";"—";"295000";"98 100 89";"8000";"Участвует в конкурсе";"2255222";"—"
"42";"2";"—";"295000";"100 88 97";"10000";"Участвует в конкурсе";"1901484";"—"
"43";"8";"—";"295000";"98 98 89";"10000";"Участвует в конкурсе";"1181147";"—"
"44";"9";"—";"295000";"98 96 91";"10000";"Участвует в конкурсе";"1174068";"—"
"45";"9";"—";"295000";"94 100 91";"10000";"Участвует в конкурсе";"1205252";"—"
"46";"13";"—";"295000";"93 98 94";"10000";"Участвует в конкурсе";"1479776";"—"
"47";"7";"—";"295000";"92 96 97";"10000";"Участвует в конкурсе";"1651516";"—"
"48";"11";"—";"294000";"100 100 91";"3000";"Участвует в конкурсе";"1469666";"—"
"49";"14";"—";"294000";"98 97 89";"10000";"Участвует в конкурсе";"1076436";"—"
"50";"12";"—";"294000";"95 100 89";"10000";"Участвует в конкурсе";"1908016";"—"
"51";"14";"—";"294000";"95 92 97";"10000";"Участвует в конкурсе";"1333982";"—"
"52";"23";"Электронное";"294000";"93 97 94";"10000";"Участвует в конкурсе";"1508498";"—"
"53";"22";"—";"294000";"90 97 97";"10000";"Участвует в конкурсе";"1651737";"—"
"55";"2";"—";"293000";"100 100 83";"10000";"Участвует в конкурсе";"1696877";"—"
"56";"3";"—";"293000";"100 94 89";"10000";"Участвует в конкурсе";"1577273";"—"
"57";"19";"—";"293000";"100 94 89";"10000";"Участвует в конкурсе";"1352457";"—"
"58";"11";"—";"293000";"100 94 89";"10000";"Участвует в конкурсе";"1207984";"—"
"59";"7";"—";"293000";"100 92 91";"10000";"Участвует в конкурсе";"1379522";"—"
"60";"8";"—";"293000";"92 97 94";"10000";"Участвует в конкурсе";"2311803";"—"
"61";"17";"—";"292000";"98 97 97";"—";"Участвует в конкурсе";"2006503";"—"
"62";"20";"Электронное";"292000";"100 98 91";"3000";"Участвует в конкурсе";"2183839";"—"
"63";"5";"—";"292000";"98 94 97";"3000";"Участвует в конкурсе";"1481603";"—"
"64";"14";"—";"292000";"100 98 89";"5000";"Участвует в конкурсе";"1600716";"—"
"65";"6";"—";"292000";"98 98 91";"5000";"Участвует в конкурсе";"1757810";"—"
"66";"11";"—";"292000";"100 96 86";"10000";"Участвует в конкурсе";"1958628";"—"
"67";"12";"—";"292000";"98 90 94";"10000";"Участвует в конкурсе";"2367600";"—"
"68";"4";"—";"292000";"96 92 94";"10000";"Участвует в конкурсе";"1201633";"—"
"69";"29";"—";"292000";"95 98 89";"10000";"Участвует в конкурсе";"2000936";"—"
"71";"3";"—";"291000";"100 95 86";"10000";"Участвует в конкурсе";"1438164";"—"
"72";"6";"—";"291000";"100 92 89";"10000";"Участвует в конкурсе";"1502756";"—"
"73";"2";"—";"291000";"98 97 86";"10000";"Участвует в конкурсе";"2216239";"—"
"74";"5";"—";"291000";"98 92 91";"10000";"Участвует в конкурсе";"1640794";"—"
"75";"4";"—";"291000";"98 92 91";"10000";"Участвует в конкурсе";"2249276";"—"
"77";"16";"—";"291000";"95 100 86";"10000";"Участвует в конкурсе";"2399948";"—"
"78";"6";"—";"291000";"95 97 89";"10000";"Участвует в конкурсе";"2137063";"—"
"79";"9";"—";"291000";"95 92 94";"10000";"Участвует в конкурсе";"1963797";"—"
"80";"3";"—";"291000";"95 92 94";"10000";"Участвует в конкурсе";"2052288";"—"
"81";"18";"—";"291000";"93 97 91";"10000";"Участвует в конкурсе";"1436957";"—"
"82";"15";"—";"291000";"90 94 97";"10000";"Участвует в конкурсе";"1443343";"—"
"83";"10";"—";"290000";"100 94 86";"10000";"Участвует в конкурсе";"2132667";"—"
"84";"12";"—";"290000";"96 95 89";"10000";"Участвует в конкурсе";"2367660";"—"
"85";"15";"—";"290000";"96 90 94";"10000";"Участвует в конкурсе";"2227144";"—"
"86";"3";"—";"290000";"95 94 91";"10000";"Участвует в конкурсе";"1726871";"—"
"87";"14";"—";"290000";"93 98 89";"10000";"Участвует в конкурсе";"1962427";"—"
"88";"11";"Электронное";"290000";"93 96 91";"10000";"Участвует в конкурсе";"1157172";"—"
"89";"9";"—";"289000";"100 95 94";"—";"Участвует в конкурсе";"1425676";"—"
"91";"16";"—";"289000";"100 98 81";"10000";"Участвует в конкурсе";"1653754";"—"
"92";"11";"—";"289000";"100 88 91";"10000";"Участвует в конкурсе";"1197790";"—"
"93";"12";"—";"289000";"100 82 97";"10000";"Участвует в конкурсе";"1917593";"—"
"94";"8";"—";"289000";"98 100 81";"10000";"Участвует в конкурсе";"1350561";"—"
"95";"3";"—";"289000";"98 95 86";"10000";"Участвует в конкурсе";"1291171";"—"
"96";"8";"—";"289000";"98 92 89";"10000";"Участвует в конкурсе";"1789957";"—"
"97";"1";"Электронное";"289000";"98 90 91";"10000";"Участвует в конкурсе";"1424910";"—"
"98";"28";"Электронное";"289000";"98 90 91";"10000";"Участвует в конкурсе";"1582374";"—"
"100";"19";"—";"289000";"95 84 100";"10000";"Участвует в конкурсе";"1582041";"—"
"101";"6";"Электронное";"289000";"94 96 89";"10000";"Участвует в конкурсе";"1714844";"—"
"102";"13";"—";"289000";"93 100 86";"10000";"Участвует в конкурсе";"1288256";"—"
"103";"23";"—";"289000";"93 95 91";"10000";"Участвует в конкурсе";"1463535";"—"
"104";"3";"—";"289000";"93 95 91";"10000";"Участвует в конкурсе";"1985522";"—"
"105";"2";"—";"289000";"92 90 97";"10000";"Участвует в конкурсе";"1191340";"—"
"106";"5";"—";"289000";"90 100 89";"10000";"Участвует в конкурсе";"1504165";"—"
"107";"13";"—";"289000";"90 100 89";"10000";"Участвует в конкурсе";"2344911";"—"
"108";"6";"—";"289000";"90 100 89";"10000";"Участвует в конкурсе";"2253090";"—"
"109";"10";"—";"289000";"88 100 91";"10000";"Участвует в конкурсе";"1516325";"—"
"110";"8";"—";"289000";"88 97 94";"10000";"Участвует в конкурсе";"1472422";"—"
"113";"16";"—";"288000";"96 95 89";"8000";"Участвует в конкурсе";"1977029";"—"
"114";"23";"—";"288000";"98 94 86";"10000";"Участвует в конкурсе";"2254975";"—"
"115";"14";"—";"288000";"96 96 86";"10000";"Участвует в конкурсе";"1963734";"—"
"116";"16";"—";"288000";"96 88 94";"10000";"Участвует в конкурсе";"1429917";"—"
"117";"10";"—";"288000";"94 98 86";"10000";"Участвует в конкурсе";"1311105";"—"
"118";"4";"—";"288000";"94 90 94";"10000";"Участвует в конкурсе";"2092698";"—"
"119";"6";"—";"288000";"93 96 89";"10000";"Участвует в конкурсе";"1262362";"—"
"120";"10";"—";"288000";"93 96 89";"10000";"Участвует в конкурсе";"1344235";"—"
"121";"17";"—";"288000";"93 94 91";"10000";"Участвует в конкурсе";"983542";"—"
"122";"17";"—";"288000";"90 94 94";"10000";"Участвует в конкурсе";"1725406";"—"
"123";"22";"Электронное";"288000";"88 90 100";"10000";"Участвует в конкурсе";"1640316";"—"
"124";"19";"—";"288000";"85 99 94";"10000";"Участвует в конкурсе";"1439269";"—"
"125";"3";"—";"288000";"82 99 97";"10000";"Участвует в конкурсе";"1499103";"—"
"126";"12";"—";"287000";"96 100 91";"—";"Участвует в конкурсе";"2310074";"—"
"127";"9";"—";"287000";"98 98 86";"5000";"Участвует в конкурсе";"1204240";"—"
"129";"7";"—";"287000";"100 86 91";"10000";"Участвует в конкурсе";"2410611";"—"
"130";"3";"—";"287000";"98 96 83";"10000";"Участвует в конкурсе";"1204319";"—"
"131";"11";"—";"287000";"98 90 89";"10000";"Участвует в конкурсе";"1955616";"—"
"132";"22";"—";"287000";"98 90 89";"10000";"Участвует в конкурсе";"2273067";"—"
"133";"4";"—";"287000";"96 98 83";"10000";"Участвует в конкурсе";"1309855";"—"
"134";"4";"—";"287000";"96 92 89";"10000";"Участвует в конкурсе";"2101488";"—"
"135";"2";"—";"287000";"96 90 91";"10000";"Участвует в конкурсе";"2215349";"—"
"136";"1";"—";"287000";"94 94 89";"10000";"Участвует в конкурсе";"2043412";"—"
"137";"18";"—";"287000";"90 96 91";"10000";"Участвует в конкурсе";"1515540";"—"
"138";"12";"—";"287000";"90 96 91";"10000";"Участвует в конкурсе";"1955155";"—"
"139";"6";"—";"287000";"90 90 97";"10000";"Участвует в конкурсе";"1399843";"—"
"140";"18";"—";"287000";"90 90 97";"10000";"Участвует в конкурсе";"1583458";"—"
"141";"18";"—";"287000";"90 90 97";"10000";"Участвует в конкурсе";"1493775";"—"
"143";"20";"—";"287000";"85 95 97";"10000";"Участвует в конкурсе";"2215707";"—"
"144";"17";"—";"286000";"98 94 94";"—";"Участвует в конкурсе";"1423832";"—"
"145";"12";"—";"286000";"95 97 91";"3000";"Участвует в конкурсе";"2172642";"—"
"146";"1";"—";"286000";"100 95 81";"10000";"Участвует в конкурсе";"1634811";"—"
"147";"7";"—";"286000";"98 100 78";"10000";"Участвует в конкурсе";"1945337";"—"
"148";"5";"—";"286000";"98 95 83";"10000";"Участвует в конкурсе";"1495495";"—"
"149";"6";"—";"286000";"98 95 83";"10000";"Участвует в конкурсе";"1997502";"—"
"150";"4";"—";"286000";"98 92 86";"10000";"Участвует в конкурсе";"1619399";"—"
"151";"8";"Электронное";"286000";"98 84 94";"10000";"Участвует в конкурсе";"1093652";"—"
"152";"1";"—";"286000";"96 97 83";"10000";"Участвует в конкурсе";"2056285";"—"
"153";"18";"—";"286000";"95 100 81";"10000";"Участвует в конкурсе";"2391145";"—"
"154";"6";"—";"286000";"95 95 86";"10000";"Участвует в конкурсе";"2311042";"—"
"155";"18";"—";"286000";"93 97 86";"10000";"Участвует в конкурсе";"1846843";"—"
"156";"6";"—";"286000";"90 97 89";"10000";"Участвует в конкурсе";"1697232";"—"
"158";"11";"—";"286000";"88 94 94";"10000";"Участвует в конкурсе";"1700688";"—"
"159";"5";"—";"285000";"90 92 97";"6000";"Участвует в конкурсе";"1415733";"—"
"160";"13";"—";"285000";"100 97 78";"10000";"Участвует в конкурсе";"1520738";"—"
"162";"6";"—";"285000";"98 94 83";"10000";"Участвует в конкурсе";"1621277";"—"
"163";"8";"—";"285000";"95 86 94";"10000";"Участвует в конкурсе";"1481367";"—"
"164";"18";"—";"285000";"93 88 94";"10000";"Участвует в конкурсе";"2100363";"—"
"165";"19";"—";"285000";"92 94 89";"10000";"Участвует в конкурсе";"1338650";"—"
"166";"23";"—";"285000";"90 99 86";"10000";"Участвует в конкурсе";"1795014";"—"
"168";"12";"—";"285000";"88 90 97";"10000";"Участвует в конкурсе";"1258699";"—"
"169";"13";"—";"284000";"95 92 94";"3000";"Участвует в конкурсе";"1203083";"—"
"170";"6";"—";"284000";"96 94 89";"5000";"Участвует в конкурсе";"1828164";"—"
"171";"17";"—";"284000";"95 100 83";"6000";"Участвует в конкурсе";"1652950";"—"
"172";"13";"—";"284000";"100 90 86";"8000";"Участвует в конкурсе";"1910194";"—"
"173";"18";"—";"284000";"100 99 75";"10000";"Участвует в конкурсе";"1356280";"—"
"174";"6";"—";"284000";"96 100 78";"10000";"Участвует в конкурсе";"2096822";"—"
"175";"14";"—";"284000";"96 95 83";"10000";"Участвует в конкурсе";"960464";"—"
