"Порядковый номер";"Приоритет конкурса";"Подано согласие";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"10";"Электронное";"1000";"x x x";"10000";"Участвует в конкурсе";"1651267";"—"
"2";"15";"—";"1000";"x x x";"10000";"Участвует в конкурсе";"1355457";"—"
"3";"1";"—";"1000";"x x x";"10000";"Участвует в конкурсе";"1643367";"—"
"4";"1";"Электронное";"1000";"x x x";"10000";"Участвует в конкурсе";"1549631";"—"
"5";"14";"—";"1000";"x x x";"10000";"Участвует в конкурсе";"1702133";"—"
"6";"29";"—";"1000";"x x x";"10000";"Участвует в конкурсе";"1846843";"—"
"7";"1";"—";"1000";"x x x";"10000";"Участвует в конкурсе";"1624808";"—"
"8";"14";"—";"1000";"x x x";"5000";"Участвует в конкурсе";"1928698";"—"
"9";"3";"—";"1000";"x x x";"3000";"Участвует в конкурсе";"1987920";"—"
"10";"10";"—";"1000";"x x x";"3000";"Участвует в конкурсе";"2084323";"—"
"11";"6";"—";"1000";"x x x";"3000";"Участвует в конкурсе";"1096810";"—"
"12";"25";"—";"1000";"x x x";"3000";"Участвует в конкурсе";"1961801";"—"
"13";"5";"Электронное";"1000";"x x x";"3000";"Участвует в конкурсе";"1980402";"—"
"14";"19";"—";"1000";"x x x";"3000";"Участвует в конкурсе";"2231197";"—"
"15";"9";"—";"1000";"x x x";"2000";"Участвует в конкурсе";"1653349";"—"
"16";"20";"Электронное";"1000";"x x x";"—";"Участвует в конкурсе";"1542584";"—"
"17";"1";"Электронное";"1000";"x x x";"—";"Участвует в конкурсе";"1517915";"—"
"18";"23";"—";"1000";"x x x";"—";"Участвует в конкурсе";"1975707";"—"
"19";"26";"Электронное";"1000";"x x x";"—";"Участвует в конкурсе";"2133320";"—"
"20";"12";"—";"1000";"x x x";"—";"Участвует в конкурсе";"1642778";"—"
"21";"4";"—";"1000";"x x x";"—";"Участвует в конкурсе";"2079705";"—"
"22";"8";"Электронное";"1000";"x x x";"—";"Участвует в конкурсе";"2302989";"—"
"23";"6";"—";"1000";"x x x";"—";"Участвует в конкурсе";"2273003";"—"
"24";"5";"—";"1000";"x x x";"—";"Участвует в конкурсе";"1476167";"—"
"25";"11";"—";"1000";"x x x";"—";"Участвует в конкурсе";"2235006";"—"
"26";"7";"Электронное";"1000";"x x x";"—";"Участвует в конкурсе";"1166793";"—"
"28";"10";"Электронное";"1000";"x x x";"—";"Участвует в конкурсе";"1356884";"—"
"29";"29";"Электронное";"1000";"x x x";"—";"Участвует в конкурсе";"2364364";"—"
"59";"4";"—";"301000";"100 97 94";"10000";"Участвует в конкурсе";"1728529";"—"
"60";"16";"—";"294000";"95 100 89";"10000";"Участвует в конкурсе";"1908016";"—"
"62";"3";"—";"292000";"93 92 97";"10000";"Участвует в конкурсе";"1471724";"—"
"63";"5";"—";"291000";"93 88 100";"10000";"Участвует в конкурсе";"1584673";"—"
"64";"10";"—";"289000";"98 95 86";"10000";"Участвует в конкурсе";"1291171";"—"
"65";"7";"Электронное";"289000";"98 90 91";"10000";"Участвует в конкурсе";"1424910";"—"
"66";"13";"—";"289000";"95 84 100";"10000";"Участвует в конкурсе";"1582041";"—"
"67";"10";"—";"287000";"94 94 89";"10000";"Участвует в конкурсе";"2043412";"—"
"69";"5";"—";"284000";"98 82 94";"10000";"Участвует в конкурсе";"1413135";"—"
"70";"5";"—";"284000";"93 92 89";"10000";"Участвует в конкурсе";"1283285";"—"
"71";"15";"—";"284000";"93 90 91";"10000";"Участвует в конкурсе";"1779294";"—"
"73";"10";"—";"282000";"92 94 86";"10000";"Участвует в конкурсе";"1233605";"—"
"74";"16";"—";"281000";"90 90 91";"10000";"Участвует в конкурсе";"1438369";"—"
"75";"10";"—";"280000";"94 95 91";"—";"Участвует в конкурсе";"1907930";"—"
"76";"14";"—";"280000";"88 98 89";"5000";"Участвует в конкурсе";"1576243";"—"
"77";"19";"—";"279000";"98 92 86";"3000";"Участвует в конкурсе";"2338542";"—"
"79";"13";"—";"278000";"95 86 94";"3000";"Участвует в конкурсе";"1290581";"—"
"80";"18";"—";"277000";"95 99 83";"—";"Участвует в конкурсе";"1292749";"—"
"81";"7";"—";"277000";"95 90 89";"3000";"Участвует в конкурсе";"1792648";"—"
"82";"3";"—";"277000";"98 88 81";"10000";"Участвует в конкурсе";"977071";"—"
"83";"10";"—";"277000";"94 90 83";"10000";"Участвует в конкурсе";"1645368";"—"
"84";"15";"Электронное";"276000";"93 84 89";"10000";"Участвует в конкурсе";"2260583";"—"
"85";"6";"—";"273000";"88 94 91";"—";"Участвует в конкурсе";"1518237";"—"
"86";"9";"—";"273000";"90 95 86";"2000";"Участвует в конкурсе";"1195315";"—"
"87";"20";"Электронное";"273000";"90 84 89";"10000";"Участвует в конкурсе";"1343659";"—"
"88";"4";"Электронное";"272000";"90 90 92";"—";"Участвует в конкурсе";"1548259";"—"
"89";"22";"—";"272000";"93 80 89";"10000";"Участвует в конкурсе";"1360112";"—"
"90";"9";"—";"272000";"85 86 91";"10000";"Участвует в конкурсе";"1910274";"—"
"91";"16";"—";"271000";"90 84 97";"—";"Участвует в конкурсе";"1720687";"—"
"92";"27";"—";"271000";"98 94 73";"6000";"Участвует в конкурсе";"973960";"—"
"93";"17";"—";"270000";"95 86 89";"—";"Участвует в конкурсе";"1854964";"—"
"94";"10";"Электронное";"270000";"90 90 90";"—";"Участвует в конкурсе";"1692557";"—"
"95";"19";"—";"270000";"95 90 75";"10000";"Участвует в конкурсе";"2255720";"—"
"97";"2";"—";"269000";"90 94 75";"10000";"Участвует в конкурсе";"2055496";"—"
"98";"2";"—";"268000";"88 84 86";"10000";"Участвует в конкурсе";"1852052";"—"
"99";"5";"—";"267000";"85 97 75";"10000";"Участвует в конкурсе";"1628065";"—"
"100";"28";"—";"266000";"85 90 91";"—";"Участвует в конкурсе";"1616542";"—"
"101";"26";"—";"266000";"83 92 81";"10000";"Участвует в конкурсе";"2241659";"—"
"103";"9";"Электронное";"265000";"88 84 83";"10000";"Участвует в конкурсе";"2001215";"—"
"104";"13";"—";"265000";"86 94 75";"10000";"Участвует в конкурсе";"1551735";"—"
"106";"3";"—";"262000";"88 78 86";"10000";"Участвует в конкурсе";"1299049";"—"
"107";"7";"—";"261000";"78 92 89";"2000";"Участвует в конкурсе";"1856516";"—"
"108";"9";"—";"260000";"100 78 72";"10000";"Участвует в конкурсе";"1175957";"—"
"109";"4";"—";"260000";"85 74 91";"10000";"Участвует в конкурсе";"1348748";"—"
"110";"8";"—";"259000";"88 92 69";"10000";"Участвует в конкурсе";"2001761";"—"
"111";"20";"Электронное";"259000";"86 82 81";"10000";"Участвует в конкурсе";"2288995";"—"
"112";"3";"—";"259000";"86 82 81";"10000";"Участвует в конкурсе";"1493888";"—"
