"Порядковый номер";"Приоритет конкурса";"Наличие договора";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"25";"—";"304000";"98 99 97";"10000";"Участвует в конкурсе";"1914761";"—"
"2";"11";"—";"300000";"95 98 97";"10000";"Участвует в конкурсе";"1331541";"—"
"3";"8";"—";"298000";"95 96 97";"10000";"Участвует в конкурсе";"1626983";"—"
"4";"10";"—";"296000";"95 97 94";"10000";"Участвует в конкурсе";"1196082";"—"
"5";"5";"—";"296000";"90 96 100";"10000";"Участвует в конкурсе";"1334560";"—"
"6";"10";"—";"294000";"95 92 97";"10000";"Участвует в конкурсе";"1333982";"—"
"7";"20";"—";"292000";"98 97 97";"—";"Участвует в конкурсе";"2006503";"—"
"8";"10";"—";"292000";"100 95 89";"8000";"Участвует в конкурсе";"1788572";"—"
"9";"26";"—";"292000";"95 98 89";"10000";"Участвует в конкурсе";"2000936";"—"
"10";"7";"—";"291000";"100 92 89";"10000";"Участвует в конкурсе";"1622970";"—"
"11";"9";"—";"291000";"83 98 100";"10000";"Участвует в конкурсе";"1656043";"—"
"12";"9";"—";"290000";"95 96 89";"10000";"Участвует в конкурсе";"1729121";"—"
"13";"7";"—";"289000";"95 94 97";"3000";"Участвует в конкурсе";"1481603";"—"
"14";"21";"—";"289000";"93 100 86";"10000";"Участвует в конкурсе";"1288256";"—"
"15";"13";"—";"289000";"90 100 89";"10000";"Участвует в конкурсе";"2344911";"—"
"16";"19";"—";"289000";"88 100 91";"10000";"Участвует в конкурсе";"1516325";"—"
"17";"6";"—";"287000";"98 98 86";"5000";"Участвует в конкурсе";"1204240";"—"
"18";"21";"—";"287000";"90 90 97";"10000";"Участвует в конкурсе";"1493775";"—"
"20";"6";"—";"286000";"95 95 86";"10000";"Участвует в конкурсе";"1556038";"—"
"22";"15";"—";"285000";"83 92 100";"10000";"Участвует в конкурсе";"1796557";"—"
"23";"14";"—";"284000";"95 92 94";"3000";"Участвует в конкурсе";"1203083";"—"
"24";"24";"—";"284000";"93 95 86";"10000";"Участвует в конкурсе";"1214535";"—"
"25";"19";"—";"284000";"93 90 91";"10000";"Участвует в конкурсе";"1779294";"—"
"26";"7";"—";"284000";"93 90 91";"10000";"Участвует в конкурсе";"1703589";"—"
"27";"3";"—";"284000";"88 95 91";"10000";"Участвует в конкурсе";"1815288";"—"
"28";"1";"—";"283000";"98 94 81";"10000";"Участвует в конкурсе";"1784599";"—"
"29";"19";"—";"283000";"93 97 83";"10000";"Участвует в конкурсе";"2341830";"—"
"30";"8";"—";"283000";"93 86 94";"10000";"Участвует в конкурсе";"1337769";"—"
"31";"4";"—";"283000";"90 92 91";"10000";"Участвует в конкурсе";"1259769";"—"
"32";"14";"—";"281000";"95 98 86";"2000";"Участвует в конкурсе";"1666321";"—"
"33";"13";"—";"281000";"90 95 86";"10000";"Участвует в конкурсе";"1959799";"—"
"34";"17";"—";"280000";"100 94 83";"3000";"Участвует в конкурсе";"2092669";"—"
"35";"2";"—";"280000";"98 100 72";"10000";"Участвует в конкурсе";"1914460";"—"
"36";"28";"—";"280000";"90 97 83";"10000";"Участвует в конкурсе";"1675328";"—"
"37";"10";"—";"280000";"88 96 86";"10000";"Участвует в конкурсе";"1280884";"—"
"38";"7";"—";"279000";"98 95 86";"—";"Участвует в конкурсе";"1854914";"—"
"39";"17";"—";"279000";"98 96 83";"2000";"Участвует в конкурсе";"1247218";"—"
"40";"19";"—";"279000";"98 88 83";"10000";"Участвует в конкурсе";"2219230";"—"
"41";"26";"—";"279000";"95 88 86";"10000";"Участвует в конкурсе";"2170924";"—"
"42";"9";"—";"279000";"93 90 86";"10000";"Участвует в конкурсе";"1196912";"—"
"44";"9";"—";"279000";"88 92 89";"10000";"Участвует в конкурсе";"1756318";"—"
"45";"26";"—";"279000";"88 92 89";"10000";"Участвует в конкурсе";"2260910";"—"
"46";"15";"—";"279000";"85 95 89";"10000";"Участвует в конкурсе";"1562867";"—"
"47";"6";"—";"278000";"93 94 86";"5000";"Участвует в конкурсе";"2172215";"—"
"48";"10";"—";"278000";"93 97 78";"10000";"Участвует в конкурсе";"2099279";"—"
"49";"8";"—";"278000";"85 86 97";"10000";"Участвует в конкурсе";"1194454";"—"
"50";"19";"—";"278000";"83 99 86";"10000";"Участвует в конкурсе";"1795014";"—"
"51";"29";"—";"278000";"83 94 91";"10000";"Участвует в конкурсе";"2035422";"—"
"52";"16";"—";"277000";"100 94 83";"—";"Участвует в конкурсе";"2310371";"—"
"53";"6";"—";"277000";"100 94 81";"2000";"Участвует в конкурсе";"1710356";"—"
"54";"4";"—";"277000";"93 88 86";"10000";"Участвует в конкурсе";"2090544";"—"
"55";"10";"—";"277000";"90 94 83";"10000";"Участвует в конкурсе";"2257901";"—"
"56";"7";"—";"276000";"95 92 89";"—";"Участвует в конкурсе";"2223237";"—"
"57";"14";"—";"276000";"90 95 89";"2000";"Участвует в конкурсе";"2197828";"—"
"58";"5";"—";"276000";"88 97 81";"10000";"Участвует в конкурсе";"1881507";"—"
"59";"12";"—";"276000";"83 94 89";"10000";"Участвует в конкурсе";"1797231";"—"
"60";"18";"—";"276000";"83 92 91";"10000";"Участвует в конкурсе";"2174175";"—"
"61";"18";"—";"275000";"83 95 89";"8000";"Участвует в конкурсе";"1977029";"—"
"62";"7";"—";"275000";"93 94 78";"10000";"Участвует в конкурсе";"1261618";"—"
"63";"6";"—";"275000";"90 94 81";"10000";"Участвует в конкурсе";"1262198";"—"
"64";"13";"—";"274000";"83 90 94";"7000";"Участвует в конкурсе";"1729657";"—"
"65";"7";"—";"274000";"95 90 81";"8000";"Участвует в конкурсе";"1194676";"—"
"66";"18";"—";"274000";"85 88 91";"10000";"Участвует в конкурсе";"1620198";"—"
"67";"23";"—";"273000";"98 95 78";"2000";"Участвует в конкурсе";"1244657";"—"
"68";"13";"—";"273000";"80 90 100";"3000";"Участвует в конкурсе";"1354965";"—"
"69";"27";"—";"273000";"93 84 86";"10000";"Участвует в конкурсе";"1975290";"—"
"70";"8";"—";"273000";"90 90 83";"10000";"Участвует в конкурсе";"1995262";"—"
"71";"9";"—";"273000";"88 94 81";"10000";"Участвует в конкурсе";"1516350";"—"
"72";"18";"—";"272000";"93 98 81";"—";"Участвует в конкурсе";"1791564";"—"
