"Порядковый номер";"Приоритет конкурса";"Подано согласие";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"13";"—";"1000";"x x x";"10000";"Участвует в конкурсе";"1768709";"—"
"2";"14";"Электронное";"1000";"x x x";"10000";"Участвует в конкурсе";"1964745";"—"
"3";"19";"—";"1000";"x x x";"10000";"Участвует в конкурсе";"1355457";"—"
"4";"21";"Электронное";"1000";"x x x";"10000";"Участвует в конкурсе";"1559916";"—"
"5";"6";"—";"1000";"x x x";"10000";"Участвует в конкурсе";"1782587";"—"
"6";"7";"Электронное";"1000";"x x x";"10000";"Участвует в конкурсе";"1826994";"—"
"7";"4";"—";"1000";"x x x";"10000";"Участвует в конкурсе";"2085177";"—"
"8";"11";"—";"1000";"x x x";"10000";"Участвует в конкурсе";"1702133";"—"
"9";"9";"—";"1000";"x x x";"10000";"Участвует в конкурсе";"2139677";"—"
"10";"10";"—";"1000";"x x x";"10000";"Участвует в конкурсе";"1846843";"—"
"11";"1";"Электронное";"1000";"x x x";"10000";"Участвует в конкурсе";"1325608";"—"
"12";"2";"—";"1000";"x x x";"10000";"Участвует в конкурсе";"1982619";"—"
"13";"5";"—";"1000";"x x x";"10000";"Участвует в конкурсе";"1346823";"—"
"14";"2";"Электронное";"1000";"x x x";"10000";"Участвует в конкурсе";"1891692";"—"
"15";"7";"Электронное";"1000";"x x x";"10000";"Участвует в конкурсе";"2114620";"—"
"16";"5";"—";"1000";"x x x";"10000";"Участвует в конкурсе";"1283901";"—"
"17";"2";"—";"1000";"x x x";"8000";"Участвует в конкурсе";"1164798";"—"
"18";"4";"Электронное";"1000";"x x x";"5000";"Участвует в конкурсе";"2219629";"—"
"19";"3";"Электронное";"1000";"x x x";"3000";"Участвует в конкурсе";"1203255";"—"
"20";"14";"—";"1000";"x x x";"3000";"Участвует в конкурсе";"2084323";"—"
"21";"9";"—";"1000";"x x x";"3000";"Участвует в конкурсе";"1961801";"—"
"22";"8";"Электронное";"1000";"x x x";"3000";"Участвует в конкурсе";"1980402";"—"
"23";"9";"—";"1000";"x x x";"3000";"Участвует в конкурсе";"2231197";"—"
"24";"15";"—";"1000";"x x x";"2000";"Участвует в конкурсе";"1653349";"—"
"25";"11";"Электронное";"1000";"x x x";"2000";"Участвует в конкурсе";"1130423";"—"
"26";"8";"—";"1000";"x x x";"2000";"Участвует в конкурсе";"1771361";"—"
"27";"29";"Электронное";"1000";"x x x";"—";"Участвует в конкурсе";"1542584";"—"
"28";"7";"Электронное";"1000";"x x x";"—";"Участвует в конкурсе";"1748899";"—"
"29";"11";"Электронное";"1000";"x x x";"—";"Участвует в конкурсе";"2030125";"—"
"30";"10";"Электронное";"1000";"x x x";"—";"Участвует в конкурсе";"1624426";"—"
"31";"16";"—";"1000";"x x x";"—";"Участвует в конкурсе";"1645058";"—"
"32";"15";"Электронное";"1000";"x x x";"—";"Участвует в конкурсе";"1517915";"—"
"33";"5";"—";"1000";"x x x";"—";"Участвует в конкурсе";"1975707";"—"
"34";"1";"—";"1000";"x x x";"—";"Участвует в конкурсе";"1151776";"—"
"35";"18";"—";"1000";"x x x";"—";"Участвует в конкурсе";"1642778";"—"
"36";"8";"—";"1000";"x x x";"—";"Участвует в конкурсе";"1243653";"—"
"37";"5";"Электронное";"1000";"x x x";"—";"Участвует в конкурсе";"2302989";"—"
"38";"12";"—";"1000";"x x x";"—";"Участвует в конкурсе";"963911";"—"
"39";"1";"—";"1000";"x x x";"—";"Участвует в конкурсе";"2143103";"—"
"40";"3";"—";"1000";"x x x";"—";"Участвует в конкурсе";"1480127";"—"
"41";"17";"—";"1000";"x x x";"—";"Участвует в конкурсе";"2385498";"—"
"42";"13";"—";"1000";"x x x";"—";"Участвует в конкурсе";"1476167";"—"
"43";"28";"—";"1000";"x x x";"—";"Участвует в конкурсе";"2235006";"—"
"44";"1";"—";"1000";"x x x";"—";"Участвует в конкурсе";"1581114";"—"
"45";"11";"Электронное";"1000";"x x x";"—";"Участвует в конкурсе";"1763734";"—"
"46";"7";"—";"1000";"x x x";"—";"Участвует в конкурсе";"2092683";"—"
"47";"4";"Электронное";"1000";"x x x";"—";"Участвует в конкурсе";"2133320";"—"
"48";"2";"—";"1000";"x x x";"—";"Участвует в конкурсе";"1646652";"—"
"49";"8";"—";"1000";"x x x";"—";"Участвует в конкурсе";"1638048";"—"
"50";"15";"Электронное";"1000";"x x x";"—";"Участвует в конкурсе";"1356884";"—"
"51";"7";"—";"1000";"x x x";"—";"Участвует в конкурсе";"2127785";"—"
"52";"23";"Электронное";"1000";"x x x";"—";"Участвует в конкурсе";"2364364";"—"
"53";"7";"—";"1000";"x x x";"—";"Участвует в конкурсе";"2422536";"—"
"107";"3";"—";"307000";"100 97 100";"10000";"Участвует в конкурсе";"1612491";"—"
"108";"7";"—";"304000";"100 100 94";"10000";"Участвует в конкурсе";"1796316";"—"
"109";"12";"—";"293000";"100 100 83";"10000";"Участвует в конкурсе";"1412783";"—"
"110";"7";"—";"291000";"95 100 86";"10000";"Участвует в конкурсе";"1339150";"—"
"111";"9";"—";"291000";"93 94 94";"10000";"Участвует в конкурсе";"1916223";"—"
"112";"7";"—";"287000";"93 90 94";"10000";"Участвует в конкурсе";"1645061";"—"
"113";"8";"—";"287000";"88 92 97";"10000";"Участвует в конкурсе";"1473705";"—"
"115";"12";"—";"284000";"93 90 91";"10000";"Участвует в конкурсе";"1779294";"—"
"116";"6";"Электронное";"283000";"100 90 83";"10000";"Участвует в конкурсе";"2138900";"—"
"117";"8";"—";"282000";"95 96 81";"10000";"Участвует в конкурсе";"1784131";"—"
"118";"5";"—";"279000";"90 98 81";"10000";"Участвует в конкурсе";"2210541";"—"
"120";"26";"—";"278000";"95 86 94";"3000";"Участвует в конкурсе";"1290581";"—"
"121";"8";"—";"278000";"88 94 86";"10000";"Участвует в конкурсе";"1233605";"—"
"122";"23";"—";"277000";"95 99 83";"—";"Участвует в конкурсе";"1292749";"—"
"123";"2";"—";"277000";"98 88 81";"10000";"Участвует в конкурсе";"1850827";"—"
"124";"6";"—";"277000";"90 86 91";"10000";"Участвует в конкурсе";"1917051";"—"
"125";"20";"—";"277000";"90 86 91";"10000";"Участвует в конкурсе";"1419084";"—"
"126";"4";"—";"276000";"95 92 89";"—";"Участвует в конкурсе";"1719852";"—"
"127";"13";"Электронное";"275000";"90 86 89";"10000";"Участвует в конкурсе";"2133199";"—"
"128";"2";"—";"275000";"88 86 91";"10000";"Участвует в конкурсе";"2208152";"—"
"129";"6";"—";"275000";"83 96 86";"10000";"Участвует в конкурсе";"2262259";"—"
"130";"9";"Электронное";"274000";"90 94 83";"7000";"Участвует в конкурсе";"1362029";"—"
"131";"13";"—";"274000";"98 88 78";"10000";"Участвует в конкурсе";"1987159";"—"
"132";"10";"Электронное";"274000";"80 90 94";"10000";"Участвует в конкурсе";"2180549";"—"
"133";"15";"—";"273000";"88 94 91";"—";"Участвует в конкурсе";"1518237";"—"
"134";"11";"—";"273000";"90 95 86";"2000";"Участвует в конкурсе";"1195315";"—"
"135";"8";"Электронное";"273000";"93 88 82";"10000";"Участвует в конкурсе";"1618442";"—"
"136";"11";"—";"273000";"90 92 81";"10000";"Участвует в конкурсе";"1512114";"—"
"137";"16";"Электронное";"273000";"90 84 89";"10000";"Участвует в конкурсе";"1343659";"—"
"138";"4";"—";"272000";"93 80 89";"10000";"Участвует в конкурсе";"1360112";"—"
"139";"20";"—";"272000";"85 86 91";"10000";"Участвует в конкурсе";"1910274";"—"
"140";"3";"—";"271000";"98 94 73";"6000";"Участвует в конкурсе";"973960";"—"
"141";"24";"—";"270000";"95 86 89";"—";"Участвует в конкурсе";"1854964";"—"
"142";"2";"—";"270000";"90 94 86";"—";"Участвует в конкурсе";"1717739";"—"
"144";"4";"Электронное";"269000";"83 90 86";"10000";"Участвует в конкурсе";"1573289";"—"
"145";"9";"—";"268000";"93 96 69";"10000";"Участвует в конкурсе";"1177016";"—"
"146";"3";"—";"267000";"85 86 86";"10000";"Участвует в конкурсе";"1555414";"—"
"147";"6";"—";"266000";"93 92 81";"—";"Участвует в конкурсе";"2249367";"—"
"148";"7";"—";"266000";"88 84 94";"—";"Участвует в конкурсе";"831453";"—"
"149";"7";"—";"266000";"85 90 91";"—";"Участвует в конкурсе";"1616542";"—"
"150";"13";"—";"266000";"90 90 83";"3000";"Участвует в конкурсе";"1647787";"—"
"151";"18";"—";"266000";"83 92 81";"10000";"Участвует в конкурсе";"2241659";"—"
"153";"7";"Электронное";"265000";"88 84 83";"10000";"Участвует в конкурсе";"1612346";"—"
"154";"21";"Электронное";"264000";"85 86 83";"10000";"Участвует в конкурсе";"1192919";"—"
"155";"4";"Электронное";"263000";"98 84 81";"—";"Участвует в конкурсе";"1481088";"—"
"157";"2";"—";"263000";"78 78 97";"10000";"Участвует в конкурсе";"1544161";"—"
"159";"5";"—";"262000";"83 94 75";"10000";"Участвует в конкурсе";"1562433";"—"
"160";"22";"—";"261000";"78 92 89";"2000";"Участвует в конкурсе";"1856516";"—"
"161";"3";"—";"261000";"80 88 83";"10000";"Участвует в конкурсе";"1998015";"—"
"163";"22";"Электронное";"259000";"80 80 89";"10000";"Участвует в конкурсе";"1530025";"—"
"164";"11";"—";"258000";"83 92 78";"5000";"Участвует в конкурсе";"1200226";"—"
"165";"7";"—";"258000";"90 72 86";"10000";"Участвует в конкурсе";"1544122";"—"
"166";"13";"—";"258000";"70 92 86";"10000";"Участвует в конкурсе";"2272665";"—"
"167";"9";"—";"257000";"95 95 67";"—";"Участвует в конкурсе";"1192837";"—"
"168";"10";"—";"257000";"90 84 83";"—";"Участвует в конкурсе";"1419781";"—"
"169";"5";"—";"257000";"95 72 83";"7000";"Участвует в конкурсе";"1178482";"—"
"170";"11";"—";"257000";"83 78 86";"10000";"Участвует в конкурсе";"1257168";"—"
"171";"3";"Электронное";"257000";"80 86 81";"10000";"Участвует в конкурсе";"1421808";"—"
"172";"10";"—";"257000";"80 76 91";"10000";"Участвует в конкурсе";"1640822";"—"
"174";"6";"—";"255000";"100 82 73";"—";"Участвует в конкурсе";"1484276";"—"
"175";"5";"Электронное";"255000";"88 82 75";"10000";"Участвует в конкурсе";"1370091";"—"
"177";"8";"—";"255000";"70 94 81";"10000";"Участвует в конкурсе";"1637333";"—"
"179";"16";"Электронное";"253000";"85 72 86";"10000";"Участвует в конкурсе";"1197132";"—"
"180";"6";"—";"252000";"78 78 86";"10000";"Участвует в конкурсе";"1559423";"—"
"181";"15";"—";"251000";"85 84 72";"10000";"Участвует в конкурсе";"1263613";"—"
"182";"23";"—";"251000";"80 86 75";"10000";"Участвует в конкурсе";"1474245";"—"
"183";"19";"—";"251000";"80 78 83";"10000";"Участвует в конкурсе";"1200594";"—"
"184";"7";"—";"251000";"78 82 81";"10000";"Участвует в конкурсе";"1977369";"—"
"185";"6";"—";"250000";"95 82 73";"—";"Участвует в конкурсе";"1638302";"—"
"186";"9";"—";"250000";"88 88 74";"—";"Участвует в конкурсе";"1584816";"—"
"187";"2";"—";"250000";"83 86 81";"—";"Участвует в конкурсе";"1988346";"—"
"188";"5";"—";"250000";"88 84 75";"3000";"Участвует в конкурсе";"2293570";"—"
"189";"4";"—";"250000";"75 92 75";"8000";"Участвует в конкурсе";"1797323";"—"
"190";"19";"—";"250000";"90 80 70";"10000";"Участвует в конкурсе";"1131894";"—"
"191";"24";"Электронное";"250000";"85 80 75";"10000";"Участвует в конкурсе";"1493633";"—"
"192";"16";"Электронное";"250000";"83 82 75";"10000";"Участвует в конкурсе";"1971554";"—"
"193";"4";"—";"250000";"75 82 83";"10000";"Участвует в конкурсе";"1412838";"—"
"194";"18";"Электронное";"249000";"78 90 81";"—";"Участвует в конкурсе";"2266856";"—"
"195";"10";"—";"249000";"85 78 83";"3000";"Участвует в конкурсе";"1266040";"—"
"196";"11";"—";"249000";"78 80 81";"10000";"Участвует в конкурсе";"1628229";"—"
"197";"3";"—";"248000";"83 84 81";"—";"Участвует в конкурсе";"1638846";"—"
"198";"7";"Электронное";"248000";"83 82 83";"—";"Участвует в конкурсе";"1318725";"—"
"199";"12";"—";"248000";"85 80 81";"2000";"Участвует в конкурсе";"1678840";"—"
"200";"13";"Электронное";"248000";"78 90 70";"10000";"Участвует в конкурсе";"1794189";"—"
"201";"7";"Электронное";"248000";"75 82 81";"10000";"Участвует в конкурсе";"2288995";"—"
"202";"25";"—";"247000";"85 84 75";"3000";"Участвует в конкурсе";"2219042";"—"
"203";"24";"—";"247000";"83 88 73";"3000";"Участвует в конкурсе";"2159073";"—"
"204";"14";"—";"247000";"78 88 78";"3000";"Участвует в конкурсе";"1275943";"—"
"205";"9";"—";"246000";"85 80 81";"—";"Участвует в конкурсе";"2367595";"—"
"206";"20";"—";"246000";"72 78 86";"10000";"Участвует в конкурсе";"1712794";"—"
"207";"3";"—";"246000";"67 80 89";"10000";"Участвует в конкурсе";"2316364";"—"
"208";"18";"—";"245000";"80 84 81";"—";"Участвует в конкурсе";"1071963";"—"
"209";"8";"—";"245000";"88 86 63";"8000";"Участвует в конкурсе";"1786293";"—"
"210";"24";"—";"245000";"70 84 81";"10000";"Участвует в конкурсе";"2340151";"—"
"211";"5";"Электронное";"244000";"83 78 83";"—";"Участвует в конкурсе";"1499350";"—"
"212";"5";"—";"244000";"78 96 60";"10000";"Участвует в конкурсе";"1164181";"—"
"214";"24";"—";"242000";"85 82 73";"2000";"Участвует в конкурсе";"2121041";"—"
"216";"8";"—";"240000";"80 78 72";"10000";"Участвует в конкурсе";"2101499";"—"
"217";"20";"—";"240000";"59 82 89";"10000";"Участвует в конкурсе";"1329700";"—"
"218";"14";"Электронное";"239000";"80 84 75";"—";"Участвует в конкурсе";"1794343";"—"
"219";"29";"Электронное";"239000";"72 82 75";"10000";"Участвует в конкурсе";"2221965";"—"
"220";"7";"Электронное";"238000";"88 78 72";"—";"Участвует в конкурсе";"1646963";"—"
"221";"11";"—";"238000";"85 80 73";"—";"Участвует в конкурсе";"986183";"—"
"222";"23";"Электронное";"238000";"83 80 75";"—";"Участвует в конкурсе";"1406403";"—"
"223";"4";"Электронное";"238000";"78 82 78";"—";"Участвует в конкурсе";"1911965";"—"
"224";"11";"—";"238000";"80 74 81";"3000";"Участвует в конкурсе";"1787630";"—"
"225";"2";"—";"237000";"62 86 89";"—";"Участвует в конкурсе";"2201116";"—"
"226";"29";"—";"237000";"80 80 75";"2000";"Участвует в конкурсе";"1909043";"—"
"227";"10";"Электронное";"236000";"85 76 75";"—";"Участвует в конкурсе";"1622886";"—"
"228";"22";"—";"236000";"72 80 81";"3000";"Участвует в конкурсе";"1626028";"—"
"229";"21";"—";"236000";"78 76 72";"10000";"Участвует в конкурсе";"2339492";"—"
"230";"18";"—";"236000";"75 78 73";"10000";"Участвует в конкурсе";"2316371";"—"
"231";"5";"—";"235000";"78 74 83";"—";"Участвует в конкурсе";"1400556";"—"
"232";"3";"Электронное";"235000";"80 84 69";"2000";"Участвует в конкурсе";"959429";"—"
"233";"22";"—";"235000";"85 82 63";"5000";"Участвует в конкурсе";"1134387";"—"
"235";"2";"Электронное";"234000";"83 70 78";"3000";"Участвует в конкурсе";"2100401";"—"
