"Порядковый номер";"Приоритет конкурса";"Подано согласие";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"5";"—";"289000";"95 95 89";"10000";"Участвует в конкурсе";"1895993";"—"
"2";"14";"—";"282000";"98 90 91";"3000";"Участвует в конкурсе";"1195407";"—"
"3";"19";"—";"280000";"88 96 86";"10000";"Участвует в конкурсе";"1285047";"—"
"4";"5";"—";"275000";"98 86 81";"10000";"Участвует в конкурсе";"1414943";"—"
"5";"8";"—";"274000";"90 96 78";"10000";"Участвует в конкурсе";"1582830";"—"
"6";"20";"—";"269000";"90 86 83";"10000";"Участвует в конкурсе";"1618719";"—"
"7";"4";"—";"268000";"85 97 86";"—";"Участвует в конкурсе";"1979523";"—"
"8";"5";"—";"267000";"90 96 81";"—";"Участвует в конкурсе";"1309010";"—"
"9";"13";"—";"267000";"90 86 81";"10000";"Участвует в конкурсе";"1637109";"—"
"10";"5";"—";"266000";"93 88 85";"—";"Участвует в конкурсе";"1307288";"—"
"11";"8";"—";"263000";"98 94 69";"2000";"Участвует в конкурсе";"1608831";"—"
"12";"9";"Электронное";"262000";"80 80 92";"10000";"Участвует в конкурсе";"1772890";"—"
"14";"27";"—";"258000";"83 84 83";"8000";"Участвует в конкурсе";"1363725";"—"
"15";"7";"—";"257000";"88 84 75";"10000";"Участвует в конкурсе";"1955035";"—"
"16";"10";"Электронное";"254000";"85 78 81";"10000";"Участвует в конкурсе";"2165742";"—"
"17";"8";"Электронное";"254000";"78 97 69";"10000";"Участвует в конкурсе";"2220150";"—"
"18";"7";"—";"253000";"83 82 78";"10000";"Участвует в конкурсе";"1790298";"—"
"19";"9";"—";"252000";"88 92 69";"3000";"Участвует в конкурсе";"1258505";"—"
"22";"16";"Электронное";"250000";"88 86 66";"10000";"Участвует в конкурсе";"2248399";"—"
"23";"5";"—";"247000";"74 82 81";"10000";"Участвует в конкурсе";"2179346";"—"
"24";"25";"—";"246000";"83 90 73";"—";"Участвует в конкурсе";"1843695";"—"
"25";"2";"—";"246000";"80 82 81";"3000";"Участвует в конкурсе";"2182368";"—"
