"Порядковый номер";"Приоритет конкурса";"Наличие договора";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"15";"—";"308000";"98 100 100";"10000";"Участвует в конкурсе";"1728171";"—"
"2";"4";"—";"307000";"100 100 97";"10000";"Участвует в конкурсе";"1414233";"—"
"3";"18";"—";"304000";"98 99 97";"10000";"Участвует в конкурсе";"1914761";"—"
"4";"18";"—";"300000";"95 98 97";"10000";"Участвует в конкурсе";"1331541";"—"
"5";"12";"—";"299000";"93 96 100";"10000";"Участвует в конкурсе";"1516062";"—"
"6";"8";"—";"297000";"98 100 89";"10000";"Участвует в конкурсе";"1167293";"—"
"7";"11";"—";"297000";"95 92 100";"10000";"Участвует в конкурсе";"1501339";"—"
"9";"18";"—";"296000";"100 86 100";"10000";"Участвует в конкурсе";"1702101";"—"
"10";"8";"—";"295000";"95 99 91";"10000";"Участвует в конкурсе";"1479205";"—"
"11";"17";"—";"295000";"95 99 91";"10000";"Участвует в конкурсе";"1783449";"—"
"12";"5";"—";"295000";"90 98 97";"10000";"Участвует в конкурсе";"2341831";"—"
"13";"11";"—";"294000";"98 100 86";"10000";"Участвует в конкурсе";"1625066";"—"
"14";"11";"—";"294000";"95 92 97";"10000";"Участвует в конкурсе";"1333982";"—"
"15";"7";"—";"293000";"93 100 94";"6000";"Участвует в конкурсе";"2218242";"—"
"16";"12";"—";"293000";"100 94 89";"10000";"Участвует в конкурсе";"2134514";"—"
"17";"9";"—";"292000";"98 97 97";"—";"Участвует в конкурсе";"2006503";"—"
"18";"2";"—";"292000";"100 92 94";"6000";"Участвует в конкурсе";"1977911";"—"
"19";"3";"—";"292000";"100 95 89";"8000";"Участвует в конкурсе";"1788572";"—"
"20";"8";"—";"292000";"100 99 83";"10000";"Участвует в конкурсе";"2230382";"—"
"21";"17";"—";"292000";"95 98 89";"10000";"Участвует в конкурсе";"2000936";"—"
"22";"6";"—";"292000";"90 95 97";"10000";"Участвует в конкурсе";"1215083";"—"
"23";"4";"—";"291000";"100 92 89";"10000";"Участвует в конкурсе";"1622970";"—"
"24";"14";"—";"290000";"95 96 89";"10000";"Участвует в конкурсе";"1729121";"—"
"25";"5";"—";"290000";"95 94 91";"10000";"Участвует в конкурсе";"1572600";"—"
"26";"4";"—";"290000";"90 96 94";"10000";"Участвует в конкурсе";"1536693";"—"
"27";"18";"—";"290000";"88 95 97";"10000";"Участвует в конкурсе";"1287292";"—"
"28";"11";"—";"290000";"88 95 97";"10000";"Участвует в конкурсе";"2005775";"—"
"29";"8";"—";"289000";"93 100 86";"10000";"Участвует в конкурсе";"1288256";"—"
"30";"10";"—";"289000";"88 100 91";"10000";"Участвует в конкурсе";"1516325";"—"
"31";"4";"—";"288000";"93 96 89";"10000";"Участвует в конкурсе";"1580385";"—"
"32";"10";"—";"288000";"85 96 97";"10000";"Участвует в конкурсе";"1200904";"—"
"33";"16";"—";"287000";"98 98 86";"5000";"Участвует в конкурсе";"1204240";"—"
"34";"3";"—";"287000";"98 90 89";"10000";"Участвует в конкурсе";"1194946";"—"
"35";"18";"—";"287000";"95 96 86";"10000";"Участвует в конкурсе";"1652121";"—"
"36";"4";"—";"287000";"90 90 97";"10000";"Участвует в конкурсе";"1493775";"—"
"37";"16";"—";"287000";"85 95 97";"10000";"Участвует в конкурсе";"2314652";"—"
"38";"7";"—";"286000";"93 100 83";"10000";"Участвует в конкурсе";"1364152";"—"
"39";"10";"—";"286000";"90 92 94";"10000";"Участвует в конкурсе";"2415700";"—"
"40";"4";"—";"285000";"98 98 89";"—";"Участвует в конкурсе";"1427864";"—"
"41";"6";"—";"285000";"93 95 91";"6000";"Участвует в конкурсе";"1656020";"—"
"42";"20";"—";"285000";"100 94 81";"10000";"Участвует в конкурсе";"1904436";"—"
"43";"2";"—";"285000";"95 94 86";"10000";"Участвует в конкурсе";"1195761";"—"
"44";"9";"—";"285000";"93 88 94";"10000";"Участвует в конкурсе";"1606981";"—"
"45";"4";"—";"285000";"90 94 91";"10000";"Участвует в конкурсе";"1730554";"—"
