"Порядковый номер";"Приоритет конкурса";"Подано согласие";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"16";"—";"310000";"100 100 100";"10000";"Участвует в конкурсе";"1514555";"—"
"2";"16";"—";"310000";"100 100 100";"10000";"Участвует в конкурсе";"1701767";"—"
"3";"12";"—";"308000";"98 100 100";"10000";"Участвует в конкурсе";"1728171";"—"
"4";"10";"—";"307000";"100 100 97";"10000";"Участвует в конкурсе";"2071444";"—"
"5";"9";"—";"304000";"100 100 94";"10000";"Участвует в конкурсе";"1796316";"—"
"6";"26";"—";"304000";"100 100 94";"10000";"Участвует в конкурсе";"952832";"—"
"7";"20";"—";"304000";"100 100 94";"10000";"Участвует в конкурсе";"1603179";"—"
"8";"15";"—";"304000";"98 99 97";"10000";"Участвует в конкурсе";"1914761";"—"
"9";"21";"—";"303000";"100 99 94";"10000";"Участвует в конкурсе";"1684531";"—"
"10";"15";"—";"303000";"98 95 100";"10000";"Участвует в конкурсе";"2041055";"—"
"11";"11";"—";"302000";"98 100 94";"10000";"Участвует в конкурсе";"1839611";"—"
"12";"18";"—";"302000";"95 100 97";"10000";"Участвует в конкурсе";"1391057";"—"
"13";"17";"—";"302000";"93 99 100";"10000";"Участвует в конкурсе";"1396381";"—"
"14";"5";"—";"301000";"100 100 91";"10000";"Участвует в конкурсе";"1723490";"—"
"15";"22";"—";"301000";"100 97 94";"10000";"Участвует в конкурсе";"1730665";"—"
"16";"13";"—";"301000";"95 96 100";"10000";"Участвует в конкурсе";"1355170";"—"
"17";"20";"Электронное";"301000";"95 96 100";"10000";"Участвует в конкурсе";"2248401";"—"
"18";"19";"—";"300000";"100 99 91";"10000";"Участвует в конкурсе";"1999926";"—"
"19";"4";"—";"300000";"100 96 94";"10000";"Участвует в конкурсе";"999715";"—"
"20";"24";"—";"300000";"95 98 97";"10000";"Участвует в конкурсе";"1331541";"—"
"21";"11";"—";"299000";"100 100 89";"10000";"Участвует в конкурсе";"1786590";"—"
"22";"9";"—";"299000";"100 100 89";"10000";"Участвует в конкурсе";"1766377";"—"
"23";"10";"—";"299000";"100 100 89";"10000";"Участвует в конкурсе";"1720224";"—"
"24";"7";"—";"299000";"100 100 89";"10000";"Участвует в конкурсе";"1572403";"—"
"25";"11";"—";"299000";"100 92 97";"10000";"Участвует в конкурсе";"1729269";"—"
"26";"13";"—";"299000";"98 100 91";"10000";"Участвует в конкурсе";"1572627";"—"
"27";"22";"—";"299000";"95 97 97";"10000";"Участвует в конкурсе";"1772073";"—"
"28";"12";"—";"299000";"93 99 97";"10000";"Участвует в конкурсе";"2269157";"—"
"29";"5";"—";"298000";"100 99 89";"10000";"Участвует в конкурсе";"1200511";"—"
"30";"19";"—";"298000";"98 96 94";"10000";"Участвует в конкурсе";"1436757";"—"
"31";"6";"—";"297000";"100 96 91";"10000";"Участвует в конкурсе";"1261735";"—"
"32";"25";"—";"297000";"100 90 97";"10000";"Участвует в конкурсе";"1784994";"—"
"33";"15";"—";"297000";"100 90 97";"10000";"Участвует в конкурсе";"1726516";"—"
"34";"9";"—";"297000";"98 100 89";"10000";"Участвует в конкурсе";"1167293";"—"
"35";"21";"—";"297000";"98 98 91";"10000";"Участвует в конкурсе";"1997125";"—"
"37";"12";"Электронное";"297000";"98 92 97";"10000";"Участвует в конкурсе";"1899881";"—"
"38";"15";"—";"297000";"95 95 97";"10000";"Участвует в конкурсе";"1860605";"—"
"39";"19";"—";"297000";"95 92 100";"10000";"Участвует в конкурсе";"1422687";"—"
"40";"18";"—";"297000";"95 92 100";"10000";"Участвует в конкурсе";"1501339";"—"
"41";"19";"—";"297000";"93 100 94";"10000";"Участвует в конкурсе";"1491537";"—"
"42";"8";"—";"297000";"93 100 94";"10000";"Участвует в конкурсе";"1441490";"—"
"43";"4";"Электронное";"297000";"93 97 97";"10000";"Участвует в конкурсе";"1367243";"—"
"44";"5";"—";"297000";"90 100 97";"10000";"Участвует в конкурсе";"1655375";"—"
"45";"18";"—";"296000";"100 96 94";"6000";"Участвует в конкурсе";"1201342";"—"
"46";"12";"—";"296000";"100 92 94";"10000";"Участвует в конкурсе";"1274250";"—"
"47";"15";"—";"296000";"100 86 100";"10000";"Участвует в конкурсе";"1702101";"—"
"48";"19";"—";"296000";"98 97 91";"10000";"Участвует в конкурсе";"1978769";"—"
"49";"13";"—";"296000";"98 97 91";"10000";"Участвует в конкурсе";"1471844";"—"
"50";"14";"—";"296000";"95 97 94";"10000";"Участвует в конкурсе";"1624934";"—"
"51";"5";"—";"296000";"93 99 94";"10000";"Участвует в конкурсе";"1612795";"—"
"52";"23";"—";"296000";"93 96 97";"10000";"Участвует в конкурсе";"1366342";"—"
"53";"10";"—";"295000";"98 94 100";"3000";"Участвует в конкурсе";"1616265";"—"
"54";"3";"—";"295000";"95 99 91";"10000";"Участвует в конкурсе";"1783449";"—"
"55";"19";"—";"295000";"93 98 94";"10000";"Участвует в конкурсе";"1479776";"—"
"56";"6";"Электронное";"295000";"90 98 97";"10000";"Участвует в конкурсе";"1618591";"—"
"57";"9";"—";"294000";"100 97 94";"3000";"Участвует в конкурсе";"2368429";"—"
"58";"14";"—";"294000";"98 100 86";"10000";"Участвует в конкурсе";"1625066";"—"
"59";"20";"—";"294000";"98 100 86";"10000";"Участвует в конкурсе";"1642393";"—"
"60";"16";"—";"294000";"95 92 97";"10000";"Участвует в конкурсе";"1333982";"—"
"61";"11";"—";"294000";"95 92 97";"10000";"Участвует в конкурсе";"1964954";"—"
"62";"8";"—";"294000";"93 100 91";"10000";"Участвует в конкурсе";"2105998";"—"
"63";"3";"Электронное";"294000";"93 97 94";"10000";"Участвует в конкурсе";"1508498";"—"
"64";"20";"—";"294000";"93 94 97";"10000";"Участвует в конкурсе";"2240018";"—"
"65";"6";"—";"294000";"90 97 97";"10000";"Участвует в конкурсе";"2254730";"—"
"66";"9";"—";"294000";"90 94 100";"10000";"Участвует в конкурсе";"1655126";"—"
"67";"10";"—";"294000";"88 96 100";"10000";"Участвует в конкурсе";"1446051";"—"
"68";"6";"—";"294000";"85 99 100";"10000";"Участвует в конкурсе";"1798162";"—"
"69";"16";"—";"294000";"85 99 100";"10000";"Участвует в конкурсе";"1913252";"—"
"70";"14";"—";"293000";"100 100 83";"10000";"Участвует в конкурсе";"1412783";"—"
"71";"11";"—";"293000";"100 100 83";"10000";"Участвует в конкурсе";"1636087";"—"
"72";"21";"—";"293000";"100 94 89";"10000";"Участвует в конкурсе";"1352457";"—"
"73";"17";"—";"293000";"100 94 89";"10000";"Участвует в конкурсе";"2134514";"—"
"74";"16";"—";"293000";"100 86 97";"10000";"Участвует в конкурсе";"2135071";"—"
"75";"11";"—";"293000";"98 88 97";"10000";"Участвует в конкурсе";"1259871";"—"
"76";"20";"—";"293000";"95 94 94";"10000";"Участвует в конкурсе";"1440362";"—"
"77";"6";"—";"293000";"95 94 94";"10000";"Участвует в конкурсе";"1795304";"—"
"79";"16";"—";"292000";"98 97 97";"—";"Участвует в конкурсе";"2006503";"—"
"80";"24";"Электронное";"292000";"95 95 100";"2000";"Участвует в конкурсе";"1375485";"—"
"81";"28";"Электронное";"292000";"100 98 91";"3000";"Участвует в конкурсе";"2183839";"—"
"82";"16";"—";"292000";"98 97 94";"3000";"Участвует в конкурсе";"1843188";"—"
"83";"23";"—";"292000";"100 98 89";"5000";"Участвует в конкурсе";"1600716";"—"
"84";"20";"—";"292000";"100 92 94";"6000";"Участвует в конкурсе";"1977911";"—"
"85";"5";"—";"292000";"100 96 86";"10000";"Участвует в конкурсе";"1958628";"—"
"86";"11";"Электронное";"292000";"98 95 89";"10000";"Участвует в конкурсе";"1981648";"—"
"87";"21";"—";"292000";"98 90 94";"10000";"Участвует в конкурсе";"1989208";"—"
"88";"15";"—";"292000";"95 98 89";"10000";"Участвует в конкурсе";"2000936";"—"
"89";"16";"—";"292000";"93 100 89";"10000";"Участвует в конкурсе";"2265518";"—"
"90";"12";"—";"292000";"93 98 91";"10000";"Участвует в конкурсе";"1583302";"—"
"91";"7";"—";"292000";"93 95 94";"10000";"Участвует в конкурсе";"1868744";"—"
"92";"11";"—";"292000";"93 92 97";"10000";"Участвует в конкурсе";"1984008";"—"
"93";"10";"—";"292000";"90 95 97";"10000";"Участвует в конкурсе";"2007177";"—"
"94";"17";"—";"292000";"88 100 94";"10000";"Участвует в конкурсе";"1901413";"—"
"95";"17";"Электронное";"292000";"88 100 94";"10000";"Участвует в конкурсе";"1619074";"—"
"96";"19";"Электронное";"292000";"88 94 100";"10000";"Участвует в конкурсе";"1154591";"—"
"97";"15";"—";"292000";"88 94 100";"10000";"Участвует в конкурсе";"1613206";"—"
"98";"16";"—";"291000";"100 95 86";"10000";"Участвует в конкурсе";"1438164";"—"
"99";"11";"—";"291000";"98 100 83";"10000";"Участвует в конкурсе";"1855943";"—"
"100";"2";"Электронное";"291000";"98 86 97";"10000";"Участвует в конкурсе";"1204544";"—"
"101";"11";"—";"291000";"95 100 86";"10000";"Участвует в конкурсе";"2399948";"—"
"102";"8";"—";"291000";"95 92 94";"10000";"Участвует в конкурсе";"2052288";"—"
"103";"4";"—";"291000";"93 99 89";"10000";"Участвует в конкурсе";"1480178";"—"
"104";"7";"—";"291000";"93 97 91";"10000";"Участвует в конкурсе";"1436957";"—"
"105";"15";"—";"291000";"93 94 94";"10000";"Участвует в конкурсе";"1916223";"—"
"106";"10";"—";"291000";"93 94 94";"10000";"Участвует в конкурсе";"1656211";"—"
"107";"11";"—";"291000";"93 94 94";"10000";"Участвует в конкурсе";"1605146";"—"
"109";"8";"—";"291000";"90 94 97";"10000";"Участвует в конкурсе";"1443343";"—"
"110";"11";"—";"291000";"85 96 100";"10000";"Участвует в конкурсе";"989705";"—"
"111";"13";"—";"290000";"100 94 86";"10000";"Участвует в конкурсе";"1622824";"—"
"112";"8";"—";"290000";"98 96 86";"10000";"Участвует в конкурсе";"2344781";"—"
"113";"10";"—";"290000";"98 82 100";"10000";"Участвует в конкурсе";"1712808";"—"
"114";"22";"—";"290000";"95 96 89";"10000";"Участвует в конкурсе";"1440073";"—"
"115";"17";"—";"290000";"95 94 91";"10000";"Участвует в конкурсе";"1726871";"—"
"116";"4";"—";"290000";"93 98 89";"10000";"Участвует в конкурсе";"1465551";"—"
"117";"14";"Электронное";"290000";"93 96 91";"10000";"Участвует в конкурсе";"1157172";"—"
"118";"12";"—";"290000";"93 96 91";"10000";"Участвует в конкурсе";"1196068";"—"
"119";"5";"—";"290000";"93 90 97";"10000";"Участвует в конкурсе";"1730916";"—"
"120";"12";"—";"290000";"93 90 97";"10000";"Участвует в конкурсе";"1627151";"—"
"121";"5";"—";"290000";"90 96 94";"10000";"Участвует в конкурсе";"1538710";"—"
"122";"14";"—";"290000";"90 96 94";"10000";"Участвует в конкурсе";"2055064";"—"
"123";"6";"—";"290000";"90 96 94";"10000";"Участвует в конкурсе";"1536693";"—"
"124";"15";"—";"290000";"88 95 97";"10000";"Участвует в конкурсе";"1287292";"—"
"125";"18";"—";"290000";"88 95 97";"10000";"Участвует в конкурсе";"2005775";"—"
"126";"17";"—";"289000";"100 95 94";"—";"Участвует в конкурсе";"1425676";"—"
"127";"12";"—";"289000";"100 98 81";"10000";"Участвует в конкурсе";"1653754";"—"
"128";"21";"—";"289000";"100 88 91";"10000";"Участвует в конкурсе";"1197790";"—"
"129";"8";"—";"289000";"98 95 86";"10000";"Участвует в конкурсе";"1884399";"—"
"131";"23";"Электронное";"289000";"98 90 91";"10000";"Участвует в конкурсе";"1582374";"—"
"132";"5";"Электронное";"289000";"95 95 89";"10000";"Участвует в конкурсе";"1788487";"—"
"133";"9";"—";"289000";"95 95 89";"10000";"Участвует в конкурсе";"1653244";"—"
