"Порядковый номер";"Приоритет конкурса";"Наличие договора";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"10";"—";"308000";"98 100 100";"10000";"Участвует в конкурсе";"1728171";"—"
"2";"2";"—";"307000";"98 99 100";"10000";"Участвует в конкурсе";"1312784";"—"
"3";"20";"—";"304000";"98 99 97";"10000";"Участвует в конкурсе";"1914761";"—"
"4";"8";"—";"302000";"98 100 94";"10000";"Участвует в конкурсе";"1839611";"—"
"5";"4";"—";"300000";"95 98 97";"10000";"Участвует в конкурсе";"1331541";"—"
"6";"1";"—";"299000";"100 100 89";"10000";"Участвует в конкурсе";"1514902";"—"
"7";"9";"—";"299000";"95 100 94";"10000";"Участвует в конкурсе";"1554023";"—"
"8";"14";"—";"299000";"93 96 100";"10000";"Участвует в конкурсе";"1516062";"—"
"9";"3";"—";"297000";"98 100 89";"10000";"Участвует в конкурсе";"1167293";"—"
"10";"4";"—";"297000";"98 95 94";"10000";"Участвует в конкурсе";"1361856";"—"
"11";"7";"—";"297000";"95 92 100";"10000";"Участвует в конкурсе";"1501339";"—"
"12";"2";"—";"297000";"93 100 94";"10000";"Участвует в конкурсе";"1175568";"—"
"14";"2";"—";"296000";"100 86 100";"10000";"Участвует в конкурсе";"1702101";"—"
"15";"5";"—";"295000";"95 99 91";"10000";"Участвует в конкурсе";"1479205";"—"
"16";"11";"—";"295000";"95 99 91";"10000";"Участвует в конкурсе";"1783449";"—"
"17";"1";"—";"295000";"90 98 97";"10000";"Участвует в конкурсе";"2341831";"—"
"18";"12";"—";"294000";"98 100 86";"10000";"Участвует в конкурсе";"1625066";"—"
"19";"9";"—";"294000";"95 92 97";"10000";"Участвует в конкурсе";"1333982";"—"
"20";"1";"—";"294000";"93 97 94";"10000";"Участвует в конкурсе";"1441293";"—"
"21";"5";"—";"294000";"85 99 100";"10000";"Участвует в конкурсе";"1798162";"—"
"22";"3";"—";"293000";"95 98 97";"3000";"Участвует в конкурсе";"1250317";"—"
"23";"1";"—";"293000";"98 96 91";"8000";"Участвует в конкурсе";"1720390";"—"
