"Порядковый номер";"Приоритет конкурса";"Подано согласие";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"5";"—";"299000";"95 100 94";"10000";"Участвует в конкурсе";"1383312";"—"
"2";"9";"—";"292000";"95 90 97";"10000";"Участвует в конкурсе";"1603405";"—"
"3";"6";"—";"289000";"95 95 89";"10000";"Участвует в конкурсе";"1895993";"—"
"4";"2";"—";"286000";"95 92 89";"10000";"Участвует в конкурсе";"1647810";"—"
"5";"15";"—";"282000";"98 90 91";"3000";"Участвует в конкурсе";"1195407";"—"
"6";"4";"Электронное";"281000";"88 92 91";"10000";"Участвует в конкурсе";"2405134";"—"
"7";"22";"—";"280000";"88 96 86";"10000";"Участвует в конкурсе";"1285047";"—"
"8";"10";"—";"280000";"85 96 89";"10000";"Участвует в конкурсе";"1205718";"—"
"9";"4";"—";"278000";"93 97 78";"10000";"Участвует в конкурсе";"2216332";"—"
"10";"3";"—";"275000";"83 96 86";"10000";"Участвует в конкурсе";"2262259";"—"
"11";"10";"—";"274000";"90 96 78";"10000";"Участвует в конкурсе";"1582830";"—"
"12";"3";"—";"273000";"88 84 91";"10000";"Участвует в конкурсе";"1817348";"—"
"14";"4";"—";"272000";"83 82 97";"10000";"Участвует в конкурсе";"1501285";"—"
"15";"2";"—";"271000";"80 92 89";"10000";"Участвует в конкурсе";"1628398";"—"
"16";"3";"Электронное";"270000";"88 94 78";"10000";"Участвует в конкурсе";"1909639";"—"
"17";"12";"—";"269000";"90 86 83";"10000";"Участвует в конкурсе";"1618719";"—"
"18";"3";"—";"268000";"85 97 86";"—";"Участвует в конкурсе";"1979523";"—"
"19";"4";"—";"267000";"90 96 81";"—";"Участвует в конкурсе";"1309010";"—"
"20";"2";"—";"267000";"90 86 81";"10000";"Участвует в конкурсе";"1637109";"—"
"21";"1";"—";"266000";"93 88 85";"—";"Участвует в конкурсе";"1307288";"—"
"22";"2";"—";"266000";"93 88 75";"10000";"Участвует в конкурсе";"1203448";"—"
"24";"6";"—";"263000";"98 94 69";"2000";"Участвует в конкурсе";"1608831";"—"
"25";"2";"—";"262000";"85 86 81";"10000";"Участвует в конкурсе";"2021531";"—"
"26";"3";"Электронное";"262000";"80 80 92";"10000";"Участвует в конкурсе";"1772890";"—"
"27";"11";"Электронное";"261000";"83 90 78";"10000";"Участвует в конкурсе";"1441421";"—"
"29";"21";"—";"258000";"83 84 83";"8000";"Участвует в конкурсе";"1363725";"—"
"30";"15";"—";"257000";"88 84 75";"10000";"Участвует в конкурсе";"1955035";"—"
"31";"4";"Электронное";"257000";"83 86 78";"10000";"Участвует в конкурсе";"1396902";"—"
"32";"4";"—";"256000";"83 82 81";"10000";"Участвует в конкурсе";"1727171";"—"
"33";"2";"—";"255000";"90 96 66";"3000";"Участвует в конкурсе";"1847843";"—"
"34";"4";"Электронное";"254000";"85 78 81";"10000";"Участвует в конкурсе";"2165742";"—"
"35";"4";"Электронное";"254000";"78 97 69";"10000";"Участвует в конкурсе";"2220150";"—"
"36";"2";"—";"254000";"75 78 91";"10000";"Участвует в конкурсе";"1516310";"—"
"37";"4";"—";"253000";"88 72 83";"10000";"Участвует в конкурсе";"2003035";"—"
"38";"10";"—";"253000";"80 74 89";"10000";"Участвует в конкурсе";"2253772";"—"
"39";"5";"—";"252000";"88 92 69";"3000";"Участвует в конкурсе";"1258505";"—"
