"Порядковый номер";"Приоритет конкурса";"Подано согласие";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"1";"Электронное";"1000";"x x x";"10000";"Участвует в конкурсе";"1716377";"—"
"2";"10";"—";"310000";"100 100 100";"10000";"Участвует в конкурсе";"1514555";"—"
"3";"12";"—";"310000";"100 100 100";"10000";"Участвует в конкурсе";"1701767";"—"
"4";"7";"—";"308000";"98 100 100";"10000";"Участвует в конкурсе";"1513347";"—"
"5";"11";"—";"308000";"98 100 100";"10000";"Участвует в конкурсе";"1728171";"—"
"6";"3";"Электронное";"307000";"100 100 97";"10000";"Участвует в конкурсе";"1414233";"—"
"7";"6";"—";"307000";"100 100 97";"10000";"Участвует в конкурсе";"1552679";"—"
"8";"5";"—";"307000";"100 100 97";"10000";"Участвует в конкурсе";"1950371";"—"
"9";"11";"—";"307000";"100 100 97";"10000";"Участвует в конкурсе";"2071444";"—"
"10";"5";"—";"307000";"98 99 100";"10000";"Участвует в конкурсе";"1312784";"—"
"11";"5";"—";"306000";"100 99 97";"10000";"Участвует в конкурсе";"2024799";"—"
"12";"5";"—";"306000";"100 96 100";"10000";"Участвует в конкурсе";"2143081";"—"
"13";"8";"—";"304000";"100 100 94";"10000";"Участвует в конкурсе";"1796316";"—"
"14";"24";"—";"304000";"100 100 94";"10000";"Участвует в конкурсе";"952832";"—"
"15";"13";"—";"304000";"100 100 94";"10000";"Участвует в конкурсе";"1168205";"—"
"16";"8";"—";"304000";"100 100 94";"10000";"Участвует в конкурсе";"1603179";"—"
"17";"3";"—";"304000";"100 97 97";"10000";"Участвует в конкурсе";"1964621";"—"
"18";"4";"—";"304000";"100 97 97";"10000";"Участвует в конкурсе";"1253269";"—"
"19";"16";"—";"304000";"98 99 97";"10000";"Участвует в конкурсе";"1914761";"—"
"20";"4";"—";"303000";"100 99 94";"10000";"Участвует в конкурсе";"1684531";"—"
"21";"5";"—";"302000";"100 98 94";"10000";"Участвует в конкурсе";"1209561";"—"
"22";"10";"—";"302000";"98 100 94";"10000";"Участвует в конкурсе";"1839611";"—"
"23";"2";"—";"302000";"98 97 97";"10000";"Участвует в конкурсе";"1592497";"—"
"24";"2";"Электронное";"302000";"95 100 97";"10000";"Участвует в конкурсе";"1708840";"—"
"25";"17";"—";"302000";"95 100 97";"10000";"Участвует в конкурсе";"1391057";"—"
"26";"7";"—";"302000";"95 97 100";"10000";"Участвует в конкурсе";"2005384";"—"
"27";"6";"—";"302000";"93 99 100";"10000";"Участвует в конкурсе";"1396381";"—"
"28";"9";"—";"301000";"100 100 91";"10000";"Участвует в конкурсе";"1646082";"—"
"30";"3";"—";"301000";"100 100 91";"10000";"Участвует в конкурсе";"1958013";"—"
"31";"4";"—";"301000";"100 97 94";"10000";"Участвует в конкурсе";"2246911";"—"
"32";"7";"—";"301000";"100 97 94";"10000";"Участвует в конкурсе";"1730665";"—"
"33";"4";"—";"301000";"100 94 97";"10000";"Участвует в конкурсе";"1985128";"—"
"34";"14";"—";"301000";"95 96 100";"10000";"Участвует в конкурсе";"1355170";"—"
"35";"7";"Электронное";"301000";"95 96 100";"10000";"Участвует в конкурсе";"2248401";"—"
"36";"20";"—";"300000";"100 99 91";"10000";"Участвует в конкурсе";"1999926";"—"
"37";"4";"—";"300000";"100 90 100";"10000";"Участвует в конкурсе";"1618714";"—"
"38";"1";"—";"300000";"98 92 100";"10000";"Участвует в конкурсе";"1650967";"—"
"39";"12";"—";"300000";"95 98 97";"10000";"Участвует в конкурсе";"1331541";"—"
"40";"4";"Электронное";"300000";"95 95 100";"10000";"Участвует в конкурсе";"1465098";"—"
"41";"1";"—";"300000";"93 100 97";"10000";"Участвует в конкурсе";"1997002";"—"
"42";"19";"—";"300000";"90 100 100";"10000";"Участвует в конкурсе";"1728488";"—"
"43";"6";"—";"300000";"90 100 100";"10000";"Участвует в конкурсе";"1455825";"—"
"44";"4";"—";"299000";"100 99 94";"6000";"Участвует в конкурсе";"1855416";"—"
"45";"11";"—";"299000";"100 100 89";"10000";"Участвует в конкурсе";"1615185";"—"
"46";"6";"—";"299000";"100 100 89";"10000";"Участвует в конкурсе";"1786590";"—"
"47";"6";"—";"299000";"100 100 89";"10000";"Участвует в конкурсе";"1766377";"—"
"48";"5";"—";"299000";"100 100 89";"10000";"Участвует в конкурсе";"2255108";"—"
