"Порядковый номер";"Приоритет конкурса";"Подано согласие";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"3";"—";"1000";"x x x";"10000";"Участвует в конкурсе";"1768709";"—"
"2";"1";"Электронное";"1000";"x x x";"10000";"Участвует в конкурсе";"1514051";"—"
"3";"13";"Электронное";"1000";"x x x";"10000";"Участвует в конкурсе";"1964745";"—"
"4";"2";"Электронное";"1000";"x x x";"10000";"Участвует в конкурсе";"2097792";"—"
"5";"1";"—";"1000";"x x x";"10000";"Участвует в конкурсе";"1286034";"—"
"6";"2";"—";"1000";"x x x";"10000";"Участвует в конкурсе";"999321";"—"
"7";"3";"—";"1000";"x x x";"10000";"Участвует в конкурсе";"1355457";"—"
"8";"8";"—";"1000";"x x x";"10000";"Участвует в конкурсе";"1782587";"—"
"9";"5";"—";"1000";"x x x";"10000";"Участвует в конкурсе";"1702133";"—"
"10";"6";"Электронное";"1000";"x x x";"10000";"Участвует в конкурсе";"1826994";"—"
"11";"3";"—";"1000";"x x x";"10000";"Участвует в конкурсе";"2139677";"—"
"12";"7";"—";"1000";"x x x";"10000";"Участвует в конкурсе";"1846843";"—"
"13";"3";"Электронное";"1000";"x x x";"10000";"Участвует в конкурсе";"1325608";"—"
"14";"2";"—";"1000";"x x x";"10000";"Участвует в конкурсе";"1365600";"—"
"15";"14";"Электронное";"1000";"x x x";"10000";"Участвует в конкурсе";"1559916";"—"
"16";"5";"Электронное";"1000";"x x x";"10000";"Участвует в конкурсе";"1891692";"—"
"17";"5";"—";"1000";"x x x";"10000";"Участвует в конкурсе";"1189152";"—"
"18";"1";"—";"1000";"x x x";"10000";"Участвует в конкурсе";"1247946";"—"
"19";"3";"Электронное";"1000";"x x x";"10000";"Участвует в конкурсе";"2114620";"—"
"20";"3";"—";"1000";"x x x";"10000";"Участвует в конкурсе";"1022234";"—"
"21";"3";"Электронное";"1000";"x x x";"5000";"Участвует в конкурсе";"2219629";"—"
"22";"1";"—";"1000";"x x x";"5000";"Участвует в конкурсе";"1616137";"—"
"23";"8";"—";"1000";"x x x";"3000";"Участвует в конкурсе";"1648911";"—"
"25";"5";"—";"1000";"x x x";"3000";"Участвует в конкурсе";"2084323";"—"
"26";"6";"—";"1000";"x x x";"3000";"Участвует в конкурсе";"1961801";"—"
"27";"1";"Электронное";"1000";"x x x";"3000";"Участвует в конкурсе";"1688419";"—"
"28";"4";"Электронное";"1000";"x x x";"3000";"Участвует в конкурсе";"1980402";"—"
"29";"10";"—";"1000";"x x x";"3000";"Участвует в конкурсе";"1497670";"—"
"30";"3";"—";"1000";"x x x";"3000";"Участвует в конкурсе";"2231197";"—"
"31";"20";"—";"1000";"x x x";"2000";"Участвует в конкурсе";"1653349";"—"
"32";"3";"Электронное";"1000";"x x x";"2000";"Участвует в конкурсе";"1130423";"—"
"33";"2";"—";"1000";"x x x";"2000";"Участвует в конкурсе";"1771361";"—"
"34";"2";"—";"1000";"x x x";"—";"Участвует в конкурсе";"1087683";"—"
"35";"22";"Электронное";"1000";"x x x";"—";"Участвует в конкурсе";"1542584";"—"
"36";"4";"Электронное";"1000";"x x x";"—";"Участвует в конкурсе";"1748899";"—"
"37";"1";"—";"1000";"x x x";"—";"Участвует в конкурсе";"1166095";"—"
"38";"1";"Электронное";"1000";"x x x";"—";"Участвует в конкурсе";"1624426";"—"
"39";"4";"Электронное";"1000";"x x x";"—";"Участвует в конкурсе";"1305652";"—"
"40";"4";"—";"1000";"x x x";"—";"Участвует в конкурсе";"1645058";"—"
"41";"19";"Электронное";"1000";"x x x";"—";"Участвует в конкурсе";"1517915";"—"
"42";"9";"—";"1000";"x x x";"—";"Участвует в конкурсе";"1787314";"—"
"43";"4";"Электронное";"1000";"x x x";"—";"Участвует в конкурсе";"1579993";"—"
"44";"13";"—";"1000";"x x x";"—";"Участвует в конкурсе";"1975707";"—"
"45";"21";"Электронное";"1000";"x x x";"—";"Участвует в конкурсе";"2133320";"—"
"46";"8";"—";"1000";"x x x";"—";"Участвует в конкурсе";"1151776";"—"
"47";"6";"—";"1000";"x x x";"—";"Участвует в конкурсе";"2250999";"—"
"48";"10";"—";"1000";"x x x";"—";"Участвует в конкурсе";"963911";"—"
"49";"1";"—";"1000";"x x x";"—";"Участвует в конкурсе";"2273003";"—"
"50";"6";"—";"1000";"x x x";"—";"Участвует в конкурсе";"1480127";"—"
"51";"8";"Электронное";"1000";"x x x";"—";"Участвует в конкурсе";"1322696";"—"
"52";"6";"—";"1000";"x x x";"—";"Участвует в конкурсе";"2385498";"—"
"53";"16";"—";"1000";"x x x";"—";"Участвует в конкурсе";"1476167";"—"
