"Порядковый номер";"Приоритет конкурса";"Наличие договора";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"9";"—";"308000";"98 100 100";"10000";"Участвует в конкурсе";"1728171";"—"
"2";"6";"—";"307000";"100 100 97";"10000";"Участвует в конкурсе";"1414233";"—"
"3";"2";"—";"307000";"100 97 100";"10000";"Участвует в конкурсе";"1612491";"—"
"4";"8";"—";"307000";"98 99 100";"10000";"Участвует в конкурсе";"1312784";"—"
"5";"17";"—";"304000";"98 99 97";"10000";"Участвует в конкурсе";"1914761";"—"
"6";"6";"—";"302000";"98 100 94";"10000";"Участвует в конкурсе";"1839611";"—"
"7";"6";"—";"299000";"100 100 89";"10000";"Участвует в конкурсе";"1514902";"—"
"8";"10";"—";"299000";"93 96 100";"10000";"Участвует в конкурсе";"1516062";"—"
"9";"6";"—";"297000";"98 94 97";"8000";"Участвует в конкурсе";"1514024";"—"
"10";"9";"—";"297000";"98 100 89";"10000";"Участвует в конкурсе";"1167293";"—"
"11";"2";"—";"297000";"95 92 100";"10000";"Участвует в конкурсе";"1422687";"—"
"12";"9";"—";"297000";"95 92 100";"10000";"Участвует в конкурсе";"1501339";"—"
"14";"4";"—";"296000";"100 86 100";"10000";"Участвует в конкурсе";"1702101";"—"
"15";"6";"—";"295000";"95 99 91";"10000";"Участвует в конкурсе";"1479205";"—"
"16";"3";"—";"295000";"95 99 91";"10000";"Участвует в конкурсе";"1783449";"—"
"17";"1";"—";"295000";"95 90 100";"10000";"Участвует в конкурсе";"1634651";"—"
"18";"13";"—";"294000";"98 100 86";"10000";"Участвует в конкурсе";"1625066";"—"
"19";"5";"—";"294000";"95 92 97";"10000";"Участвует в конкурсе";"1333982";"—"
"20";"2";"—";"294000";"93 97 94";"10000";"Участвует в конкурсе";"1441293";"—"
"21";"6";"—";"293000";"93 100 94";"6000";"Участвует в конкурсе";"2218242";"—"
"22";"4";"—";"293000";"100 94 89";"10000";"Участвует в конкурсе";"2134514";"—"
"23";"2";"—";"293000";"100 94 89";"10000";"Участвует в конкурсе";"2251900";"—"
"24";"7";"—";"292000";"98 97 97";"—";"Участвует в конкурсе";"2006503";"—"
"25";"1";"—";"292000";"100 92 94";"6000";"Участвует в конкурсе";"1977911";"—"
"26";"5";"—";"292000";"100 95 89";"8000";"Участвует в конкурсе";"1788572";"—"
"27";"3";"—";"292000";"100 99 83";"10000";"Участвует в конкурсе";"2230382";"—"
"28";"14";"—";"292000";"95 98 89";"10000";"Участвует в конкурсе";"2000936";"—"
"29";"7";"—";"292000";"90 95 97";"10000";"Участвует в конкурсе";"1215083";"—"
"30";"2";"—";"291000";"100 94 94";"3000";"Участвует в конкурсе";"1928200";"—"
"31";"7";"—";"291000";"95 92 94";"10000";"Участвует в конкурсе";"2052288";"—"
"32";"1";"—";"290000";"100 94 86";"10000";"Участвует в конкурсе";"1497568";"—"
"33";"8";"—";"290000";"95 96 89";"10000";"Участвует в конкурсе";"1729121";"—"
"34";"4";"—";"290000";"95 96 89";"10000";"Участвует в конкурсе";"1842623";"—"
"35";"4";"—";"290000";"95 94 91";"10000";"Участвует в конкурсе";"1572600";"—"
"36";"1";"—";"290000";"90 96 94";"10000";"Участвует в конкурсе";"1536693";"—"
"37";"1";"—";"290000";"88 95 97";"10000";"Участвует в конкурсе";"1287292";"—"
"38";"10";"—";"290000";"88 95 97";"10000";"Участвует в конкурсе";"2005775";"—"
"39";"4";"—";"289000";"93 99 97";"—";"Участвует в конкурсе";"1441150";"—"
"40";"2";"—";"289000";"98 94 94";"3000";"Участвует в конкурсе";"1655782";"—"
"41";"10";"—";"289000";"95 98 91";"5000";"Участвует в конкурсе";"1175736";"—"
"42";"16";"—";"289000";"93 100 86";"10000";"Участвует в конкурсе";"1288256";"—"
"43";"5";"—";"289000";"93 97 89";"10000";"Участвует в конкурсе";"1130496";"—"
"44";"5";"—";"289000";"88 100 91";"10000";"Участвует в конкурсе";"1516325";"—"
"45";"3";"—";"289000";"88 97 94";"10000";"Участвует в конкурсе";"1840083";"—"
"46";"5";"—";"288000";"98 96 86";"8000";"Участвует в конкурсе";"1615565";"—"
"47";"6";"—";"288000";"98 97 83";"10000";"Участвует в конкурсе";"1496139";"—"
"48";"6";"—";"288000";"93 94 91";"10000";"Участвует в конкурсе";"1201879";"—"
"49";"2";"—";"288000";"85 96 97";"10000";"Участвует в конкурсе";"1200904";"—"
"50";"19";"—";"287000";"98 98 86";"5000";"Участвует в конкурсе";"1204240";"—"
"51";"1";"Электронное";"287000";"98 90 89";"10000";"Участвует в конкурсе";"1194946";"—"
"52";"7";"—";"287000";"95 96 86";"10000";"Участвует в конкурсе";"1652121";"—"
"53";"3";"—";"287000";"90 90 97";"10000";"Участвует в конкурсе";"1493775";"—"
"54";"10";"—";"287000";"85 95 97";"10000";"Участвует в конкурсе";"2314652";"—"
"55";"4";"—";"286000";"95 100 81";"10000";"Участвует в конкурсе";"1640345";"—"
"56";"1";"—";"286000";"95 95 86";"10000";"Участвует в конкурсе";"1556038";"—"
"57";"4";"—";"286000";"95 92 89";"10000";"Участвует в конкурсе";"2176396";"—"
"58";"6";"—";"286000";"93 100 83";"10000";"Участвует в конкурсе";"1364152";"—"
"60";"1";"—";"286000";"90 92 94";"10000";"Участвует в конкурсе";"2415700";"—"
"61";"4";"—";"286000";"88 94 94";"10000";"Участвует в конкурсе";"1853778";"—"
"62";"2";"—";"286000";"80 99 97";"10000";"Участвует в конкурсе";"1499103";"—"
"63";"3";"—";"285000";"100 99 86";"—";"Участвует в конкурсе";"2264692";"—"
"64";"2";"—";"285000";"98 98 89";"—";"Участвует в конкурсе";"1427864";"—"
"65";"1";"—";"285000";"93 95 91";"6000";"Участвует в конкурсе";"1656020";"—"
"66";"13";"—";"285000";"100 94 81";"10000";"Участвует в конкурсе";"1904436";"—"
"67";"8";"—";"285000";"95 94 86";"10000";"Участвует в конкурсе";"996095";"—"
"68";"7";"—";"285000";"93 88 94";"10000";"Участвует в конкурсе";"1606981";"—"
"69";"3";"—";"285000";"90 94 91";"10000";"Участвует в конкурсе";"1730554";"—"
"70";"4";"—";"285000";"83 98 94";"10000";"Участвует в конкурсе";"1407974";"—"
"71";"17";"—";"285000";"83 92 100";"10000";"Участвует в конкурсе";"1796557";"—"
