"Порядковый номер";"Приоритет конкурса";"Подано согласие";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"7";"Электронное";"1000";"x x x";"10000";"Участвует в конкурсе";"1514051";"—"
"2";"6";"Электронное";"1000";"x x x";"10000";"Участвует в конкурсе";"2097792";"—"
"3";"8";"Электронное";"1000";"x x x";"10000";"Участвует в конкурсе";"1964745";"—"
"5";"16";"—";"1000";"x x x";"10000";"Участвует в конкурсе";"1355457";"—"
"6";"22";"—";"1000";"x x x";"10000";"Участвует в конкурсе";"1846843";"—"
"7";"3";"—";"1000";"x x x";"10000";"Участвует в конкурсе";"1229036";"—"
"8";"6";"Электронное";"1000";"x x x";"10000";"Участвует в конкурсе";"1559916";"—"
"9";"12";"Электронное";"1000";"x x x";"10000";"Участвует в конкурсе";"1826994";"—"
"10";"7";"—";"1000";"x x x";"10000";"Участвует в конкурсе";"1022234";"—"
"11";"3";"—";"1000";"x x x";"10000";"Участвует в конкурсе";"1478109";"—"
"12";"8";"Электронное";"1000";"x x x";"10000";"Участвует в конкурсе";"2114620";"—"
"13";"6";"—";"1000";"x x x";"3000";"Участвует в конкурсе";"1095759";"—"
"14";"8";"—";"1000";"x x x";"3000";"Участвует в конкурсе";"2084323";"—"
"15";"7";"—";"1000";"x x x";"3000";"Участвует в конкурсе";"1096810";"—"
"16";"10";"—";"1000";"x x x";"3000";"Участвует в конкурсе";"1961801";"—"
"17";"5";"Электронное";"1000";"x x x";"3000";"Участвует в конкурсе";"1688419";"—"
"18";"1";"Электронное";"1000";"x x x";"3000";"Участвует в конкурсе";"1980402";"—"
"19";"4";"—";"1000";"x x x";"3000";"Участвует в конкурсе";"1497670";"—"
"20";"8";"—";"1000";"x x x";"3000";"Участвует в конкурсе";"2231197";"—"
"21";"10";"—";"1000";"x x x";"2000";"Участвует в конкурсе";"1771361";"—"
"22";"3";"Электронное";"1000";"x x x";"—";"Участвует в конкурсе";"1542584";"—"
"23";"13";"—";"1000";"x x x";"—";"Участвует в конкурсе";"1645058";"—"
"24";"1";"—";"1000";"x x x";"—";"Участвует в конкурсе";"1787314";"—"
"25";"6";"Электронное";"1000";"x x x";"—";"Участвует в конкурсе";"1579993";"—"
"26";"2";"Электронное";"1000";"x x x";"—";"Участвует в конкурсе";"1638602";"—"
"27";"3";"—";"1000";"x x x";"—";"Участвует в конкурсе";"1975707";"—"
"28";"11";"—";"1000";"x x x";"—";"Участвует в конкурсе";"1151776";"—"
"29";"11";"—";"1000";"x x x";"—";"Участвует в конкурсе";"2250999";"—"
"30";"4";"—";"1000";"x x x";"—";"Участвует в конкурсе";"1764232";"—"
"31";"20";"—";"1000";"x x x";"—";"Участвует в конкурсе";"1480127";"—"
"32";"13";"—";"1000";"x x x";"—";"Участвует в конкурсе";"2385498";"—"
"33";"3";"—";"1000";"x x x";"—";"Участвует в конкурсе";"2235006";"—"
"34";"3";"Электронное";"1000";"x x x";"—";"Участвует в конкурсе";"1763734";"—"
"35";"13";"—";"1000";"x x x";"—";"Участвует в конкурсе";"2092683";"—"
"36";"4";"Электронное";"1000";"x x x";"—";"Участвует в конкурсе";"1166793";"—"
"37";"4";"—";"1000";"x x x";"—";"Участвует в конкурсе";"1348783";"—"
"38";"5";"—";"1000";"x x x";"—";"Участвует в конкурсе";"1646652";"—"
"40";"10";"Электронное";"1000";"x x x";"—";"Участвует в конкурсе";"2136579";"—"
"41";"12";"—";"1000";"x x x";"—";"Участвует в конкурсе";"1355737";"—"
"42";"5";"Электронное";"1000";"x x x";"—";"Участвует в конкурсе";"1899970";"—"
"43";"15";"Электронное";"1000";"x x x";"—";"Участвует в конкурсе";"2364364";"—"
"44";"4";"—";"1000";"x x x";"—";"Участвует в конкурсе";"2315314";"—"
"45";"5";"—";"1000";"x x x";"—";"Участвует в конкурсе";"2191765";"—"
