"Порядковый номер";"Приоритет конкурса";"Подано согласие";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"14";"—";"304000";"98 99 97";"10000";"Участвует в конкурсе";"1842883";"—"
"2";"23";"—";"303000";"100 99 94";"10000";"Участвует в конкурсе";"1684531";"—"
"3";"6";"—";"303000";"100 96 97";"10000";"Участвует в конкурсе";"1902289";"—"
"4";"4";"—";"302000";"98 100 94";"10000";"Участвует в конкурсе";"1209450";"—"
"5";"17";"—";"302000";"98 100 94";"10000";"Участвует в конкурсе";"1839611";"—"
"6";"10";"—";"302000";"98 97 97";"10000";"Участвует в конкурсе";"1188080";"—"
"7";"14";"—";"302000";"93 99 100";"10000";"Участвует в конкурсе";"1396381";"—"
"8";"8";"—";"301000";"100 100 91";"10000";"Участвует в конкурсе";"1586970";"—"
"9";"3";"—";"301000";"100 97 94";"10000";"Участвует в конкурсе";"1791240";"—"
"10";"11";"Электронное";"301000";"95 96 100";"10000";"Участвует в конкурсе";"2248401";"—"
"12";"11";"—";"300000";"100 90 100";"10000";"Участвует в конкурсе";"1618714";"—"
"13";"9";"—";"300000";"98 92 100";"10000";"Участвует в конкурсе";"2262178";"—"
"14";"13";"—";"299000";"100 100 89";"10000";"Участвует в конкурсе";"1615185";"—"
"15";"8";"—";"299000";"100 100 89";"10000";"Участвует в конкурсе";"1514902";"—"
"17";"18";"—";"299000";"100 92 97";"10000";"Участвует в конкурсе";"1729269";"—"
"18";"8";"Электронное";"299000";"95 100 94";"10000";"Участвует в конкурсе";"1554023";"—"
"19";"16";"—";"299000";"95 97 97";"10000";"Участвует в конкурсе";"1563294";"—"
"20";"8";"—";"299000";"93 96 100";"10000";"Участвует в конкурсе";"1516062";"—"
"21";"9";"—";"298000";"100 99 89";"10000";"Участвует в конкурсе";"1200511";"—"
"22";"4";"—";"298000";"98 96 94";"10000";"Участвует в конкурсе";"1436757";"—"
"23";"12";"—";"298000";"95 96 97";"10000";"Участвует в конкурсе";"1626983";"—"
"24";"17";"—";"297000";"100 90 97";"10000";"Участвует в конкурсе";"1726516";"—"
"26";"7";"—";"297000";"98 98 91";"10000";"Участвует в конкурсе";"1997125";"—"
"27";"21";"Электронное";"297000";"98 92 97";"10000";"Участвует в конкурсе";"1899881";"—"
"28";"20";"—";"297000";"95 95 97";"10000";"Участвует в конкурсе";"1860605";"—"
"29";"10";"—";"297000";"95 92 100";"10000";"Участвует в конкурсе";"1231943";"—"
"31";"15";"—";"297000";"95 92 100";"10000";"Участвует в конкурсе";"1501339";"—"
"32";"12";"—";"297000";"93 100 94";"10000";"Участвует в конкурсе";"1491537";"—"
"33";"11";"—";"296000";"100 86 100";"10000";"Участвует в конкурсе";"1702101";"—"
"34";"7";"—";"296000";"98 97 91";"10000";"Участвует в конкурсе";"1978769";"—"
"35";"19";"—";"296000";"98 97 91";"10000";"Участвует в конкурсе";"1471844";"—"
"36";"10";"—";"296000";"98 97 91";"10000";"Участвует в конкурсе";"2368438";"—"
"37";"13";"—";"296000";"95 97 94";"10000";"Участвует в конкурсе";"1624934";"—"
"38";"8";"—";"296000";"93 96 97";"10000";"Участвует в конкурсе";"1366342";"—"
"39";"6";"—";"295000";"98 96 91";"10000";"Участвует в конкурсе";"1581283";"—"
"40";"7";"—";"295000";"98 96 91";"10000";"Участвует в конкурсе";"1174068";"—"
"41";"21";"—";"295000";"93 98 94";"10000";"Участвует в конкурсе";"1479776";"—"
"42";"2";"Электронное";"294000";"100 97 94";"3000";"Участвует в конкурсе";"1604793";"—"
"43";"8";"—";"294000";"100 98 86";"10000";"Участвует в конкурсе";"1429233";"—"
"44";"6";"Электронное";"294000";"95 95 94";"10000";"Участвует в конкурсе";"1212446";"—"
"45";"6";"—";"294000";"95 95 94";"10000";"Участвует в конкурсе";"1176975";"—"
"46";"7";"—";"294000";"95 95 94";"10000";"Участвует в конкурсе";"1619609";"—"
"47";"13";"—";"294000";"95 92 97";"10000";"Участвует в конкурсе";"1964954";"—"
