"Порядковый номер";"Приоритет конкурса";"Подано согласие";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"10";"—";"1000";"x x x";"10000";"Участвует в конкурсе";"1768709";"—"
"2";"16";"Электронное";"1000";"x x x";"10000";"Участвует в конкурсе";"2097792";"—"
"3";"3";"Электронное";"1000";"x x x";"10000";"Участвует в конкурсе";"1964745";"—"
"4";"13";"—";"1000";"x x x";"10000";"Участвует в конкурсе";"1355457";"—"
"5";"7";"—";"1000";"x x x";"10000";"Участвует в конкурсе";"1782587";"—"
"6";"7";"Электронное";"1000";"x x x";"10000";"Участвует в конкурсе";"1891692";"—"
"7";"9";"—";"1000";"x x x";"10000";"Участвует в конкурсе";"1846843";"—"
"8";"7";"—";"1000";"x x x";"10000";"Участвует в конкурсе";"1249733";"—"
"10";"3";"Электронное";"1000";"x x x";"10000";"Участвует в конкурсе";"1559916";"—"
"11";"8";"Электронное";"1000";"x x x";"10000";"Участвует в конкурсе";"1826994";"—"
"12";"6";"—";"1000";"x x x";"10000";"Участвует в конкурсе";"1478109";"—"
"13";"5";"Электронное";"1000";"x x x";"10000";"Участвует в конкурсе";"2114620";"—"
"14";"4";"—";"1000";"x x x";"5000";"Участвует в конкурсе";"1928698";"—"
"15";"11";"Электронное";"1000";"x x x";"5000";"Участвует в конкурсе";"2219629";"—"
"16";"4";"—";"1000";"x x x";"3000";"Участвует в конкурсе";"1050909";"—"
"17";"9";"—";"1000";"x x x";"3000";"Участвует в конкурсе";"1987920";"—"
"18";"8";"—";"1000";"x x x";"3000";"Участвует в конкурсе";"1961801";"—"
"19";"9";"—";"1000";"x x x";"3000";"Участвует в конкурсе";"1497670";"—"
"20";"12";"—";"1000";"x x x";"3000";"Участвует в конкурсе";"2231197";"—"
"21";"7";"—";"1000";"x x x";"2000";"Участвует в конкурсе";"1653349";"—"
"22";"7";"—";"1000";"x x x";"2000";"Участвует в конкурсе";"1771361";"—"
"23";"6";"—";"1000";"x x x";"—";"Участвует в конкурсе";"1720387";"—"
"24";"11";"—";"1000";"x x x";"—";"Участвует в конкурсе";"1641302";"—"
"25";"16";"Электронное";"1000";"x x x";"—";"Участвует в конкурсе";"1542584";"—"
"26";"15";"—";"1000";"x x x";"—";"Участвует в конкурсе";"1645058";"—"
"27";"3";"Электронное";"1000";"x x x";"—";"Участвует в конкурсе";"1998620";"—"
"28";"7";"—";"1000";"x x x";"—";"Участвует в конкурсе";"1787314";"—"
"29";"10";"—";"1000";"x x x";"—";"Участвует в конкурсе";"1975707";"—"
"30";"25";"Электронное";"1000";"x x x";"—";"Участвует в конкурсе";"2133320";"—"
"31";"19";"—";"1000";"x x x";"—";"Участвует в конкурсе";"1151776";"—"
"32";"9";"—";"1000";"x x x";"—";"Участвует в конкурсе";"1642778";"—"
"33";"21";"—";"1000";"x x x";"—";"Участвует в конкурсе";"2385498";"—"
"34";"21";"—";"1000";"x x x";"—";"Участвует в конкурсе";"2235006";"—"
"35";"22";"Электронное";"1000";"x x x";"—";"Участвует в конкурсе";"1166793";"—"
"36";"10";"—";"1000";"x x x";"—";"Участвует в конкурсе";"2092683";"—"
"37";"3";"—";"1000";"x x x";"—";"Участвует в конкурсе";"1348783";"—"
"39";"11";"—";"1000";"x x x";"—";"Участвует в конкурсе";"1355737";"—"
"40";"29";"Электронное";"1000";"x x x";"—";"Участвует в конкурсе";"1356884";"—"
"41";"12";"Электронное";"1000";"x x x";"—";"Участвует в конкурсе";"2364364";"—"
"42";"15";"—";"1000";"x x x";"—";"Участвует в конкурсе";"1836480";"—"
"85";"12";"—";"304000";"100 100 94";"10000";"Участвует в конкурсе";"1796316";"—"
"86";"6";"—";"300000";"100 90 100";"10000";"Участвует в конкурсе";"1618714";"—"
"87";"10";"—";"299000";"100 95 94";"10000";"Участвует в конкурсе";"1407670";"—"
"89";"11";"—";"292000";"100 95 89";"8000";"Участвует в конкурсе";"1788572";"—"
"90";"11";"—";"291000";"93 94 94";"10000";"Участвует в конкурсе";"1916223";"—"
"91";"6";"—";"289000";"98 95 86";"10000";"Участвует в конкурсе";"1291171";"—"
"92";"11";"Электронное";"289000";"98 90 91";"10000";"Участвует в конкурсе";"1424910";"—"
"93";"7";"—";"289000";"95 84 100";"10000";"Участвует в конкурсе";"1582041";"—"
"94";"3";"—";"288000";"83 95 100";"10000";"Участвует в конкурсе";"1185547";"—"
