"Порядковый номер";"Приоритет конкурса";"Подано согласие";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"23";"—";"310000";"100 100 100";"10000";"Участвует в конкурсе";"1701767";"—"
"2";"2";"—";"307000";"100 100 97";"10000";"Участвует в конкурсе";"1552679";"—"
"3";"8";"—";"304000";"100 100 94";"10000";"Участвует в конкурсе";"952832";"—"
"4";"15";"—";"304000";"100 100 94";"10000";"Участвует в конкурсе";"1603179";"—"
"5";"9";"—";"304000";"100 100 94";"10000";"Участвует в конкурсе";"1168205";"—"
"6";"12";"—";"304000";"98 99 97";"10000";"Участвует в конкурсе";"1842883";"—"
"7";"23";"—";"304000";"98 99 97";"10000";"Участвует в конкурсе";"1914761";"—"
"8";"8";"—";"304000";"95 99 100";"10000";"Участвует в конкурсе";"1106646";"—"
"9";"19";"—";"303000";"100 99 94";"10000";"Участвует в конкурсе";"1684531";"—"
"10";"13";"—";"303000";"98 95 100";"10000";"Участвует в конкурсе";"2041055";"—"
"11";"7";"—";"302000";"98 97 97";"10000";"Участвует в конкурсе";"1188080";"—"
"12";"9";"—";"302000";"95 100 97";"10000";"Участвует в конкурсе";"1622830";"—"
"13";"8";"—";"302000";"95 100 97";"10000";"Участвует в конкурсе";"1391057";"—"
"14";"7";"—";"302000";"93 99 100";"10000";"Участвует в конкурсе";"1396381";"—"
"16";"12";"—";"301000";"100 100 91";"10000";"Участвует в конкурсе";"1958013";"—"
"17";"17";"—";"301000";"100 97 94";"10000";"Участвует в конкурсе";"1730665";"—"
"18";"9";"Электронное";"301000";"95 96 100";"10000";"Участвует в конкурсе";"2248401";"—"
"19";"6";"—";"301000";"93 98 100";"10000";"Участвует в конкурсе";"1821821";"—"
"21";"9";"—";"300000";"98 98 94";"10000";"Участвует в конкурсе";"1202951";"—"
"22";"5";"—";"300000";"98 92 100";"10000";"Участвует в конкурсе";"2262178";"—"
"23";"15";"—";"300000";"95 98 97";"10000";"Участвует в конкурсе";"1331541";"—"
"24";"10";"—";"299000";"100 100 89";"10000";"Участвует в конкурсе";"1797731";"—"
"25";"6";"—";"299000";"100 95 94";"10000";"Участвует в конкурсе";"1912208";"—"
"26";"19";"—";"299000";"100 92 97";"10000";"Участвует в конкурсе";"1729269";"—"
"27";"6";"—";"299000";"98 97 94";"10000";"Участвует в конкурсе";"2245983";"—"
"28";"15";"—";"299000";"95 97 97";"10000";"Участвует в конкурсе";"1563294";"—"
"29";"18";"—";"299000";"95 97 97";"10000";"Участвует в конкурсе";"1772073";"—"
"30";"7";"—";"299000";"93 99 97";"10000";"Участвует в конкурсе";"2269157";"—"
"31";"4";"—";"299000";"93 96 100";"10000";"Участвует в конкурсе";"1516062";"—"
"32";"8";"—";"298000";"100 98 100";"—";"Участвует в конкурсе";"1179493";"—"
"33";"9";"—";"298000";"98 96 94";"10000";"Участвует в конкурсе";"1436757";"—"
"34";"6";"—";"298000";"98 90 100";"10000";"Участвует в конкурсе";"1960374";"—"
"36";"26";"—";"297000";"100 96 91";"10000";"Участвует в конкурсе";"1261735";"—"
"37";"22";"—";"297000";"100 90 97";"10000";"Участвует в конкурсе";"1784994";"—"
"38";"18";"—";"297000";"100 90 97";"10000";"Участвует в конкурсе";"1726516";"—"
"40";"19";"—";"297000";"98 100 89";"10000";"Участвует в конкурсе";"1167293";"—"
"41";"4";"—";"297000";"98 98 91";"10000";"Участвует в конкурсе";"1997125";"—"
"42";"1";"—";"297000";"98 95 94";"10000";"Участвует в конкурсе";"1352704";"—"
"43";"8";"Электронное";"297000";"98 92 97";"10000";"Участвует в конкурсе";"1899881";"—"
"44";"13";"—";"297000";"95 95 97";"10000";"Участвует в конкурсе";"1860605";"—"
"45";"14";"—";"297000";"95 92 100";"10000";"Участвует в конкурсе";"1422687";"—"
"46";"16";"—";"297000";"95 92 100";"10000";"Участвует в конкурсе";"1501339";"—"
"47";"18";"—";"297000";"93 100 94";"10000";"Участвует в конкурсе";"1491537";"—"
"48";"5";"Электронное";"297000";"93 97 97";"10000";"Участвует в конкурсе";"1569161";"—"
"49";"17";"—";"296000";"100 96 94";"6000";"Участвует в конкурсе";"1201342";"—"
"50";"14";"Электронное";"296000";"100 100 86";"10000";"Участвует в конкурсе";"1497854";"—"
"51";"20";"—";"296000";"100 86 100";"10000";"Участвует в конкурсе";"1702101";"—"
"52";"18";"—";"296000";"98 97 91";"10000";"Участвует в конкурсе";"1978769";"—"
"53";"16";"—";"296000";"98 97 91";"10000";"Участвует в конкурсе";"1471844";"—"
"55";"9";"—";"296000";"95 100 91";"10000";"Участвует в конкурсе";"1515686";"—"
"56";"5";"—";"296000";"93 96 97";"10000";"Участвует в конкурсе";"1366342";"—"
"57";"7";"—";"296000";"90 96 100";"10000";"Участвует в конкурсе";"1334560";"—"
"58";"13";"—";"296000";"90 96 100";"10000";"Участвует в конкурсе";"1503616";"—"
"59";"19";"—";"295000";"95 99 91";"10000";"Участвует в конкурсе";"1783449";"—"
"60";"7";"—";"295000";"93 98 94";"10000";"Участвует в конкурсе";"1479776";"—"
"61";"3";"—";"295000";"90 98 97";"10000";"Участвует в конкурсе";"2341831";"—"
"62";"9";"—";"294000";"100 95 89";"10000";"Участвует в конкурсе";"1797881";"—"
