"Порядковый номер";"Приоритет конкурса";"Наличие договора";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"7";"—";"308000";"98 100 100";"10000";"Участвует в конкурсе";"1728171";"—"
"2";"5";"—";"307000";"100 100 97";"10000";"Участвует в конкурсе";"1414233";"—"
"3";"6";"—";"304000";"98 99 97";"10000";"Участвует в конкурсе";"1914761";"—"
"4";"5";"—";"302000";"98 100 94";"10000";"Участвует в конкурсе";"1839611";"—"
"5";"11";"—";"300000";"98 98 94";"10000";"Участвует в конкурсе";"1202951";"—"
"6";"23";"—";"300000";"95 98 97";"10000";"Участвует в конкурсе";"1331541";"—"
"7";"2";"—";"300000";"93 100 97";"10000";"Участвует в конкурсе";"996505";"—"
"8";"7";"—";"297000";"98 100 89";"10000";"Участвует в конкурсе";"1167293";"—"
"9";"17";"—";"297000";"95 92 100";"10000";"Участвует в конкурсе";"1501339";"—"
"11";"14";"—";"296000";"100 86 100";"10000";"Участвует в конкурсе";"1702101";"—"
"12";"9";"—";"296000";"98 97 91";"10000";"Участвует в конкурсе";"2368438";"—"
"13";"8";"—";"295000";"95 99 91";"10000";"Участвует в конкурсе";"1783449";"—"
"14";"4";"—";"294000";"100 97 94";"3000";"Участвует в конкурсе";"1604793";"—"
"15";"7";"—";"294000";"85 99 100";"10000";"Участвует в конкурсе";"1798162";"—"
"16";"17";"—";"293000";"100 94 89";"10000";"Участвует в конкурсе";"2134514";"—"
"17";"11";"—";"292000";"98 100 89";"5000";"Участвует в конкурсе";"1637473";"—"
"18";"4";"—";"292000";"100 92 94";"6000";"Участвует в конкурсе";"1977911";"—"
"19";"17";"—";"292000";"100 95 89";"8000";"Участвует в конкурсе";"1788572";"—"
"20";"8";"—";"292000";"95 98 89";"10000";"Участвует в конкурсе";"2000936";"—"
"21";"8";"—";"292000";"95 90 97";"10000";"Участвует в конкурсе";"2208406";"—"
"22";"2";"—";"292000";"93 92 97";"10000";"Участвует в конкурсе";"1475756";"—"
"23";"8";"—";"292000";"90 95 97";"10000";"Участвует в конкурсе";"1215083";"—"
"24";"8";"—";"291000";"95 100 86";"10000";"Участвует в конкурсе";"1436615";"—"
"25";"15";"—";"291000";"95 92 94";"10000";"Участвует в конкурсе";"1963797";"—"
"26";"4";"—";"291000";"93 97 91";"10000";"Участвует в конкурсе";"1493568";"—"
"27";"7";"—";"290000";"95 96 89";"10000";"Участвует в конкурсе";"1729121";"—"
"28";"4";"—";"290000";"93 90 97";"10000";"Участвует в конкурсе";"1983588";"—"
"29";"3";"—";"290000";"90 96 94";"10000";"Участвует в конкурсе";"1536693";"—"
"30";"17";"—";"290000";"88 95 97";"10000";"Участвует в конкурсе";"2005775";"—"
"31";"12";"—";"289000";"95 98 91";"5000";"Участвует в конкурсе";"1175736";"—"
"32";"13";"—";"287000";"95 96 86";"10000";"Участвует в конкурсе";"1652121";"—"
"33";"9";"—";"287000";"90 90 97";"10000";"Участвует в конкурсе";"1493775";"—"
"35";"13";"—";"287000";"85 95 97";"10000";"Участвует в конкурсе";"2314652";"—"
"36";"8";"—";"286000";"90 92 94";"10000";"Участвует в конкурсе";"2415700";"—"
"37";"10";"—";"285000";"100 94 81";"10000";"Участвует в конкурсе";"1904436";"—"
"38";"2";"—";"284000";"98 100 86";"—";"Участвует в конкурсе";"1915078";"—"
"39";"19";"—";"284000";"95 92 94";"3000";"Участвует в конкурсе";"1203083";"—"
"40";"13";"—";"284000";"93 95 86";"10000";"Участвует в конкурсе";"1214535";"—"
"41";"13";"—";"282000";"95 86 91";"10000";"Участвует в конкурсе";"2160345";"—"
"42";"11";"—";"282000";"90 88 94";"10000";"Участвует в конкурсе";"1519645";"—"
"43";"16";"—";"281000";"95 92 94";"—";"Участвует в конкурсе";"1995422";"—"
"44";"29";"—";"281000";"95 98 86";"2000";"Участвует в конкурсе";"1666321";"—"
"45";"2";"—";"281000";"93 86 94";"8000";"Участвует в конкурсе";"1999571";"—"
"46";"10";"—";"281000";"100 80 91";"10000";"Участвует в конкурсе";"1616124";"—"
"47";"1";"—";"281000";"95 90 86";"10000";"Участвует в конкурсе";"2222914";"—"
"48";"8";"—";"281000";"90 95 86";"10000";"Участвует в конкурсе";"1949664";"—"
"49";"6";"—";"281000";"90 95 86";"10000";"Участвует в конкурсе";"1959799";"—"
"50";"4";"—";"281000";"88 86 97";"10000";"Участвует в конкурсе";"1749157";"—"
"51";"4";"—";"280000";"100 94 83";"3000";"Участвует в конкурсе";"2092669";"—"
"52";"11";"—";"280000";"95 92 83";"10000";"Участвует в конкурсе";"1180537";"—"
"53";"3";"—";"280000";"93 96 81";"10000";"Участвует в конкурсе";"1716981";"—"
"54";"8";"—";"280000";"93 94 83";"10000";"Участвует в конкурсе";"2060704";"—"
"55";"23";"—";"280000";"90 97 83";"10000";"Участвует в конкурсе";"1675328";"—"
"56";"15";"—";"280000";"88 96 86";"10000";"Участвует в конкурсе";"1280884";"—"
"57";"15";"—";"280000";"88 82 100";"10000";"Участвует в конкурсе";"1798628";"—"
"58";"19";"—";"279000";"98 100 81";"—";"Участвует в конкурсе";"2179972";"—"
"59";"2";"—";"279000";"98 88 83";"10000";"Участвует в конкурсе";"2219230";"—"
"60";"16";"—";"279000";"95 88 86";"10000";"Участвует в конкурсе";"2170924";"—"
"61";"17";"—";"279000";"90 96 83";"10000";"Участвует в конкурсе";"2071592";"—"
"63";"5";"—";"279000";"90 90 89";"10000";"Участвует в конкурсе";"2037881";"—"
"64";"3";"—";"279000";"90 88 91";"10000";"Участвует в конкурсе";"1788034";"—"
"65";"14";"—";"279000";"88 92 89";"10000";"Участвует в конкурсе";"2260910";"—"
"66";"1";"—";"279000";"88 90 91";"10000";"Участвует в конкурсе";"2366114";"—"
"67";"7";"—";"278000";"93 97 78";"10000";"Участвует в конкурсе";"2099279";"—"
"68";"9";"—";"278000";"83 99 86";"10000";"Участвует в конкурсе";"1795014";"—"
"69";"24";"—";"278000";"83 94 91";"10000";"Участвует в конкурсе";"2035422";"—"
"70";"3";"—";"277000";"100 94 83";"—";"Участвует в конкурсе";"2310371";"—"
"71";"17";"—";"277000";"100 94 81";"2000";"Участвует в конкурсе";"1710356";"—"
"72";"14";"—";"277000";"90 94 83";"10000";"Участвует в конкурсе";"2257901";"—"
"73";"11";"—";"277000";"85 88 94";"10000";"Участвует в конкурсе";"1584455";"—"
"74";"11";"—";"277000";"83 90 94";"10000";"Участвует в конкурсе";"1565127";"—"
"75";"21";"—";"277000";"80 98 89";"10000";"Участвует в конкурсе";"1332216";"—"
"77";"3";"—";"276000";"90 95 89";"2000";"Участвует в конкурсе";"2197828";"—"
"78";"11";"—";"276000";"95 80 91";"10000";"Участвует в конкурсе";"2101357";"—"
"79";"22";"—";"276000";"88 97 81";"10000";"Участвует в конкурсе";"1881507";"—"
"80";"2";"—";"275000";"90 94 83";"8000";"Участвует в конкурсе";"1614792";"—"
"81";"3";"—";"275000";"88 86 91";"10000";"Участвует в конкурсе";"1877656";"—"
"82";"12";"—";"275000";"83 88 94";"10000";"Участвует в конкурсе";"2141022";"—"
"83";"7";"—";"275000";"80 94 91";"10000";"Участвует в конкурсе";"1194504";"—"
"84";"8";"—";"274000";"100 88 86";"—";"Участвует в конкурсе";"1985154";"—"
"85";"10";"—";"274000";"90 88 86";"10000";"Участвует в конкурсе";"1408384";"—"
"86";"14";"—";"274000";"88 82 94";"10000";"Участвует в конкурсе";"2262520";"—"
"87";"20";"—";"274000";"85 88 91";"10000";"Участвует в конкурсе";"1620198";"—"
"88";"20";"—";"274000";"83 95 86";"10000";"Участвует в конкурсе";"1601346";"—"
"89";"5";"—";"274000";"80 90 94";"10000";"Участвует в конкурсе";"1260223";"—"
"90";"11";"—";"274000";"80 90 94";"10000";"Участвует в конкурсе";"2227144";"—"
"91";"7";"—";"273000";"95 92 86";"—";"Участвует в конкурсе";"1082593";"—"
"92";"15";"—";"273000";"98 95 78";"2000";"Участвует в конкурсе";"1244657";"—"
"93";"7";"—";"273000";"88 92 91";"2000";"Участвует в конкурсе";"1786326";"—"
"94";"3";"—";"273000";"80 94 94";"5000";"Участвует в конкурсе";"2264547";"—"
"95";"8";"—";"273000";"95 90 78";"10000";"Участвует в конкурсе";"2318493";"—"
"96";"4";"—";"273000";"93 84 86";"10000";"Участвует в конкурсе";"1975290";"—"
"97";"20";"—";"273000";"90 90 83";"10000";"Участвует в конкурсе";"1995262";"—"
"98";"20";"—";"273000";"88 94 81";"10000";"Участвует в конкурсе";"1516350";"—"
"99";"8";"—";"273000";"83 80 100";"10000";"Участвует в конкурсе";"1913697";"—"
"100";"19";"—";"272000";"93 98 81";"—";"Участвует в конкурсе";"1791564";"—"
"101";"3";"—";"272000";"98 95 69";"10000";"Участвует в конкурсе";"2056236";"—"
"102";"19";"—";"272000";"93 80 89";"10000";"Участвует в конкурсе";"2101004";"—"
"103";"2";"—";"272000";"88 88 86";"10000";"Участвует в конкурсе";"1392539";"—"
"104";"3";"—";"272000";"88 88 86";"10000";"Участвует в конкурсе";"1509225";"—"
"105";"9";"—";"272000";"88 88 86";"10000";"Участвует в конкурсе";"1915560";"—"
"106";"5";"—";"272000";"88 80 94";"10000";"Участвует в конкурсе";"1609852";"—"
"107";"24";"—";"272000";"85 96 81";"10000";"Участвует в конкурсе";"1416387";"—"
"108";"7";"—";"272000";"85 88 89";"10000";"Участвует в конкурсе";"1933906";"—"
"111";"22";"—";"271000";"90 95 83";"3000";"Участвует в конкурсе";"1708732";"—"
"112";"17";"—";"271000";"85 90 89";"7000";"Участвует в конкурсе";"1465820";"—"
"113";"15";"—";"271000";"88 90 83";"10000";"Участвует в конкурсе";"1185036";"—"
"114";"26";"—";"271000";"85 98 78";"10000";"Участвует в конкурсе";"1724996";"—"
"115";"5";"—";"271000";"85 90 86";"10000";"Участвует в конкурсе";"1445320";"—"
"116";"6";"—";"271000";"83 95 83";"10000";"Участвует в конкурсе";"960464";"—"
"117";"4";"—";"271000";"83 84 94";"10000";"Участвует в конкурсе";"1614728";"—"
"118";"10";"—";"271000";"78 92 91";"10000";"Участвует в конкурсе";"1178784";"—"
"119";"22";"—";"270000";"93 95 72";"10000";"Участвует в конкурсе";"1516957";"—"
"120";"23";"—";"270000";"93 92 75";"10000";"Участвует в конкурсе";"1197134";"—"
"121";"10";"—";"270000";"93 86 81";"10000";"Участвует в конкурсе";"1405382";"—"
"122";"16";"—";"270000";"90 97 73";"10000";"Участвует в конкурсе";"1730696";"—"
"123";"5";"—";"270000";"88 94 78";"10000";"Участвует в конкурсе";"2209562";"—"
"124";"11";"—";"270000";"83 86 91";"10000";"Участвует в конкурсе";"1585307";"—"
"125";"4";"—";"269000";"83 95 89";"2000";"Участвует в конкурсе";"1981536";"—"
"126";"6";"—";"269000";"95 90 81";"3000";"Участвует в конкурсе";"2310253";"—"
"127";"29";"—";"269000";"93 84 89";"3000";"Участвует в конкурсе";"1409106";"—"
"128";"2";"—";"269000";"90 90 86";"3000";"Участвует в конкурсе";"1779849";"—"
"129";"11";"—";"269000";"85 90 91";"3000";"Участвует в конкурсе";"1992429";"—"
"130";"10";"—";"269000";"80 84 100";"5000";"Участвует в конкурсе";"2127681";"—"
"131";"11";"—";"269000";"98 72 89";"10000";"Участвует в конкурсе";"1964745";"—"
"132";"18";"—";"269000";"90 88 81";"10000";"Участвует в конкурсе";"1343007";"—"
"133";"16";"—";"269000";"90 86 83";"10000";"Участвует в конкурсе";"1616900";"—"
"134";"8";"—";"269000";"88 90 81";"10000";"Участвует в конкурсе";"2303660";"—"
"135";"16";"—";"269000";"88 88 83";"10000";"Участвует в конкурсе";"1719894";"—"
"136";"2";"—";"269000";"85 80 94";"10000";"Участвует в конкурсе";"1633538";"—"
"137";"11";"—";"269000";"83 90 86";"10000";"Участвует в конкурсе";"2315090";"—"
"138";"1";"—";"268000";"98 84 86";"—";"Участвует в конкурсе";"1929706";"—"
"140";"7";"—";"268000";"95 84 86";"3000";"Участвует в конкурсе";"2245046";"—"
"141";"10";"—";"268000";"90 97 78";"3000";"Участвует в конкурсе";"1724945";"—"
"142";"2";"—";"268000";"88 88 86";"6000";"Участвует в конкурсе";"1690345";"—"
"143";"8";"—";"268000";"95 80 83";"10000";"Участвует в конкурсе";"2028980";"—"
"144";"12";"—";"268000";"90 90 78";"10000";"Участвует в конкурсе";"1417152";"—"
"145";"12";"—";"268000";"90 90 78";"10000";"Участвует в конкурсе";"1725648";"—"
"146";"12";"—";"268000";"90 82 86";"10000";"Участвует в конкурсе";"1500822";"—"
"147";"10";"—";"268000";"88 95 75";"10000";"Участвует в конкурсе";"1403507";"—"
