"Порядковый номер";"Приоритет конкурса";"Наличие договора";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"5";"—";"308000";"98 100 100";"10000";"Участвует в конкурсе";"1728171";"—"
"2";"1";"—";"307000";"100 100 97";"10000";"Участвует в конкурсе";"1414233";"—"
"3";"7";"—";"304000";"98 99 97";"10000";"Участвует в конкурсе";"1914761";"—"
"4";"1";"—";"302000";"98 100 94";"10000";"Участвует в конкурсе";"1839611";"—"
"5";"22";"—";"300000";"95 98 97";"10000";"Участвует в конкурсе";"1331541";"—"
"6";"1";"—";"300000";"93 100 97";"10000";"Участвует в конкурсе";"996505";"—"
"7";"4";"—";"297000";"98 94 97";"8000";"Участвует в конкурсе";"1514024";"—"
"8";"6";"—";"297000";"98 100 89";"10000";"Участвует в конкурсе";"1167293";"—"
"9";"21";"—";"297000";"95 92 100";"10000";"Участвует в конкурсе";"1501339";"—"
"11";"13";"—";"296000";"100 86 100";"10000";"Участвует в конкурсе";"1702101";"—"
"12";"3";"—";"296000";"98 97 91";"10000";"Участвует в конкурсе";"2368438";"—"
"13";"7";"—";"295000";"95 99 91";"10000";"Участвует в конкурсе";"1783449";"—"
"14";"3";"—";"294000";"100 97 94";"3000";"Участвует в конкурсе";"1604793";"—"
"15";"1";"—";"294000";"98 100 86";"10000";"Участвует в конкурсе";"1625066";"—"
"16";"4";"—";"294000";"85 99 100";"10000";"Участвует в конкурсе";"1798162";"—"
"17";"9";"—";"293000";"100 94 89";"10000";"Участвует в конкурсе";"2134514";"—"
"18";"1";"—";"292000";"98 100 89";"5000";"Участвует в конкурсе";"1637473";"—"
"19";"13";"—";"292000";"100 92 94";"6000";"Участвует в конкурсе";"1977911";"—"
"20";"16";"—";"292000";"100 95 89";"8000";"Участвует в конкурсе";"1788572";"—"
"21";"4";"—";"292000";"95 98 89";"10000";"Участвует в конкурсе";"2000936";"—"
"22";"1";"—";"292000";"93 92 97";"10000";"Участвует в конкурсе";"1475756";"—"
"23";"1";"—";"291000";"95 100 86";"10000";"Участвует в конкурсе";"1436615";"—"
"24";"16";"—";"291000";"95 92 94";"10000";"Участвует в конкурсе";"1963797";"—"
"25";"3";"—";"291000";"93 97 91";"10000";"Участвует в конкурсе";"1493568";"—"
"26";"2";"—";"290000";"100 94 86";"10000";"Участвует в конкурсе";"1497568";"—"
"27";"6";"—";"290000";"95 96 89";"10000";"Участвует в конкурсе";"1729121";"—"
"28";"3";"—";"290000";"95 96 89";"10000";"Участвует в конкурсе";"1842623";"—"
"29";"16";"—";"290000";"88 95 97";"10000";"Участвует в конкурсе";"2005775";"—"
"30";"8";"—";"289000";"93 99 97";"—";"Участвует в конкурсе";"1441150";"—"
"31";"13";"—";"289000";"95 98 91";"5000";"Участвует в конкурсе";"1175736";"—"
"32";"6";"—";"289000";"98 95 86";"10000";"Участвует в конкурсе";"1843556";"—"
"33";"5";"—";"288000";"98 97 83";"10000";"Участвует в конкурсе";"1496139";"—"
"34";"7";"—";"288000";"88 99 91";"10000";"Участвует в конкурсе";"1227028";"—"
