"Порядковый номер";"Приоритет конкурса";"Подано согласие";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"1";"Электронное";"1000";"x x x";"8000";"Участвует в конкурсе";"1043742";"—"
"2";"1";"Электронное";"310000";"100 100 100";"10000";"Участвует в конкурсе";"1288903";"—"
"3";"1";"—";"310000";"100 100 100";"10000";"Участвует в конкурсе";"1514555";"—"
"4";"24";"—";"310000";"100 100 100";"10000";"Участвует в конкурсе";"1701767";"—"
"5";"4";"—";"308000";"98 100 100";"10000";"Участвует в конкурсе";"1728171";"—"
"6";"1";"Электронное";"307000";"100 100 97";"10000";"Участвует в конкурсе";"1414233";"—"
"7";"4";"—";"307000";"100 100 97";"10000";"Участвует в конкурсе";"1950371";"—"
"8";"4";"Электронное";"305000";"98 97 100";"10000";"Участвует в конкурсе";"2311531";"—"
"9";"14";"—";"304000";"100 100 94";"10000";"Участвует в конкурсе";"1796316";"—"
"10";"1";"—";"304000";"100 100 94";"10000";"Участвует в конкурсе";"1503170";"—"
"11";"9";"—";"304000";"100 100 94";"10000";"Участвует в конкурсе";"952832";"—"
"12";"9";"—";"304000";"100 100 94";"10000";"Участвует в конкурсе";"1603179";"—"
"13";"1";"—";"304000";"100 100 94";"10000";"Участвует в конкурсе";"1594381";"—"
"14";"2";"—";"304000";"100 100 94";"10000";"Участвует в конкурсе";"1438824";"—"
"15";"10";"—";"304000";"98 99 97";"10000";"Участвует в конкурсе";"1842883";"—"
"16";"3";"—";"304000";"98 99 97";"10000";"Участвует в конкурсе";"1914761";"—"
"17";"5";"—";"304000";"95 99 100";"10000";"Участвует в конкурсе";"1106646";"—"
"18";"11";"—";"303000";"100 99 94";"10000";"Участвует в конкурсе";"1684531";"—"
"19";"4";"—";"303000";"98 95 100";"10000";"Участвует в конкурсе";"2041055";"—"
"20";"3";"—";"302000";"98 100 94";"10000";"Участвует в конкурсе";"1209450";"—"
"21";"3";"—";"302000";"98 100 94";"10000";"Участвует в конкурсе";"1205102";"—"
"22";"3";"Электронное";"302000";"98 100 94";"10000";"Участвует в конкурсе";"1649304";"—"
"23";"1";"—";"302000";"98 100 94";"10000";"Участвует в конкурсе";"1839611";"—"
"24";"6";"—";"302000";"98 97 97";"10000";"Участвует в конкурсе";"1188080";"—"
"25";"10";"—";"302000";"95 100 97";"10000";"Участвует в конкурсе";"1622830";"—"
"26";"9";"—";"302000";"95 100 97";"10000";"Участвует в конкурсе";"1391057";"—"
"27";"12";"—";"302000";"93 99 100";"10000";"Участвует в конкурсе";"1396381";"—"
"28";"11";"—";"301000";"100 100 91";"10000";"Участвует в конкурсе";"1646082";"—"
"29";"1";"—";"301000";"100 100 91";"10000";"Участвует в конкурсе";"1723490";"—"
"30";"9";"—";"301000";"100 100 91";"10000";"Участвует в конкурсе";"1949750";"—"
"31";"11";"—";"301000";"100 100 91";"10000";"Участвует в конкурсе";"1958013";"—"
"32";"12";"—";"301000";"100 97 94";"10000";"Участвует в конкурсе";"2246911";"—"
"33";"3";"—";"301000";"100 97 94";"10000";"Участвует в конкурсе";"1730665";"—"
"34";"1";"—";"301000";"98 99 94";"10000";"Участвует в конкурсе";"1760731";"—"
"35";"9";"—";"301000";"95 96 100";"10000";"Участвует в конкурсе";"1355170";"—"
"36";"16";"Электронное";"301000";"95 96 100";"10000";"Участвует в конкурсе";"2248401";"—"
"37";"3";"—";"301000";"93 98 100";"10000";"Участвует в конкурсе";"1821821";"—"
"38";"1";"—";"300000";"98 100 97";"5000";"Участвует в конкурсе";"2261809";"—"
"39";"22";"—";"300000";"95 98 97";"10000";"Участвует в конкурсе";"1331541";"—"
"40";"1";"—";"300000";"93 100 97";"10000";"Участвует в конкурсе";"996505";"—"
"41";"1";"—";"300000";"90 100 100";"10000";"Участвует в конкурсе";"1203361";"—"
"42";"2";"—";"299000";"100 100 89";"10000";"Участвует в конкурсе";"1383243";"—"
"43";"11";"—";"299000";"100 100 89";"10000";"Участвует в конкурсе";"1797731";"—"
"44";"2";"—";"299000";"100 95 94";"10000";"Участвует в конкурсе";"1407670";"—"
"45";"8";"—";"299000";"100 92 97";"10000";"Участвует в конкурсе";"1729269";"—"
"46";"11";"—";"299000";"98 100 91";"10000";"Участвует в конкурсе";"1572627";"—"
"47";"3";"—";"299000";"98 97 94";"10000";"Участвует в конкурсе";"2245983";"—"
"48";"5";"—";"299000";"95 100 94";"10000";"Участвует в конкурсе";"1988073";"—"
"49";"4";"—";"299000";"95 97 97";"10000";"Участвует в конкурсе";"1772073";"—"
"50";"15";"—";"299000";"93 99 97";"10000";"Участвует в конкурсе";"2269157";"—"
"51";"5";"—";"298000";"100 98 100";"—";"Участвует в конкурсе";"1179493";"—"
"52";"1";"—";"298000";"100 99 89";"10000";"Участвует в конкурсе";"1200511";"—"
"53";"10";"—";"298000";"98 96 94";"10000";"Участвует в конкурсе";"1436757";"—"
"54";"3";"—";"298000";"95 96 97";"10000";"Участвует в конкурсе";"1326997";"—"
"55";"1";"Электронное";"298000";"93 98 97";"10000";"Участвует в конкурсе";"1903558";"—"
"56";"4";"—";"297000";"98 94 97";"8000";"Участвует в конкурсе";"1514024";"—"
"57";"10";"—";"297000";"100 98 89";"10000";"Участвует в конкурсе";"1656452";"—"
"58";"4";"—";"297000";"100 98 89";"10000";"Участвует в конкурсе";"1796175";"—"
