"Порядковый номер";"Приоритет конкурса";"Подано согласие";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"1";"—";"1000";"x x x";"10000";"Участвует в конкурсе";"1768709";"—"
"2";"2";"Электронное";"1000";"x x x";"10000";"Участвует в конкурсе";"1514051";"—"
"3";"1";"Электронное";"1000";"x x x";"10000";"Участвует в конкурсе";"1964745";"—"
"4";"1";"—";"1000";"x x x";"10000";"Участвует в конкурсе";"1474245";"—"
"5";"1";"—";"1000";"x x x";"10000";"Участвует в конкурсе";"999321";"—"
"6";"1";"Электронное";"1000";"x x x";"10000";"Участвует в конкурсе";"1651267";"—"
"7";"2";"—";"1000";"x x x";"10000";"Участвует в конкурсе";"1355457";"—"
"8";"5";"—";"1000";"x x x";"10000";"Участвует в конкурсе";"1782587";"—"
"9";"1";"Электронное";"1000";"x x x";"10000";"Участвует в конкурсе";"1826994";"—"
"10";"4";"Электронное";"1000";"x x x";"10000";"Участвует в конкурсе";"1891692";"—"
"11";"1";"—";"1000";"x x x";"10000";"Участвует в конкурсе";"1846843";"—"
"13";"2";"Электронное";"1000";"x x x";"10000";"Участвует в конкурсе";"1559916";"—"
"14";"2";"Электронное";"1000";"x x x";"10000";"Участвует в конкурсе";"1689698";"—"
"15";"2";"Электронное";"1000";"x x x";"10000";"Участвует в конкурсе";"2114620";"—"
"16";"6";"—";"1000";"x x x";"10000";"Участвует в конкурсе";"1022234";"—"
"17";"7";"—";"1000";"x x x";"5000";"Участвует в конкурсе";"1928698";"—"
"18";"2";"—";"1000";"x x x";"3000";"Участвует в конкурсе";"1648911";"—"
"19";"1";"—";"1000";"x x x";"3000";"Участвует в конкурсе";"1961801";"—"
"20";"4";"Электронное";"1000";"x x x";"3000";"Участвует в конкурсе";"1688419";"—"
"21";"1";"—";"1000";"x x x";"3000";"Участвует в конкурсе";"2231197";"—"
"22";"8";"—";"1000";"x x x";"2000";"Участвует в конкурсе";"1653349";"—"
"23";"3";"—";"1000";"x x x";"2000";"Участвует в конкурсе";"1771361";"—"
"24";"6";"Электронное";"1000";"x x x";"2000";"Участвует в конкурсе";"1130423";"—"
"25";"7";"—";"1000";"x x x";"—";"Участвует в конкурсе";"1087683";"—"
"26";"3";"—";"1000";"x x x";"—";"Участвует в конкурсе";"1641302";"—"
"27";"13";"Электронное";"1000";"x x x";"—";"Участвует в конкурсе";"1542584";"—"
"28";"3";"—";"1000";"x x x";"—";"Участвует в конкурсе";"2220443";"—"
"29";"5";"Электронное";"1000";"x x x";"—";"Участвует в конкурсе";"2030125";"—"
"30";"7";"—";"1000";"x x x";"—";"Участвует в конкурсе";"1166095";"—"
"31";"5";"Электронное";"1000";"x x x";"—";"Участвует в конкурсе";"1305652";"—"
"32";"11";"—";"1000";"x x x";"—";"Участвует в конкурсе";"1645058";"—"
"33";"1";"—";"1000";"x x x";"—";"Участвует в конкурсе";"1651152";"—"
"34";"16";"—";"1000";"x x x";"—";"Участвует в конкурсе";"1975707";"—"
"35";"10";"Электронное";"1000";"x x x";"—";"Участвует в конкурсе";"2133320";"—"
"36";"16";"—";"1000";"x x x";"—";"Участвует в конкурсе";"1151776";"—"
"37";"5";"—";"1000";"x x x";"—";"Участвует в конкурсе";"1642778";"—"
"38";"4";"—";"1000";"x x x";"—";"Участвует в конкурсе";"2250999";"—"
"39";"2";"—";"1000";"x x x";"—";"Участвует в конкурсе";"1764232";"—"
"40";"2";"—";"1000";"x x x";"—";"Участвует в конкурсе";"2273003";"—"
"41";"1";"—";"1000";"x x x";"—";"Участвует в конкурсе";"1358320";"—"
"42";"8";"—";"1000";"x x x";"—";"Участвует в конкурсе";"2385498";"—"
"43";"22";"—";"1000";"x x x";"—";"Участвует в конкурсе";"2235006";"—"
"44";"2";"—";"1000";"x x x";"—";"Участвует в конкурсе";"2092683";"—"
"45";"1";"Электронное";"1000";"x x x";"—";"Участвует в конкурсе";"1166793";"—"
"46";"2";"—";"1000";"x x x";"—";"Участвует в конкурсе";"1348783";"—"
