"Порядковый номер";"Приоритет конкурса";"Наличие договора";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"4";"—";"308000";"98 100 100";"10000";"Участвует в конкурсе";"1728171";"—"
"2";"2";"—";"304000";"98 99 97";"10000";"Участвует в конкурсе";"1914761";"—"
"4";"3";"—";"302000";"98 100 94";"10000";"Участвует в конкурсе";"1839611";"—"
"5";"2";"—";"301000";"100 100 91";"10000";"Участвует в конкурсе";"2139075";"—"
"6";"4";"—";"301000";"100 97 94";"10000";"Участвует в конкурсе";"1359030";"—"
"7";"8";"—";"300000";"98 98 94";"10000";"Участвует в конкурсе";"1202951";"—"
"8";"3";"—";"300000";"95 98 97";"10000";"Участвует в конкурсе";"2232633";"—"
"9";"5";"—";"300000";"95 98 97";"10000";"Участвует в конкурсе";"1331541";"—"
"11";"1";"—";"299000";"93 96 100";"10000";"Участвует в конкурсе";"1516062";"—"
"12";"7";"—";"297000";"98 94 97";"8000";"Участвует в конкурсе";"1514024";"—"
"13";"5";"—";"297000";"98 100 89";"10000";"Участвует в конкурсе";"1167293";"—"
"14";"5";"—";"297000";"95 92 100";"10000";"Участвует в конкурсе";"1422687";"—"
"15";"2";"—";"297000";"95 92 100";"10000";"Участвует в конкурсе";"1501339";"—"
"17";"5";"—";"296000";"100 86 100";"10000";"Участвует в конкурсе";"1702101";"—"
"18";"2";"—";"296000";"98 97 91";"10000";"Участвует в конкурсе";"2368438";"—"
"19";"3";"—";"296000";"93 96 97";"10000";"Участвует в конкурсе";"1366342";"—"
"20";"1";"—";"296000";"90 96 100";"10000";"Участвует в конкурсе";"1334560";"—"
"21";"13";"—";"295000";"95 99 91";"10000";"Участвует в конкурсе";"1783449";"—"
"22";"3";"—";"294000";"98 100 86";"10000";"Участвует в конкурсе";"1625066";"—"
"23";"1";"—";"294000";"95 92 97";"10000";"Участвует в конкурсе";"1333982";"—"
"24";"4";"—";"294000";"93 97 94";"10000";"Участвует в конкурсе";"1441293";"—"
"25";"1";"—";"293000";"95 98 97";"3000";"Участвует в конкурсе";"1250317";"—"
"26";"3";"—";"293000";"100 94 89";"10000";"Участвует в конкурсе";"2134514";"—"
"28";"2";"—";"292000";"98 100 89";"5000";"Участвует в конкурсе";"1637473";"—"
"29";"11";"—";"292000";"100 92 94";"6000";"Участвует в конкурсе";"1977911";"—"
"30";"6";"—";"292000";"100 95 89";"8000";"Участвует в конкурсе";"1788572";"—"
"31";"1";"—";"292000";"100 99 83";"10000";"Участвует в конкурсе";"2230382";"—"
"32";"1";"—";"292000";"95 98 89";"10000";"Участвует в конкурсе";"1493379";"—"
"33";"5";"—";"292000";"95 98 89";"10000";"Участвует в конкурсе";"2000936";"—"
"34";"1";"—";"292000";"95 90 97";"10000";"Участвует в конкурсе";"2208406";"—"
"35";"3";"—";"292000";"93 92 97";"10000";"Участвует в конкурсе";"1475756";"—"
"36";"4";"—";"292000";"90 95 97";"10000";"Участвует в конкурсе";"1215083";"—"
"37";"2";"—";"291000";"100 92 89";"10000";"Участвует в конкурсе";"1622970";"—"
"38";"5";"—";"291000";"95 100 86";"10000";"Участвует в конкурсе";"1436615";"—"
"39";"17";"—";"291000";"95 92 94";"10000";"Участвует в конкурсе";"1963797";"—"
"40";"1";"—";"291000";"93 97 91";"10000";"Участвует в конкурсе";"1493568";"—"
"41";"2";"—";"290000";"95 96 89";"10000";"Участвует в конкурсе";"1729121";"—"
"42";"1";"—";"290000";"95 96 89";"10000";"Участвует в конкурсе";"1842623";"—"
"43";"3";"—";"290000";"95 94 91";"10000";"Участвует в конкурсе";"1572600";"—"
"44";"1";"—";"290000";"88 95 97";"10000";"Участвует в конкурсе";"2005775";"—"
"45";"3";"—";"289000";"100 98 91";"—";"Участвует в конкурсе";"1210177";"—"
"46";"7";"—";"289000";"93 99 97";"—";"Участвует в конкурсе";"1441150";"—"
"47";"4";"—";"289000";"98 94 94";"3000";"Участвует в конкурсе";"1655782";"—"
"48";"2";"—";"289000";"95 100 91";"3000";"Участвует в конкурсе";"1646262";"—"
"49";"1";"—";"289000";"95 98 91";"5000";"Участвует в конкурсе";"1175736";"—"
"50";"4";"—";"289000";"98 100 81";"10000";"Участвует в конкурсе";"1350561";"—"
"51";"2";"—";"289000";"98 95 86";"10000";"Участвует в конкурсе";"1843556";"—"
"52";"2";"—";"288000";"98 96 86";"8000";"Участвует в конкурсе";"1615565";"—"
"53";"10";"—";"288000";"98 97 83";"10000";"Участвует в конкурсе";"1496139";"—"
"54";"2";"—";"288000";"95 94 89";"10000";"Участвует в конкурсе";"1241968";"—"
"55";"2";"—";"288000";"93 96 89";"10000";"Участвует в конкурсе";"1580385";"—"
"56";"2";"—";"288000";"93 96 89";"10000";"Участвует в конкурсе";"1262362";"—"
"57";"3";"—";"288000";"90 94 94";"10000";"Участвует в конкурсе";"1264563";"—"
"58";"1";"—";"288000";"88 99 91";"10000";"Участвует в конкурсе";"1227028";"—"
"59";"1";"—";"288000";"85 96 97";"10000";"Участвует в конкурсе";"1200904";"—"
"60";"2";"—";"287000";"95 98 94";"—";"Участвует в конкурсе";"1515103";"—"
"61";"2";"—";"287000";"100 96 81";"10000";"Участвует в конкурсе";"1710101";"—"
"62";"3";"—";"287000";"95 96 86";"10000";"Участвует в конкурсе";"1652121";"—"
"63";"2";"—";"287000";"90 90 97";"10000";"Участвует в конкурсе";"1493775";"—"
"64";"2";"—";"287000";"88 100 89";"10000";"Участвует в конкурсе";"1433847";"—"
"66";"2";"—";"287000";"88 95 94";"10000";"Участвует в конкурсе";"1651865";"—"
"67";"2";"—";"287000";"85 95 97";"10000";"Участвует в конкурсе";"2314652";"—"
"68";"1";"—";"286000";"95 100 81";"10000";"Участвует в конкурсе";"1640345";"—"
"69";"3";"—";"286000";"95 95 86";"10000";"Участвует в конкурсе";"1556038";"—"
"70";"4";"—";"286000";"95 92 89";"10000";"Участвует в конкурсе";"1647810";"—"
"71";"3";"—";"286000";"95 92 89";"10000";"Участвует в конкурсе";"2176396";"—"
"72";"8";"—";"286000";"93 100 83";"10000";"Участвует в конкурсе";"1364152";"—"
"73";"4";"—";"286000";"90 92 94";"10000";"Участвует в конкурсе";"2415700";"—"
"74";"1";"—";"286000";"88 97 91";"10000";"Участвует в конкурсе";"1493263";"—"
"75";"1";"—";"286000";"88 94 94";"10000";"Участвует в конкурсе";"1853778";"—"
"76";"2";"—";"285000";"100 99 86";"—";"Участвует в конкурсе";"2264692";"—"
"77";"8";"—";"285000";"98 98 89";"—";"Участвует в конкурсе";"1427864";"—"
"78";"1";"—";"285000";"100 94 81";"10000";"Участвует в конкурсе";"2270816";"—"
"79";"2";"—";"285000";"100 94 81";"10000";"Участвует в конкурсе";"1904436";"—"
"80";"2";"—";"285000";"98 94 83";"10000";"Участвует в конкурсе";"1074691";"—"
"81";"1";"—";"285000";"95 94 86";"10000";"Участвует в конкурсе";"1195761";"—"
"82";"2";"—";"285000";"93 99 83";"10000";"Участвует в конкурсе";"2215497";"—"
"83";"5";"—";"285000";"93 88 94";"10000";"Участвует в конкурсе";"1606981";"—"
"84";"1";"—";"285000";"90 94 91";"10000";"Участвует в конкурсе";"1503258";"—"
"85";"10";"—";"285000";"90 94 91";"10000";"Участвует в конкурсе";"1730554";"—"
"86";"1";"—";"285000";"88 96 91";"10000";"Участвует в конкурсе";"1336781";"—"
"87";"6";"—";"285000";"83 98 94";"10000";"Участвует в конкурсе";"1407974";"—"
"88";"1";"—";"285000";"83 98 94";"10000";"Участвует в конкурсе";"2141185";"—"
"89";"8";"—";"284000";"98 100 86";"—";"Участвует в конкурсе";"1915078";"—"
"90";"2";"—";"284000";"93 100 91";"—";"Участвует в конкурсе";"1754673";"—"
"91";"6";"—";"284000";"100 95 86";"3000";"Участвует в конкурсе";"2268515";"—"
"92";"2";"—";"284000";"95 92 94";"3000";"Участвует в конкурсе";"1203083";"—"
"93";"4";"—";"284000";"98 95 86";"5000";"Участвует в конкурсе";"1441493";"—"
"94";"2";"—";"284000";"100 88 86";"10000";"Участвует в конкурсе";"1174226";"—"
"95";"2";"—";"284000";"98 90 86";"10000";"Участвует в конкурсе";"1854449";"—"
"96";"1";"—";"284000";"95 88 91";"10000";"Участвует в конкурсе";"1910859";"—"
"97";"18";"—";"284000";"93 95 86";"10000";"Участвует в конкурсе";"1214535";"—"
"98";"2";"—";"284000";"93 95 86";"10000";"Участвует в конкурсе";"1953967";"—"
"99";"4";"—";"283000";"100 92 91";"—";"Участвует в конкурсе";"1898922";"—"
"100";"3";"—";"283000";"98 94 81";"10000";"Участвует в конкурсе";"1784599";"—"
"101";"9";"—";"283000";"95 100 78";"10000";"Участвует в конкурсе";"2335701";"—"
"102";"1";"—";"283000";"93 86 94";"10000";"Участвует в конкурсе";"1337769";"—"
"103";"4";"—";"283000";"90 100 83";"10000";"Участвует в конкурсе";"1442467";"—"
"104";"3";"—";"283000";"90 94 89";"10000";"Участвует в конкурсе";"1346053";"—"
"105";"6";"—";"283000";"90 94 89";"10000";"Участвует в конкурсе";"1705022";"—"
"106";"4";"—";"283000";"90 94 89";"10000";"Участвует в конкурсе";"1366560";"—"
"107";"3";"—";"283000";"88 96 89";"10000";"Участвует в конкурсе";"2313341";"—"
"108";"3";"—";"282000";"98 92 89";"3000";"Участвует в конкурсе";"2251964";"—"
"109";"3";"—";"282000";"95 86 91";"10000";"Участвует в конкурсе";"2160345";"—"
"110";"3";"—";"282000";"90 96 86";"10000";"Участвует в конкурсе";"2285867";"—"
"111";"2";"—";"282000";"90 88 94";"10000";"Участвует в конкурсе";"1987736";"—"
"112";"1";"—";"281000";"95 92 94";"—";"Участвует в конкурсе";"1995422";"—"
"113";"2";"—";"281000";"93 94 94";"—";"Участвует в конкурсе";"2220026";"—"
"114";"4";"—";"281000";"98 100 81";"2000";"Участвует в конкурсе";"1442081";"—"
"115";"1";"—";"281000";"95 98 86";"2000";"Участвует в конкурсе";"1666321";"—"
"116";"4";"—";"281000";"100 96 75";"10000";"Участвует в конкурсе";"2044461";"—"
"117";"2";"—";"281000";"100 80 91";"10000";"Участвует в конкурсе";"1616124";"—"
