"Порядковый номер";"Приоритет конкурса";"Подано согласие";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"4";"—";"1000";"x x x";"10000";"Участвует в конкурсе";"1768709";"—"
"2";"3";"Электронное";"1000";"x x x";"10000";"Участвует в конкурсе";"1514051";"—"
"3";"2";"Электронное";"1000";"x x x";"10000";"Участвует в конкурсе";"1964745";"—"
"4";"4";"—";"1000";"x x x";"10000";"Участвует в конкурсе";"1286034";"—"
"5";"3";"—";"1000";"x x x";"10000";"Участвует в конкурсе";"999321";"—"
"6";"3";"Электронное";"1000";"x x x";"10000";"Участвует в конкурсе";"1651267";"—"
"7";"6";"—";"1000";"x x x";"10000";"Участвует в конкурсе";"1548572";"—"
"8";"1";"—";"1000";"x x x";"10000";"Участвует в конкурсе";"1355457";"—"
"9";"2";"—";"1000";"x x x";"10000";"Участвует в конкурсе";"1782587";"—"
"10";"2";"Электронное";"1000";"x x x";"10000";"Участвует в конкурсе";"1826994";"—"
"11";"2";"—";"1000";"x x x";"10000";"Участвует в конкурсе";"1433847";"—"
"12";"1";"Электронное";"1000";"x x x";"10000";"Участвует в конкурсе";"1891692";"—"
"13";"2";"—";"1000";"x x x";"10000";"Участвует в конкурсе";"1846843";"—"
"14";"1";"—";"1000";"x x x";"10000";"Участвует в конкурсе";"1982619";"—"
"15";"4";"—";"1000";"x x x";"10000";"Участвует в конкурсе";"1229036";"—"
"16";"3";"—";"1000";"x x x";"10000";"Участвует в конкурсе";"1249733";"—"
"17";"7";"—";"1000";"x x x";"10000";"Участвует в конкурсе";"1365600";"—"
"19";"1";"Электронное";"1000";"x x x";"10000";"Участвует в конкурсе";"1559916";"—"
"20";"3";"—";"1000";"x x x";"10000";"Участвует в конкурсе";"1189152";"—"
"21";"1";"—";"1000";"x x x";"10000";"Участвует в конкурсе";"1022234";"—"
"22";"5";"—";"1000";"x x x";"10000";"Участвует в конкурсе";"1478109";"—"
"23";"4";"—";"1000";"x x x";"10000";"Участвует в конкурсе";"1228378";"—"
"24";"1";"Электронное";"1000";"x x x";"10000";"Участвует в конкурсе";"2114620";"—"
"25";"1";"—";"1000";"x x x";"5000";"Участвует в конкурсе";"1928698";"—"
"26";"12";"Электронное";"1000";"x x x";"5000";"Участвует в конкурсе";"2219629";"—"
"27";"13";"—";"1000";"x x x";"3000";"Участвует в конкурсе";"1987920";"—"
"28";"16";"—";"1000";"x x x";"3000";"Участвует в конкурсе";"2084323";"—"
"29";"2";"—";"1000";"x x x";"3000";"Участвует в конкурсе";"1961801";"—"
"30";"3";"Электронное";"1000";"x x x";"3000";"Участвует в конкурсе";"1688419";"—"
"31";"4";"—";"1000";"x x x";"3000";"Участвует в конкурсе";"2231197";"—"
"32";"6";"—";"1000";"x x x";"2000";"Участвует в конкурсе";"1653349";"—"
"33";"2";"Электронное";"1000";"x x x";"2000";"Участвует в конкурсе";"1130423";"—"
"34";"1";"—";"1000";"x x x";"2000";"Участвует в конкурсе";"1771361";"—"
"35";"1";"—";"1000";"x x x";"—";"Участвует в конкурсе";"1641302";"—"
"36";"2";"—";"1000";"x x x";"—";"Участвует в конкурсе";"1720387";"—"
"37";"15";"Электронное";"1000";"x x x";"—";"Участвует в конкурсе";"1542584";"—"
"38";"1";"—";"1000";"x x x";"—";"Участвует в конкурсе";"2220443";"—"
"39";"4";"—";"1000";"x x x";"—";"Участвует в конкурсе";"1166095";"—"
"40";"3";"Электронное";"1000";"x x x";"—";"Участвует в конкурсе";"2030125";"—"
"41";"2";"Электронное";"1000";"x x x";"—";"Участвует в конкурсе";"1579993";"—"
"42";"14";"—";"1000";"x x x";"—";"Участвует в конкурсе";"1975707";"—"
"43";"18";"—";"1000";"x x x";"—";"Участвует в конкурсе";"1151776";"—"
"44";"3";"—";"1000";"x x x";"—";"Участвует в конкурсе";"1642778";"—"
"45";"3";"—";"1000";"x x x";"—";"Участвует в конкурсе";"1764232";"—"
"46";"3";"—";"1000";"x x x";"—";"Участвует в конкурсе";"2273003";"—"
"47";"2";"—";"1000";"x x x";"—";"Участвует в конкурсе";"1358320";"—"
"48";"2";"—";"1000";"x x x";"—";"Участвует в конкурсе";"2385498";"—"
"49";"23";"—";"1000";"x x x";"—";"Участвует в конкурсе";"2235006";"—"
"50";"21";"Электронное";"1000";"x x x";"—";"Участвует в конкурсе";"1166793";"—"
"51";"21";"—";"1000";"x x x";"—";"Участвует в конкурсе";"2092683";"—"
"52";"1";"—";"1000";"x x x";"—";"Участвует в конкурсе";"1348783";"—"
"53";"11";"Электронное";"1000";"x x x";"—";"Участвует в конкурсе";"2133320";"—"
"55";"8";"Электронное";"1000";"x x x";"—";"Участвует в конкурсе";"2136579";"—"
"56";"4";"—";"1000";"x x x";"—";"Участвует в конкурсе";"1355737";"—"
"57";"23";"Электронное";"1000";"x x x";"—";"Участвует в конкурсе";"1356884";"—"
"58";"5";"—";"1000";"x x x";"—";"Участвует в конкурсе";"2127785";"—"
"59";"7";"Электронное";"1000";"x x x";"—";"Участвует в конкурсе";"2364364";"—"
"60";"10";"—";"1000";"x x x";"—";"Участвует в конкурсе";"1836480";"—"
"121";"1";"—";"300000";"100 90 100";"10000";"Участвует в конкурсе";"1618714";"—"
"122";"3";"—";"300000";"95 98 97";"10000";"Участвует в конкурсе";"2232633";"—"
"123";"6";"—";"299000";"100 95 94";"10000";"Участвует в конкурсе";"1407670";"—"
"124";"2";"—";"297000";"100 98 89";"10000";"Участвует в конкурсе";"1991433";"—"
"125";"5";"—";"297000";"93 100 94";"10000";"Участвует в конкурсе";"1796316";"—"
"126";"2";"—";"293000";"98 96 94";"5000";"Участвует в конкурсе";"1509037";"—"
"128";"6";"—";"292000";"100 95 89";"8000";"Участвует в конкурсе";"1788572";"—"
"129";"2";"Электронное";"291000";"100 92 89";"10000";"Участвует в конкурсе";"1622970";"—"
"130";"2";"—";"291000";"93 94 94";"10000";"Участвует в конкурсе";"1916223";"—"
"131";"1";"—";"291000";"93 88 100";"10000";"Участвует в конкурсе";"1584673";"—"
"132";"1";"—";"290000";"88 98 94";"10000";"Участвует в конкурсе";"1627584";"—"
"133";"4";"—";"289000";"98 95 86";"10000";"Участвует в конкурсе";"1291171";"—"
"134";"12";"Электронное";"289000";"98 90 91";"10000";"Участвует в конкурсе";"1424910";"—"
"135";"2";"—";"289000";"95 84 100";"10000";"Участвует в конкурсе";"1582041";"—"
"136";"2";"—";"288000";"83 95 100";"10000";"Участвует в конкурсе";"1185547";"—"
"137";"2";"—";"287000";"98 90 89";"10000";"Участвует в конкурсе";"1844173";"—"
"138";"2";"—";"287000";"93 90 94";"10000";"Участвует в конкурсе";"1645061";"—"
"139";"6";"—";"287000";"90 90 97";"10000";"Участвует в конкурсе";"1615432";"—"
"140";"2";"—";"287000";"88 92 97";"10000";"Участвует в конкурсе";"1473705";"—"
"141";"1";"—";"286000";"90 92 94";"10000";"Участвует в конкурсе";"1267092";"—"
"142";"6";"—";"285000";"98 90 97";"—";"Участвует в конкурсе";"1593902";"—"
"143";"4";"—";"285000";"98 94 83";"10000";"Участвует в конкурсе";"2249102";"—"
"145";"2";"—";"284000";"93 92 89";"10000";"Участвует в конкурсе";"1283285";"—"
"146";"2";"Электронное";"283000";"100 90 83";"10000";"Участвует в конкурсе";"2138900";"—"
"147";"5";"—";"283000";"95 92 86";"10000";"Участвует в конкурсе";"1795423";"—"
"148";"4";"—";"283000";"90 94 89";"10000";"Участвует в конкурсе";"1389085";"—"
"149";"1";"—";"282000";"95 96 81";"10000";"Участвует в конкурсе";"1784131";"—"
"150";"3";"—";"281000";"93 95 83";"10000";"Участвует в конкурсе";"1461136";"—"
"151";"5";"—";"281000";"90 90 91";"10000";"Участвует в конкурсе";"1438369";"—"
"152";"2";"Электронное";"281000";"88 86 97";"10000";"Участвует в конкурсе";"2181416";"—"
"153";"3";"—";"280000";"88 98 89";"5000";"Участвует в конкурсе";"1576243";"—"
"155";"8";"—";"279000";"90 90 89";"10000";"Участвует в конкурсе";"2037881";"—"
"156";"4";"—";"278000";"90 97 91";"—";"Участвует в конкурсе";"2179859";"—"
"157";"8";"—";"278000";"95 86 94";"3000";"Участвует в конкурсе";"1290581";"—"
"158";"3";"Электронное";"278000";"93 84 91";"10000";"Участвует в конкурсе";"2055641";"—"
"159";"1";"Электронное";"278000";"90 92 86";"10000";"Участвует в конкурсе";"1290729";"—"
"161";"10";"—";"277000";"95 99 83";"—";"Участвует в конкурсе";"1292749";"—"
"162";"2";"—";"277000";"95 90 89";"3000";"Участвует в конкурсе";"1792648";"—"
"163";"1";"—";"277000";"95 86 86";"10000";"Участвует в конкурсе";"1759510";"—"
"164";"4";"—";"277000";"90 86 91";"10000";"Участвует в конкурсе";"1917051";"—"
"165";"14";"—";"277000";"90 86 91";"10000";"Участвует в конкурсе";"1419084";"—"
"166";"1";"Электронное";"276000";"93 84 89";"10000";"Участвует в конкурсе";"2260583";"—"
