"Порядковый номер";"Приоритет конкурса";"Наличие договора";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"3";"—";"50000";"-";"50000";"Ожидание результатов ВИ";"2338977";"—"
"2";"2";"—";"50000";"-";"50000";"Ожидание результатов ВИ";"2364176";"—"
"3";"1";"—";"50000";"-";"50000";"Ожидание результатов ВИ";"1947253";"—"
"4";"12";"—";"50000";"-";"50000";"Ожидание результатов ВИ";"1901368";"—"
"5";"4";"—";"45000";"-";"45000";"Ожидание результатов ВИ";"1333795";"—"
"6";"3";"—";"43000";"-";"43000";"Ожидание результатов ВИ";"2000555";"—"
"7";"3";"—";"40000";"-";"40000";"Ожидание результатов ВИ";"2236528";"—"
"8";"3";"—";"40000";"-";"40000";"Ожидание результатов ВИ";"1293130";"—"
"9";"14";"—";"40000";"-";"40000";"Ожидание результатов ВИ";"2314256";"—"
"10";"4";"—";"40000";"-";"40000";"Ожидание результатов ВИ";"2426326";"—"
"11";"7";"—";"40000";"-";"40000";"Ожидание результатов ВИ";"1993082";"—"
"12";"1";"—";"40000";"-";"40000";"Ожидание результатов ВИ";"2057322";"—"
"13";"3";"—";"40000";"-";"40000";"Ожидание результатов ВИ";"2140616";"—"
"14";"3";"—";"40000";"-";"40000";"Ожидание результатов ВИ";"2133522";"—"
"15";"1";"—";"40000";"-";"40000";"Ожидание результатов ВИ";"2178665";"—"
"16";"4";"—";"40000";"-";"40000";"Ожидание результатов ВИ";"2210468";"—"
"17";"1";"—";"40000";"-";"40000";"Ожидание результатов ВИ";"2169861";"—"
"18";"2";"—";"35000";"-";"35000";"Ожидание результатов ВИ";"1478122";"—"
"19";"1";"—";"35000";"-";"35000";"Ожидание результатов ВИ";"2046504";"—"
"20";"3";"—";"35000";"-";"35000";"Ожидание результатов ВИ";"1513841";"—"
"21";"1";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2168777";"—"
"22";"5";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2140589";"—"
"23";"32";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2119826";"—"
"24";"1";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2218118";"—"
"25";"19";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2451320";"—"
"26";"5";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2120073";"—"
"27";"2";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2127529";"—"
"28";"5";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2119929";"—"
"29";"11";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"1792692";"—"
"30";"2";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2246316";"—"
"31";"2";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2094630";"—"
"32";"9";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2044638";"—"
"33";"1";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2312695";"—"
"34";"13";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2363771";"—"
"35";"3";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2188233";"—"
"36";"7";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2054574";"—"
"37";"1";"Электронное";"25000";"-";"25000";"Ожидание результатов ВИ";"1973207";"—"
"38";"1";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2000940";"—"
"39";"10";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2000173";"—"
"40";"1";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"1994305";"—"
"41";"1";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"1982245";"—"
"42";"7";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2056013";"—"
"43";"4";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2050107";"—"
"44";"1";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2098364";"—"
"45";"4";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2095188";"—"
"46";"1";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2107994";"—"
"47";"4";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2143744";"—"
"48";"3";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2180970";"—"
"49";"3";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2174647";"—"
"50";"3";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2118677";"—"
"51";"3";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2256496";"—"
"52";"8";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2261857";"—"
"53";"2";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2266824";"—"
"54";"7";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2258998";"—"
"55";"12";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2249701";"—"
"56";"6";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"1957179";"—"
"57";"1";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"2344327";"—"
"58";"5";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"2180741";"—"
"59";"9";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"1927498";"—"
"60";"3";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"2313223";"—"
"61";"7";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"1997651";"—"
"62";"1";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"2394848";"—"
"63";"3";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"2412156";"—"
"64";"3";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"1981773";"—"
"65";"5";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"2183657";"—"
