"Порядковый номер";"Приоритет конкурса";"Подано согласие";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"13";"Электронное";"45000";"-";"45000";"Ожидание результатов ВИ";"1980490";"—"
"2";"10";"—";"45000";"-";"45000";"Ожидание результатов ВИ";"1856364";"—"
"3";"14";"—";"43000";"-";"43000";"Ожидание результатов ВИ";"2142548";"—"
"4";"15";"Электронное";"40000";"-";"40000";"Ожидание результатов ВИ";"2236528";"—"
"5";"9";"—";"40000";"-";"40000";"Ожидание результатов ВИ";"2301887";"—"
"6";"11";"Электронное";"40000";"-";"40000";"Ожидание результатов ВИ";"2311893";"—"
"7";"13";"Электронное";"40000";"-";"40000";"Ожидание результатов ВИ";"2314256";"—"
"8";"6";"—";"40000";"-";"40000";"Ожидание результатов ВИ";"1900918";"—"
"9";"14";"—";"40000";"-";"40000";"Ожидание результатов ВИ";"1972138";"—"
"10";"1";"Электронное";"40000";"-";"40000";"Ожидание результатов ВИ";"2105710";"—"
"11";"1";"—";"40000";"-";"40000";"Ожидание результатов ВИ";"1964131";"—"
"12";"6";"Электронное";"40000";"-";"40000";"Ожидание результатов ВИ";"2178665";"—"
"13";"16";"—";"40000";"-";"40000";"Ожидание результатов ВИ";"2176738";"—"
"14";"7";"Электронное";"40000";"-";"40000";"Ожидание результатов ВИ";"2206594";"—"
"15";"2";"Электронное";"40000";"-";"40000";"Ожидание результатов ВИ";"2217716";"—"
"16";"2";"—";"33000";"-";"33000";"Ожидание результатов ВИ";"2237811";"—"
"17";"1";"Электронное";"25000";"-";"25000";"Ожидание результатов ВИ";"2214305";"—"
"18";"34";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"1901414";"—"
"19";"4";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2246316";"—"
"20";"13";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2183152";"—"
"21";"19";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2044638";"—"
"22";"13";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2363771";"—"
"23";"5";"Электронное";"25000";"-";"25000";"Ожидание результатов ВИ";"2312695";"—"
"24";"4";"Электронное";"25000";"-";"25000";"Ожидание результатов ВИ";"2369460";"—"
"25";"4";"Электронное";"25000";"-";"25000";"Ожидание результатов ВИ";"2188233";"—"
"27";"2";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"1950220";"—"
"28";"1";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"1944995";"—"
"29";"17";"Электронное";"25000";"-";"25000";"Ожидание результатов ВИ";"2000173";"—"
"30";"23";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2056013";"—"
"31";"17";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2024261";"—"
"32";"1";"Электронное";"25000";"-";"25000";"Ожидание результатов ВИ";"2336572";"—"
"33";"5";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2083421";"—"
"34";"12";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2151268";"—"
"35";"17";"Электронное";"25000";"-";"25000";"Ожидание результатов ВИ";"2128867";"—"
"36";"31";"Электронное";"25000";"-";"25000";"Ожидание результатов ВИ";"2181011";"—"
"37";"3";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2230522";"—"
