"Порядковый номер";"Приоритет конкурса";"Наличие договора";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"14";"—";"50000";"-";"50000";"Ожидание результатов ВИ";"1901368";"—"
"2";"1";"—";"45000";"-";"45000";"Ожидание результатов ВИ";"1333795";"—"
"3";"1";"—";"40000";"-";"40000";"Ожидание результатов ВИ";"2181043";"—"
"4";"19";"—";"40000";"-";"40000";"Ожидание результатов ВИ";"2236528";"—"
"5";"1";"—";"40000";"-";"40000";"Ожидание результатов ВИ";"1083194";"—"
"6";"2";"—";"40000";"-";"40000";"Ожидание результатов ВИ";"1293130";"—"
"7";"7";"—";"40000";"-";"40000";"Ожидание результатов ВИ";"1489711";"—"
"8";"7";"—";"40000";"-";"40000";"Ожидание результатов ВИ";"2314256";"—"
"9";"6";"—";"40000";"-";"40000";"Ожидание результатов ВИ";"1960030";"—"
"10";"11";"—";"40000";"-";"40000";"Ожидание результатов ВИ";"2101723";"—"
"11";"5";"—";"40000";"-";"40000";"Ожидание результатов ВИ";"2083937";"—"
"12";"2";"—";"40000";"-";"40000";"Ожидание результатов ВИ";"2178665";"—"
"13";"2";"—";"40000";"-";"40000";"Ожидание результатов ВИ";"2210468";"—"
"14";"1";"—";"40000";"-";"40000";"Ожидание результатов ВИ";"2247794";"—"
"15";"3";"—";"35000";"-";"35000";"Ожидание результатов ВИ";"1478122";"—"
"16";"2";"—";"35000";"-";"35000";"Ожидание результатов ВИ";"1513841";"—"
"17";"2";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"1844346";"—"
"18";"3";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2168777";"—"
"19";"4";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2099631";"—"
"20";"18";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2119826";"—"
"21";"16";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2451320";"—"
"22";"6";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2120073";"—"
"23";"1";"Электронное";"25000";"-";"25000";"Ожидание результатов ВИ";"2132680";"—"
"24";"4";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2243599";"—"
"25";"1";"Электронное";"25000";"-";"25000";"Ожидание результатов ВИ";"2162819";"—"
"26";"3";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2119929";"—"
"27";"10";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"1792692";"—"
"28";"6";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2044638";"—"
"29";"16";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2363771";"—"
"30";"3";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"1942703";"—"
"31";"5";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2188233";"—"
"32";"8";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2054574";"—"
"33";"5";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2204515";"—"
"34";"5";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"1973207";"—"
"35";"7";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2000173";"—"
"36";"4";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"1980856";"—"
"37";"19";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2056013";"—"
"38";"4";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2356094";"—"
"39";"6";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2083421";"—"
"40";"2";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2098364";"—"
"41";"7";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"958925";"—"
"42";"8";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2095188";"—"
"43";"3";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2107994";"—"
