"Порядковый номер";"Приоритет конкурса";"Подано согласие";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"3";"Электронное";"50000";"-";"50000";"Ожидание результатов ВИ";"1577405";"—"
"2";"5";"Электронное";"50000";"-";"50000";"Ожидание результатов ВИ";"2440320";"—"
"3";"3";"—";"50000";"-";"50000";"Ожидание результатов ВИ";"2310163";"—"
"4";"2";"Электронное";"50000";"-";"50000";"Ожидание результатов ВИ";"2006049";"—"
"5";"14";"Электронное";"50000";"-";"50000";"Ожидание результатов ВИ";"1901368";"—"
"6";"8";"Электронное";"45000";"-";"45000";"Ожидание результатов ВИ";"1980490";"—"
"7";"1";"—";"45000";"-";"45000";"Ожидание результатов ВИ";"1333795";"—"
"8";"15";"—";"45000";"-";"45000";"Ожидание результатов ВИ";"1856364";"—"
"9";"5";"—";"43000";"-";"43000";"Ожидание результатов ВИ";"2142548";"—"
"10";"5";"Электронное";"43000";"-";"43000";"Ожидание результатов ВИ";"2000555";"—"
"11";"1";"Электронное";"40000";"-";"40000";"Ожидание результатов ВИ";"2181043";"—"
"12";"8";"Электронное";"40000";"-";"40000";"Ожидание результатов ВИ";"2242189";"—"
"13";"19";"Электронное";"40000";"-";"40000";"Ожидание результатов ВИ";"2236528";"—"
"14";"1";"—";"40000";"-";"40000";"Ожидание результатов ВИ";"1083194";"—"
"15";"7";"—";"40000";"-";"40000";"Ожидание результатов ВИ";"2301887";"—"
"16";"15";"Электронное";"40000";"-";"40000";"Ожидание результатов ВИ";"2311893";"—"
"17";"7";"—";"40000";"-";"40000";"Ожидание результатов ВИ";"1489711";"—"
"18";"6";"Электронное";"40000";"-";"40000";"Ожидание результатов ВИ";"2314256";"—"
"19";"13";"—";"40000";"-";"40000";"Ожидание результатов ВИ";"1900918";"—"
"20";"7";"—";"40000";"-";"40000";"Ожидание результатов ВИ";"1960030";"—"
"21";"5";"—";"40000";"-";"40000";"Ожидание результатов ВИ";"1972138";"—"
"22";"4";"—";"40000";"-";"40000";"Ожидание результатов ВИ";"1962419";"—"
"23";"3";"—";"40000";"-";"40000";"Ожидание результатов ВИ";"2050374";"—"
"24";"8";"—";"40000";"-";"40000";"Ожидание результатов ВИ";"2101502";"—"
"25";"2";"—";"40000";"-";"40000";"Ожидание результатов ВИ";"2101723";"—"
"26";"4";"—";"40000";"-";"40000";"Ожидание результатов ВИ";"2077514";"—"
"27";"5";"—";"40000";"-";"40000";"Ожидание результатов ВИ";"2083937";"—"
"28";"2";"Электронное";"40000";"-";"40000";"Ожидание результатов ВИ";"2178665";"—"
"29";"4";"—";"40000";"-";"40000";"Ожидание результатов ВИ";"1962420";"—"
"30";"4";"—";"40000";"-";"40000";"Ожидание результатов ВИ";"2176738";"—"
"31";"2";"Электронное";"40000";"-";"40000";"Ожидание результатов ВИ";"2210468";"—"
"32";"1";"—";"40000";"-";"40000";"Ожидание результатов ВИ";"2247794";"—"
"33";"8";"Электронное";"40000";"-";"40000";"Ожидание результатов ВИ";"2240040";"—"
"34";"3";"—";"35000";"-";"35000";"Ожидание результатов ВИ";"1478122";"—"
"35";"2";"—";"35000";"-";"35000";"Ожидание результатов ВИ";"1513841";"—"
"36";"3";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2168777";"—"
"37";"4";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2099631";"—"
"38";"6";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"1955658";"—"
"39";"6";"Электронное";"25000";"-";"25000";"Ожидание результатов ВИ";"2120073";"—"
"40";"1";"Электронное";"25000";"-";"25000";"Ожидание результатов ВИ";"2132680";"—"
"42";"33";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"1901414";"—"
