"Порядковый номер";"Приоритет конкурса";"Наличие договора";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"11";"—";"50000";"-";"50000";"Ожидание результатов ВИ";"1901368";"—"
"2";"2";"—";"45000";"-";"45000";"Ожидание результатов ВИ";"1333795";"—"
"3";"2";"—";"43000";"-";"43000";"Ожидание результатов ВИ";"2000555";"—"
"4";"3";"—";"40000";"-";"40000";"Ожидание результатов ВИ";"2099837";"—"
"5";"2";"—";"40000";"-";"40000";"Ожидание результатов ВИ";"2181043";"—"
"6";"2";"—";"40000";"-";"40000";"Ожидание результатов ВИ";"2236528";"—"
"7";"6";"—";"40000";"-";"40000";"Ожидание результатов ВИ";"2314256";"—"
"8";"8";"—";"40000";"-";"40000";"Ожидание результатов ВИ";"2426326";"—"
"9";"3";"—";"40000";"-";"40000";"Ожидание результатов ВИ";"1960030";"—"
"10";"1";"—";"40000";"-";"40000";"Ожидание результатов ВИ";"1962419";"—"
"11";"4";"—";"40000";"-";"40000";"Ожидание результатов ВИ";"1993082";"—"
"12";"3";"—";"40000";"-";"40000";"Ожидание результатов ВИ";"2101723";"—"
"13";"4";"—";"40000";"-";"40000";"Ожидание результатов ВИ";"2083937";"—"
"14";"1";"—";"40000";"-";"40000";"Ожидание результатов ВИ";"2183125";"—"
"15";"1";"—";"40000";"-";"40000";"Ожидание результатов ВИ";"1962420";"—"
"16";"4";"—";"40000";"-";"40000";"Ожидание результатов ВИ";"2169861";"—"
"17";"4";"—";"40000";"-";"40000";"Ожидание результатов ВИ";"2247794";"—"
"18";"5";"—";"35000";"-";"35000";"Ожидание результатов ВИ";"1513841";"—"
"19";"2";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2140589";"—"
"20";"17";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2119826";"—"
"21";"13";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2451320";"—"
"22";"2";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2203998";"—"
"23";"2";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2132680";"—"
"24";"3";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2243599";"—"
"25";"2";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2162819";"—"
"26";"6";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"1792692";"—"
"27";"3";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2246316";"—"
"28";"1";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2094630";"—"
"29";"11";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2044638";"—"
"30";"3";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2312695";"—"
"31";"15";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2363771";"—"
"32";"5";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"1942703";"—"
"33";"2";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2188233";"—"
"34";"6";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"1936299";"—"
"35";"2";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"1973207";"—"
"36";"6";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2000173";"—"
"37";"3";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"1980856";"—"
"38";"24";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2056013";"—"
"39";"2";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"958925";"—"
"40";"4";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2107994";"—"
"41";"1";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2143744";"—"
"42";"4";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2180970";"—"
"43";"4";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2118677";"—"
"44";"2";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2230522";"—"
