"Порядковый номер";"Приоритет конкурса";"Подано согласие";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"11";"—";"50000";"-";"50000";"Ожидание результатов ВИ";"2310163";"—"
"2";"11";"Электронное";"50000";"-";"50000";"Ожидание результатов ВИ";"1901368";"—"
"3";"4";"—";"50000";"-";"50000";"Ожидание результатов ВИ";"1980196";"—"
"4";"2";"Электронное";"47000";"-";"47000";"Ожидание результатов ВИ";"1414977";"—"
"5";"2";"—";"45000";"-";"45000";"Ожидание результатов ВИ";"1333795";"—"
"6";"12";"—";"45000";"-";"45000";"Ожидание результатов ВИ";"1856364";"—"
"7";"16";"—";"43000";"-";"43000";"Ожидание результатов ВИ";"2142548";"—"
"8";"3";"Электронное";"43000";"-";"43000";"Ожидание результатов ВИ";"2000555";"—"
"9";"3";"Электронное";"40000";"-";"40000";"Ожидание результатов ВИ";"2099837";"—"
"10";"2";"Электронное";"40000";"-";"40000";"Ожидание результатов ВИ";"2181043";"—"
"11";"2";"—";"40000";"-";"40000";"Ожидание результатов ВИ";"2142104";"—"
"12";"10";"Электронное";"40000";"-";"40000";"Ожидание результатов ВИ";"2242189";"—"
"13";"2";"Электронное";"40000";"-";"40000";"Ожидание результатов ВИ";"2236528";"—"
"14";"17";"Электронное";"40000";"-";"40000";"Ожидание результатов ВИ";"2311893";"—"
"15";"1";"—";"40000";"-";"40000";"Ожидание результатов ВИ";"1175013";"—"
"16";"10";"Электронное";"40000";"-";"40000";"Ожидание результатов ВИ";"2314256";"—"
"17";"2";"—";"40000";"-";"40000";"Ожидание результатов ВИ";"1186363";"—"
"18";"6";"Электронное";"40000";"-";"40000";"Ожидание результатов ВИ";"2443709";"—"
"19";"8";"—";"40000";"-";"40000";"Ожидание результатов ВИ";"2426326";"—"
"20";"8";"—";"40000";"-";"40000";"Ожидание результатов ВИ";"1900918";"—"
"21";"3";"—";"40000";"-";"40000";"Ожидание результатов ВИ";"1960030";"—"
"22";"16";"—";"40000";"-";"40000";"Ожидание результатов ВИ";"1972138";"—"
"23";"2";"—";"40000";"-";"40000";"Ожидание результатов ВИ";"1962419";"—"
"24";"4";"Электронное";"40000";"-";"40000";"Ожидание результатов ВИ";"1993082";"—"
"25";"1";"—";"40000";"-";"40000";"Ожидание результатов ВИ";"1985437";"—"
"26";"1";"—";"40000";"-";"40000";"Ожидание результатов ВИ";"2101723";"—"
"27";"8";"—";"40000";"-";"40000";"Ожидание результатов ВИ";"2077514";"—"
"28";"4";"—";"40000";"-";"40000";"Ожидание результатов ВИ";"2083937";"—"
"29";"16";"Электронное";"40000";"-";"40000";"Ожидание результатов ВИ";"2089348";"—"
"30";"1";"Электронное";"40000";"-";"40000";"Ожидание результатов ВИ";"2183125";"—"
"31";"2";"—";"40000";"-";"40000";"Ожидание результатов ВИ";"1962420";"—"
