"Порядковый номер";"Приоритет конкурса";"Наличие договора";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"1";"—";"50000";"- -";"50000";"Ожидание результатов ВИ";"2338977";"—"
"2";"1";"—";"50000";"- -";"50000";"Ожидание результатов ВИ";"2364176";"—"
"3";"5";"—";"40000";"- -";"40000";"Ожидание результатов ВИ";"2314256";"—"
"4";"34";"—";"25000";"- -";"25000";"Ожидание результатов ВИ";"2119826";"—"
"5";"15";"—";"25000";"- -";"25000";"Ожидание результатов ВИ";"2451320";"—"
"6";"5";"—";"25000";"- -";"25000";"Ожидание результатов ВИ";"2246316";"—"
"7";"4";"—";"25000";"- -";"25000";"Ожидание результатов ВИ";"2312695";"—"
"8";"5";"—";"25000";"- -";"25000";"Ожидание результатов ВИ";"2000173";"—"
"9";"14";"—";"25000";"- -";"25000";"Ожидание результатов ВИ";"2249701";"—"
"10";"1";"—";"15000";"- -";"15000";"Ожидание результатов ВИ";"1997651";"—"
"11";"12";"—";"15000";"- -";"15000";"Ожидание результатов ВИ";"2184400";"—"
"12";"3";"—";"15000";"- -";"15000";"Ожидание результатов ВИ";"2272146";"—"
"13";"13";"—";"15000";"- -";"15000";"Ожидание результатов ВИ";"2150908";"—"
"14";"5";"—";"15000";"- -";"15000";"Ожидание результатов ВИ";"2404142";"—"
"15";"5";"—";"15000";"- -";"15000";"Ожидание результатов ВИ";"2429649";"—"
"16";"1";"—";"15000";"- -";"15000";"Ожидание результатов ВИ";"2339932";"—"
"17";"4";"—";"15000";"- -";"15000";"Ожидание результатов ВИ";"2427632";"—"
"18";"12";"—";"15000";"- -";"15000";"Ожидание результатов ВИ";"2456201";"—"
"19";"2";"—";"15000";"x x";"15000";"На рассмотрении";"1024214";"—"
"20";"2";"—";"15000";"- -";"15000";"Ожидание результатов ВИ";"2156151";"—"
"21";"5";"—";"—";"- -";"—";"Ожидание результатов ВИ";"1595465";"—"
"22";"2";"—";"—";"- -";"—";"Ожидание результатов ВИ";"1294485";"—"
"23";"3";"—";"—";"- -";"—";"Ожидание результатов ВИ";"2353152";"—"
"24";"7";"—";"—";"- -";"—";"Ожидание результатов ВИ";"2182672";"—"
"26";"22";"—";"—";"- -";"—";"Ожидание результатов ВИ";"2421065";"—"
"28";"12";"—";"—";"- -";"—";"Ожидание результатов ВИ";"1436312";"—"
"29";"2";"—";"—";"- -";"—";"Ожидание результатов ВИ";"1609810";"—"
"30";"5";"—";"—";"- -";"—";"Ожидание результатов ВИ";"1654449";"—"
"31";"4";"—";"—";"- -";"—";"Ожидание результатов ВИ";"1794758";"—"
"32";"7";"—";"—";"- -";"—";"Ожидание результатов ВИ";"1896092";"—"
"33";"1";"—";"—";"- -";"—";"Ожидание результатов ВИ";"1880669";"—"
"34";"4";"—";"—";"- -";"—";"Ожидание результатов ВИ";"2018293";"—"
"35";"6";"—";"—";"- -";"—";"Ожидание результатов ВИ";"2078501";"—"
"36";"18";"—";"—";"- -";"—";"Ожидание результатов ВИ";"1566286";"—"
"37";"5";"—";"—";"- -";"—";"Ожидание результатов ВИ";"966485";"—"
"38";"4";"—";"—";"- -";"—";"Ожидание результатов ВИ";"1981294";"—"
"40";"3";"—";"—";"- -";"—";"Ожидание результатов ВИ";"2110459";"—"
"41";"3";"—";"—";"- -";"—";"Ожидание результатов ВИ";"2110542";"—"
"43";"7";"—";"—";"- -";"—";"Ожидание результатов ВИ";"2141293";"—"
"44";"6";"—";"—";"- -";"—";"Ожидание результатов ВИ";"2140874";"—"
"45";"6";"—";"—";"- -";"—";"Ожидание результатов ВИ";"2143385";"—"
"46";"9";"—";"—";"- -";"—";"Ожидание результатов ВИ";"997895";"—"
"47";"9";"—";"—";"- -";"—";"Ожидание результатов ВИ";"1796518";"—"
"48";"4";"—";"—";"- -";"—";"Ожидание результатов ВИ";"2146238";"—"
"49";"13";"—";"—";"- -";"—";"Ожидание результатов ВИ";"1921558";"—"
"50";"6";"—";"—";"- -";"—";"Ожидание результатов ВИ";"2181583";"—"
"51";"3";"—";"—";"- -";"—";"Ожидание результатов ВИ";"2178536";"—"
"52";"6";"—";"—";"- -";"—";"Ожидание результатов ВИ";"2204421";"—"
"53";"5";"—";"—";"- -";"—";"Ожидание результатов ВИ";"2216357";"—"
"54";"7";"—";"—";"- -";"—";"Ожидание результатов ВИ";"2216290";"—"
"56";"4";"—";"—";"- -";"—";"Ожидание результатов ВИ";"2229387";"—"
"57";"7";"—";"—";"- -";"—";"Ожидание результатов ВИ";"2245432";"—"
"58";"11";"—";"—";"- -";"—";"Ожидание результатов ВИ";"2250118";"—"
"60";"11";"—";"—";"- -";"—";"Ожидание результатов ВИ";"2263066";"—"
"61";"1";"—";"—";"- -";"—";"Ожидание результатов ВИ";"2261162";"—"
"62";"4";"—";"—";"- -";"—";"Ожидание результатов ВИ";"2265284";"—"
"63";"15";"—";"—";"- -";"—";"Ожидание результатов ВИ";"2271375";"—"
"65";"18";"—";"—";"- -";"—";"Ожидание результатов ВИ";"2296188";"—"
"66";"19";"—";"—";"- -";"—";"Ожидание результатов ВИ";"2295983";"—"
"67";"9";"—";"—";"- -";"—";"Ожидание результатов ВИ";"2315119";"—"
"68";"13";"—";"—";"- -";"—";"Ожидание результатов ВИ";"2022044";"—"
"69";"1";"—";"—";"- -";"—";"Ожидание результатов ВИ";"2333985";"—"
"70";"14";"—";"—";"- -";"—";"Ожидание результатов ВИ";"2342802";"—"
"71";"13";"—";"—";"- -";"—";"Ожидание результатов ВИ";"2196063";"—"
"72";"17";"—";"—";"- -";"—";"Ожидание результатов ВИ";"2235479";"—"
"73";"6";"—";"—";"- -";"—";"Ожидание результатов ВИ";"2344789";"—"
"74";"1";"—";"—";"- -";"—";"Ожидание результатов ВИ";"2339917";"—"
"75";"5";"—";"—";"- -";"—";"Ожидание результатов ВИ";"2346106";"—"
"76";"2";"—";"—";"- -";"—";"Ожидание результатов ВИ";"2357584";"—"
"77";"17";"—";"—";"- -";"—";"Ожидание результатов ВИ";"1578918";"—"
"78";"22";"—";"—";"- -";"—";"Ожидание результатов ВИ";"2317498";"—"
"79";"3";"—";"—";"- -";"—";"Ожидание результатов ВИ";"2373669";"—"
"80";"1";"—";"—";"- -";"—";"Ожидание результатов ВИ";"2383170";"—"
"81";"5";"—";"—";"- -";"—";"Ожидание результатов ВИ";"2392776";"—"
"82";"2";"—";"—";"- -";"—";"Ожидание результатов ВИ";"2405953";"—"
"83";"4";"—";"—";"- -";"—";"Ожидание результатов ВИ";"2410148";"—"
"84";"14";"—";"—";"- -";"—";"Ожидание результатов ВИ";"2414490";"—"
"85";"2";"—";"—";"- -";"—";"Ожидание результатов ВИ";"2412748";"—"
"86";"8";"—";"—";"- -";"—";"Ожидание результатов ВИ";"2415710";"—"
"87";"1";"—";"—";"- -";"—";"Ожидание результатов ВИ";"2413101";"—"
"88";"5";"—";"—";"- -";"—";"Ожидание результатов ВИ";"2414074";"—"
"89";"4";"—";"—";"- -";"—";"Ожидание результатов ВИ";"1550625";"—"
"90";"8";"—";"—";"- -";"—";"Ожидание результатов ВИ";"2416912";"—"
"92";"4";"—";"—";"- -";"—";"Ожидание результатов ВИ";"2425981";"—"
"93";"10";"—";"—";"- -";"—";"Ожидание результатов ВИ";"2427212";"—"
"94";"18";"—";"—";"- -";"—";"Ожидание результатов ВИ";"2431600";"—"
"95";"4";"—";"—";"- -";"—";"Ожидание результатов ВИ";"2146978";"—"
"96";"10";"—";"—";"- -";"—";"Ожидание результатов ВИ";"2432544";"—"
"97";"7";"—";"—";"- -";"—";"Ожидание результатов ВИ";"2155150";"—"
"99";"9";"—";"—";"- -";"—";"Ожидание результатов ВИ";"2457247";"—"
"100";"12";"—";"—";"- -";"—";"Ожидание результатов ВИ";"2458715";"—"
"101";"2";"—";"—";"- -";"—";"Ожидание результатов ВИ";"2460133";"—"
"103";"9";"—";"—";"- -";"—";"Ожидание результатов ВИ";"2472075";"—"
"104";"6";"—";"—";"- -";"—";"Ожидание результатов ВИ";"1485088";"—"
"105";"1";"—";"—";"- -";"—";"Ожидание результатов ВИ";"2430112";"—"
"106";"4";"—";"—";"- -";"—";"Ожидание результатов ВИ";"2473426";"—"
"107";"9";"—";"—";"x x";"—";"На рассмотрении";"2462213";"—"
