"Порядковый номер";"Приоритет конкурса";"Наличие договора";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"5";"—";"50000";"-";"50000";"Ожидание результатов ВИ";"2338977";"—"
"2";"4";"—";"50000";"-";"50000";"Ожидание результатов ВИ";"2364176";"—"
"3";"9";"—";"50000";"-";"50000";"Ожидание результатов ВИ";"1901368";"—"
"4";"1";"—";"43000";"-";"43000";"Ожидание результатов ВИ";"2000555";"—"
"5";"8";"—";"40000";"-";"40000";"Ожидание результатов ВИ";"2236528";"—"
"6";"9";"—";"40000";"-";"40000";"Ожидание результатов ВИ";"2314256";"—"
"7";"5";"—";"40000";"-";"40000";"Ожидание результатов ВИ";"2426326";"—"
"8";"4";"—";"40000";"-";"40000";"Ожидание результатов ВИ";"1960030";"—"
"9";"6";"—";"40000";"-";"40000";"Ожидание результатов ВИ";"1993082";"—"
"10";"6";"—";"40000";"-";"40000";"Ожидание результатов ВИ";"2083937";"—"
"11";"5";"—";"40000";"-";"40000";"Ожидание результатов ВИ";"2178665";"—"
"12";"2";"—";"40000";"-";"40000";"Ожидание результатов ВИ";"2169861";"—"
"13";"5";"—";"40000";"-";"40000";"Ожидание результатов ВИ";"2247794";"—"
"14";"10";"—";"35000";"-";"35000";"Ожидание результатов ВИ";"2046504";"—"
"15";"1";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"1844346";"—"
"16";"22";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2119826";"—"
"17";"2";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2218118";"—"
"18";"18";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2451320";"—"
"19";"3";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2118700";"—"
"20";"1";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2127529";"—"
"21";"2";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"1792692";"—"
"22";"8";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2246316";"—"
"23";"8";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2044638";"—"
"24";"2";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2312695";"—"
"25";"12";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2363771";"—"
"26";"3";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2054574";"—"
"27";"4";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"1973207";"—"
"28";"2";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2000940";"—"
"29";"8";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2000173";"—"
"30";"8";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2056013";"—"
"31";"5";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2050107";"—"
"32";"3";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2045414";"—"
"33";"4";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"958925";"—"
"34";"2";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2107994";"—"
"35";"4";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2305301";"—"
"36";"6";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2215795";"—"
"37";"8";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2118677";"—"
"38";"13";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2256496";"—"
"39";"3";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2261857";"—"
"40";"1";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2266824";"—"
"41";"5";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2258998";"—"
"42";"11";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2249701";"—"
"43";"1";"—";"20000";"-";"20000";"Ожидание результатов ВИ";"2321800";"—"
"44";"2";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"1957179";"—"
"45";"2";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"2344327";"—"
"46";"8";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"2180741";"—"
"47";"12";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"1927498";"—"
"48";"4";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"2313223";"—"
"49";"6";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"1997651";"—"
"50";"7";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"2412156";"—"
"51";"4";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"1981773";"—"
"52";"6";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"1960031";"—"
"53";"8";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"2183657";"—"
