"Порядковый номер";"Приоритет конкурса";"Наличие договора";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"1";"—";"50000";"-";"50000";"Ожидание результатов ВИ";"2089787";"—"
"2";"10";"—";"50000";"-";"50000";"Ожидание результатов ВИ";"2338977";"—"
"3";"9";"—";"50000";"-";"50000";"Ожидание результатов ВИ";"2364176";"—"
"4";"4";"—";"50000";"-";"50000";"Ожидание результатов ВИ";"1947253";"—"
"5";"6";"—";"50000";"-";"50000";"Ожидание результатов ВИ";"1901368";"—"
"6";"5";"—";"45000";"-";"45000";"Ожидание результатов ВИ";"1771231";"—"
"7";"1";"Электронное";"45000";"-";"45000";"Ожидание результатов ВИ";"2086230";"—"
"8";"4";"—";"40000";"-";"40000";"Ожидание результатов ВИ";"2236528";"—"
"9";"4";"—";"40000";"-";"40000";"Ожидание результатов ВИ";"2314256";"—"
"10";"9";"—";"40000";"-";"40000";"Ожидание результатов ВИ";"2426326";"—"
"11";"10";"—";"40000";"-";"40000";"Ожидание результатов ВИ";"1960030";"—"
"12";"3";"—";"40000";"-";"40000";"Ожидание результатов ВИ";"1993082";"—"
"13";"9";"—";"40000";"-";"40000";"Ожидание результатов ВИ";"2101723";"—"
"14";"9";"—";"40000";"-";"40000";"Ожидание результатов ВИ";"2083937";"—"
"15";"8";"—";"40000";"-";"40000";"Ожидание результатов ВИ";"2169861";"—"
"16";"4";"—";"40000";"-";"40000";"Ожидание результатов ВИ";"2240040";"—"
"17";"4";"—";"30000";"-";"30000";"Ожидание результатов ВИ";"1479813";"—"
"18";"4";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2363033";"—"
"19";"12";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2119826";"—"
"20";"3";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"1995467";"—"
"21";"3";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2218118";"—"
"22";"20";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2451320";"—"
"23";"4";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2162819";"—"
"24";"7";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"1792692";"—"
"25";"14";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2044638";"—"
"26";"19";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2363771";"—"
"27";"5";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"1169362";"—"
"28";"4";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2426530";"—"
"29";"12";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"1973207";"—"
"30";"4";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2000173";"—"
"31";"30";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2056013";"—"
"32";"2";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2050107";"—"
"33";"6";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"958925";"—"
"34";"4";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2140067";"—"
"35";"5";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2143744";"—"
"36";"2";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2151806";"—"
"37";"8";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2180970";"—"
"38";"5";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2266824";"—"
"39";"1";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2258998";"—"
"40";"3";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"1915896";"—"
"41";"6";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"2344327";"—"
"42";"6";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"2180741";"—"
"43";"4";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"1927498";"—"
"44";"5";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"2412156";"—"
"45";"1";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"978776";"—"
"46";"9";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"1960031";"—"
"47";"6";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"2183657";"—"
"48";"6";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"2183178";"—"
"49";"2";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"2248086";"—"
"50";"14";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"2184400";"—"
"51";"11";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"2302890";"—"
"52";"6";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"2082772";"—"
"53";"12";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"2336539";"—"
"55";"12";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"2077176";"—"
"56";"19";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"2424001";"—"
"57";"15";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"2431995";"—"
"58";"2";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"2386499";"—"
"59";"14";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"2324833";"—"
"61";"8";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"2184658";"—"
"62";"10";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"2427632";"—"
