"Порядковый номер";"Приоритет конкурса";"Подано согласие";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"2";"—";"50000";"- -";"50000";"Ожидание результатов ВИ";"2089787";"—"
"2";"1";"Электронное";"50000";"- -";"50000";"Ожидание результатов ВИ";"1994110";"—"
"3";"2";"Электронное";"45000";"- -";"45000";"Ожидание результатов ВИ";"1980490";"—"
"4";"2";"—";"45000";"- -";"45000";"Ожидание результатов ВИ";"2086230";"—"
"5";"23";"—";"43000";"- -";"43000";"Ожидание результатов ВИ";"2142548";"—"
"6";"1";"—";"40000";"- -";"40000";"Ожидание результатов ВИ";"2185133";"—"
"7";"23";"—";"40000";"- -";"40000";"Ожидание результатов ВИ";"1972138";"—"
"8";"1";"—";"40000";"- -";"40000";"Ожидание результатов ВИ";"2101504";"—"
"9";"5";"Электронное";"30000";"- -";"30000";"Ожидание результатов ВИ";"1479813";"—"
"10";"4";"—";"28000";"- -";"28000";"Ожидание результатов ВИ";"2152086";"—"
"11";"3";"—";"28000";"- -";"28000";"Ожидание результатов ВИ";"2254848";"—"
"12";"3";"Электронное";"25000";"- -";"25000";"Ожидание результатов ВИ";"2426530";"—"
"13";"9";"—";"25000";"- -";"25000";"Ожидание результатов ВИ";"1900817";"—"
"14";"1";"Электронное";"25000";"- -";"25000";"Ожидание результатов ВИ";"2050107";"—"
"15";"7";"—";"25000";"- -";"25000";"Ожидание результатов ВИ";"2151268";"—"
"16";"1";"Электронное";"25000";"- -";"25000";"Ожидание результатов ВИ";"2219995";"—"
"17";"12";"Электронное";"25000";"- -";"25000";"Ожидание результатов ВИ";"2266824";"—"
"18";"13";"—";"25000";"- -";"25000";"Ожидание результатов ВИ";"2268607";"—"
"19";"1";"Электронное";"25000";"- -";"25000";"Ожидание результатов ВИ";"2257549";"—"
"20";"10";"—";"15000";"- -";"15000";"Ожидание результатов ВИ";"2313223";"—"
"21";"4";"—";"15000";"- -";"15000";"Ожидание результатов ВИ";"1997651";"—"
"22";"1";"—";"15000";"- -";"15000";"Ожидание результатов ВИ";"2383783";"—"
"23";"3";"—";"15000";"- -";"15000";"Ожидание результатов ВИ";"978776";"—"
"24";"5";"—";"15000";"- -";"15000";"Ожидание результатов ВИ";"1910103";"—"
"25";"19";"—";"15000";"- -";"15000";"Ожидание результатов ВИ";"2077176";"—"
"26";"23";"—";"15000";"- -";"15000";"Ожидание результатов ВИ";"2211377";"—"
"27";"8";"—";"15000";"- -";"15000";"Ожидание результатов ВИ";"2260618";"—"
"28";"5";"Электронное";"15000";"- -";"15000";"Ожидание результатов ВИ";"2305751";"—"
"29";"7";"—";"15000";"- -";"15000";"Ожидание результатов ВИ";"2082772";"—"
"30";"15";"—";"15000";"- -";"15000";"Ожидание результатов ВИ";"2343753";"—"
"31";"18";"—";"15000";"- -";"15000";"Ожидание результатов ВИ";"2355516";"—"
"32";"23";"—";"15000";"- -";"15000";"Ожидание результатов ВИ";"2298220";"—"
"33";"13";"—";"15000";"- -";"15000";"Ожидание результатов ВИ";"2426328";"—"
"34";"1";"—";"15000";"- -";"15000";"Ожидание результатов ВИ";"1024214";"—"
"35";"8";"—";"15000";"- -";"15000";"Ожидание результатов ВИ";"1323300";"—"
"36";"13";"—";"15000";"- -";"15000";"Ожидание результатов ВИ";"2412461";"—"
"37";"2";"Электронное";"15000";"- -";"15000";"Ожидание результатов ВИ";"2422116";"—"
"38";"14";"—";"15000";"- -";"15000";"Ожидание результатов ВИ";"2135583";"—"
"39";"9";"—";"15000";"- -";"15000";"Ожидание результатов ВИ";"1661554";"—"
"40";"2";"—";"15000";"- -";"15000";"Ожидание результатов ВИ";"2005722";"—"
"41";"7";"—";"15000";"- -";"15000";"Ожидание результатов ВИ";"1956164";"—"
"42";"8";"Электронное";"15000";"- -";"15000";"Ожидание результатов ВИ";"2178976";"—"
"43";"5";"—";"15000";"- -";"15000";"Ожидание результатов ВИ";"2427632";"—"
"44";"6";"—";"15000";"- -";"15000";"Ожидание результатов ВИ";"2249666";"—"
"45";"16";"—";"15000";"- -";"15000";"Ожидание результатов ВИ";"2456201";"—"
"46";"15";"—";"15000";"- -";"15000";"Ожидание результатов ВИ";"1002753";"—"
"48";"14";"—";"—";"- -";"—";"Ожидание результатов ВИ";"1595465";"—"
"49";"35";"Электронное";"—";"- -";"—";"Ожидание результатов ВИ";"2305449";"—"
"50";"2";"—";"—";"x x";"—";"На рассмотрении";"2288653";"—"
"51";"2";"—";"—";"- -";"—";"Ожидание результатов ВИ";"2427123";"—"
"52";"1";"Электронное";"—";"- -";"—";"Ожидание результатов ВИ";"2353152";"—"
"53";"9";"—";"—";"- -";"—";"Ожидание результатов ВИ";"1560579";"—"
"54";"1";"—";"—";"- -";"—";"Ожидание результатов ВИ";"2286305";"—"
"56";"3";"—";"—";"- -";"—";"Ожидание результатов ВИ";"2445080";"—"
"57";"22";"—";"—";"- -";"—";"Ожидание результатов ВИ";"2421065";"—"
"58";"6";"—";"—";"- -";"—";"Ожидание результатов ВИ";"1782152";"—"
"59";"3";"—";"—";"- -";"—";"Ожидание результатов ВИ";"1100418";"—"
"60";"7";"—";"—";"- -";"—";"Ожидание результатов ВИ";"1149422";"—"
"61";"15";"—";"—";"- -";"—";"Ожидание результатов ВИ";"1179731";"—"
"62";"2";"—";"—";"- -";"—";"Ожидание результатов ВИ";"1508280";"—"
"63";"16";"—";"—";"- -";"—";"Ожидание результатов ВИ";"973391";"—"
"64";"8";"—";"—";"- -";"—";"Ожидание результатов ВИ";"1344431";"—"
"65";"1";"—";"—";"- -";"—";"Ожидание результатов ВИ";"1585536";"—"
"66";"16";"—";"—";"- -";"—";"Ожидание результатов ВИ";"1627761";"—"
"67";"20";"—";"—";"- -";"—";"Ожидание результатов ВИ";"1639670";"—"
"68";"17";"—";"—";"- -";"—";"Ожидание результатов ВИ";"1643824";"—"
"69";"3";"—";"—";"- -";"—";"Ожидание результатов ВИ";"1655230";"—"
"70";"6";"—";"—";"- -";"—";"Ожидание результатов ВИ";"1687745";"—"
"71";"1";"—";"—";"- -";"—";"Ожидание результатов ВИ";"1727324";"—"
"72";"4";"—";"—";"- -";"—";"Ожидание результатов ВИ";"1744655";"—"
"73";"14";"—";"—";"- -";"—";"Ожидание результатов ВИ";"1789058";"—"
"74";"11";"—";"—";"- -";"—";"Ожидание результатов ВИ";"1797127";"—"
"75";"9";"—";"—";"- -";"—";"Ожидание результатов ВИ";"1896092";"—"
"76";"2";"—";"—";"- -";"—";"Ожидание результатов ВИ";"1898965";"—"
"78";"16";"—";"—";"- -";"—";"Ожидание результатов ВИ";"1551612";"—"
"79";"24";"—";"—";"- -";"—";"Ожидание результатов ВИ";"1694842";"—"
"80";"6";"Электронное";"—";"- -";"—";"Ожидание результатов ВИ";"1198522";"—"
