"Порядковый номер";"Приоритет конкурса";"Наличие договора";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"9";"—";"50000";"-";"50000";"Ожидание результатов ВИ";"2338977";"—"
"2";"3";"—";"50000";"-";"50000";"Ожидание результатов ВИ";"1901368";"—"
"3";"5";"—";"45000";"-";"45000";"Ожидание результатов ВИ";"2442440";"—"
"4";"9";"—";"40000";"-";"40000";"Ожидание результатов ВИ";"2236528";"—"
"5";"2";"—";"40000";"-";"40000";"Ожидание результатов ВИ";"2022149";"—"
"6";"2";"—";"40000";"-";"40000";"Ожидание результатов ВИ";"2288292";"—"
"7";"3";"—";"40000";"-";"40000";"Ожидание результатов ВИ";"2314256";"—"
"8";"7";"—";"40000";"-";"40000";"Ожидание результатов ВИ";"2101723";"—"
"9";"6";"—";"40000";"-";"40000";"Ожидание результатов ВИ";"2169861";"—"
"10";"3";"—";"40000";"-";"40000";"Ожидание результатов ВИ";"2240040";"—"
"11";"4";"—";"35000";"-";"35000";"Ожидание результатов ВИ";"1513841";"—"
"12";"8";"—";"30000";"-";"30000";"Ожидание результатов ВИ";"1479813";"—"
"13";"1";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2363033";"—"
"14";"6";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2140589";"—"
"15";"21";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2119826";"—"
"16";"24";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2451320";"—"
"17";"10";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2162819";"—"
"18";"4";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"1792692";"—"
"19";"15";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2044638";"—"
"20";"3";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2363771";"—"
"21";"8";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"1169362";"—"
"22";"6";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2188233";"—"
"23";"5";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"1936299";"—"
"24";"13";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"1973207";"—"
"25";"6";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2000940";"—"
"26";"25";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2056013";"—"
"27";"3";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"958925";"—"
"28";"7";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2095188";"—"
"29";"6";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2140067";"—"
"30";"5";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2305301";"—"
"31";"4";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2151806";"—"
"32";"2";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2118677";"—"
"33";"1";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2208652";"—"
"34";"15";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2256496";"—"
"35";"9";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2266824";"—"
"36";"3";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"2372630";"—"
"37";"11";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"2180741";"—"
"38";"3";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"1927498";"—"
"39";"4";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"2394848";"—"
"40";"5";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"1981773";"—"
"41";"5";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"978776";"—"
"42";"2";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"2099828";"—"
"43";"4";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"2082772";"—"
"44";"11";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"2183178";"—"
"45";"11";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"2183657";"—"
"46";"3";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"2248086";"—"
