"Порядковый номер";"Приоритет конкурса";"Наличие договора";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"8";"—";"50000";"-";"50000";"Ожидание результатов ВИ";"2338977";"—"
"2";"6";"—";"50000";"-";"50000";"Ожидание результатов ВИ";"2364176";"—"
"3";"2";"—";"50000";"-";"50000";"Ожидание результатов ВИ";"1901368";"—"
"4";"4";"—";"45000";"-";"45000";"Ожидание результатов ВИ";"2442440";"—"
"5";"1";"—";"43000";"-";"43000";"Ожидание результатов ВИ";"2251005";"—"
"6";"7";"—";"40000";"-";"40000";"Ожидание результатов ВИ";"2236528";"—"
"7";"3";"—";"40000";"-";"40000";"Ожидание результатов ВИ";"2022149";"—"
"8";"1";"—";"40000";"-";"40000";"Ожидание результатов ВИ";"1489711";"—"
"9";"1";"—";"40000";"-";"40000";"Ожидание результатов ВИ";"2314256";"—"
"10";"2";"—";"40000";"-";"40000";"Ожидание результатов ВИ";"1993082";"—"
"11";"8";"—";"40000";"-";"40000";"Ожидание результатов ВИ";"2101723";"—"
"12";"2";"—";"40000";"-";"40000";"Ожидание результатов ВИ";"2140616";"—"
"13";"7";"—";"40000";"-";"40000";"Ожидание результатов ВИ";"2169861";"—"
"14";"9";"—";"35000";"-";"35000";"Ожидание результатов ВИ";"2046504";"—"
"15";"7";"—";"30000";"-";"30000";"Ожидание результатов ВИ";"1479813";"—"
"16";"5";"—";"28000";"-";"28000";"Ожидание результатов ВИ";"2152086";"—"
"17";"2";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2214305";"—"
"18";"3";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2140589";"—"
"19";"36";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2119826";"—"
"20";"23";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2451320";"—"
"21";"7";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2246316";"—"
"22";"16";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2044638";"—"
"23";"1";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"1986705";"—"
"24";"2";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2363771";"—"
"25";"1";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"1169362";"—"
"26";"2";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2426530";"—"
"27";"14";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"1973207";"—"
"28";"5";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2000940";"—"
"29";"31";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2056013";"—"
"30";"1";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"958925";"—"
"31";"1";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2095188";"—"
"32";"7";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2140067";"—"
"33";"4";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2174647";"—"
"34";"3";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2208652";"—"
"35";"1";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2118677";"—"
"36";"5";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2256496";"—"
"37";"1";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2253230";"—"
"38";"4";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"1915896";"—"
"39";"2";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"2372630";"—"
"40";"7";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"2344327";"—"
"41";"2";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"2180741";"—"
"42";"2";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"1927498";"—"
"43";"1";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"2313223";"—"
"44";"3";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"1997651";"—"
"45";"1";"Электронное";"15000";"-";"15000";"Ожидание результатов ВИ";"1981773";"—"
"46";"1";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"1419688";"—"
"47";"3";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"2099828";"—"
"48";"1";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"2082772";"—"
"49";"2";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"2183657";"—"
"50";"2";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"2183178";"—"
"51";"1";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"2251093";"—"
"52";"4";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"2248086";"—"
"53";"2";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"2240277";"—"
"54";"3";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"2229784";"—"
"55";"2";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"2236112";"—"
"56";"2";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"2184400";"—"
