"Порядковый номер";"Приоритет конкурса";"Подано согласие";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"3";"Электронное";"50000";"-";"50000";"Ожидание результатов ВИ";"1994110";"—"
"2";"10";"Электронное";"50000";"-";"50000";"Ожидание результатов ВИ";"2338977";"—"
"3";"7";"Электронное";"50000";"-";"50000";"Ожидание результатов ВИ";"2364176";"—"
"4";"2";"Электронное";"50000";"-";"50000";"Ожидание результатов ВИ";"1901368";"—"
"5";"3";"Электронное";"45000";"-";"45000";"Ожидание результатов ВИ";"1156499";"—"
"6";"4";"Электронное";"45000";"-";"45000";"Ожидание результатов ВИ";"2442440";"—"
"7";"19";"—";"45000";"-";"45000";"Ожидание результатов ВИ";"1856364";"—"
"8";"2";"—";"43000";"-";"43000";"Ожидание результатов ВИ";"2142548";"—"
"9";"1";"Электронное";"43000";"-";"43000";"Ожидание результатов ВИ";"2251005";"—"
"10";"3";"—";"40000";"-";"40000";"Ожидание результатов ВИ";"2142104";"—"
"11";"7";"Электронное";"40000";"-";"40000";"Ожидание результатов ВИ";"2236528";"—"
"12";"4";"—";"40000";"-";"40000";"Ожидание результатов ВИ";"2022149";"—"
"13";"1";"Электронное";"40000";"-";"40000";"Ожидание результатов ВИ";"2097621";"—"
"14";"16";"Электронное";"40000";"-";"40000";"Ожидание результатов ВИ";"2311893";"—"
"15";"1";"—";"40000";"-";"40000";"Ожидание результатов ВИ";"1489711";"—"
"16";"1";"Электронное";"40000";"-";"40000";"Ожидание результатов ВИ";"2314256";"—"
"17";"3";"Электронное";"40000";"-";"40000";"Ожидание результатов ВИ";"2443709";"—"
"18";"2";"—";"40000";"-";"40000";"Ожидание результатов ВИ";"1972138";"—"
"19";"4";"—";"40000";"-";"40000";"Ожидание результатов ВИ";"2001966";"—"
"20";"1";"Электронное";"40000";"-";"40000";"Ожидание результатов ВИ";"2004688";"—"
"21";"2";"Электронное";"40000";"-";"40000";"Ожидание результатов ВИ";"1993082";"—"
"22";"7";"—";"40000";"-";"40000";"Ожидание результатов ВИ";"2101502";"—"
"23";"3";"—";"40000";"-";"40000";"Ожидание результатов ВИ";"2101504";"—"
"24";"7";"—";"40000";"-";"40000";"Ожидание результатов ВИ";"2101723";"—"
"25";"7";"—";"40000";"-";"40000";"Ожидание результатов ВИ";"2077514";"—"
"26";"3";"—";"40000";"-";"40000";"Ожидание результатов ВИ";"2140616";"—"
"27";"6";"—";"40000";"-";"40000";"Ожидание результатов ВИ";"2176738";"—"
"28";"7";"—";"40000";"-";"40000";"Ожидание результатов ВИ";"2169861";"—"
"29";"9";"—";"35000";"-";"35000";"Ожидание результатов ВИ";"2046504";"—"
"30";"7";"Электронное";"30000";"-";"30000";"Ожидание результатов ВИ";"1479813";"—"
"31";"2";"—";"29000";"-";"29000";"Ожидание результатов ВИ";"2100299";"—"
"32";"5";"—";"28000";"-";"28000";"Ожидание результатов ВИ";"2152086";"—"
"33";"7";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"1844346";"—"
"34";"2";"Электронное";"25000";"-";"25000";"Ожидание результатов ВИ";"2214305";"—"
"35";"3";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2140589";"—"
"36";"11";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"1955658";"—"
"37";"8";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2166880";"—"
"38";"16";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"1901414";"—"
"39";"1";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"1016658";"—"
"40";"8";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2246316";"—"
"41";"9";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2183152";"—"
"42";"14";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2044638";"—"
"43";"4";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2236264";"—"
"44";"1";"Электронное";"25000";"-";"25000";"Ожидание результатов ВИ";"1986705";"—"
"45";"2";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2236086";"—"
