"Порядковый номер";"Приоритет конкурса";"Подано согласие";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"4";"—";"308000";"100 98 100";"10000";"Участвует в конкурсе";"1168599";"—"
"2";"4";"—";"307000";"97 100 100";"10000";"Участвует в конкурсе";"1612491";"—"
"3";"5";"—";"304000";"100 100 94";"10000";"Участвует в конкурсе";"1187391";"—"
"4";"2";"—";"303000";"100 93 100";"10000";"Участвует в конкурсе";"1914703";"—"
"5";"6";"—";"302000";"100 98 94";"10000";"Участвует в конкурсе";"1249733";"—"
"6";"7";"—";"302000";"100 98 94";"10000";"Участвует в конкурсе";"2283919";"—"
"7";"7";"—";"302000";"98 100 94";"10000";"Участвует в конкурсе";"1622988";"—"
"8";"7";"—";"302000";"97 98 97";"10000";"Участвует в конкурсе";"1592497";"—"
"9";"2";"—";"302000";"97 98 97";"10000";"Участвует в конкурсе";"1188080";"—"
"10";"12";"—";"302000";"97 95 100";"10000";"Участвует в конкурсе";"2005384";"—"
"11";"2";"—";"302000";"95 100 97";"10000";"Участвует в конкурсе";"1183820";"—"
"12";"4";"—";"301000";"100 100 91";"10000";"Участвует в конкурсе";"1519338";"—"
"13";"7";"—";"301000";"100 100 91";"10000";"Участвует в конкурсе";"1949750";"—"
"14";"1";"—";"301000";"100 100 91";"10000";"Участвует в конкурсе";"1281973";"—"
"15";"8";"—";"301000";"100 100 91";"10000";"Участвует в конкурсе";"1958013";"—"
"16";"2";"—";"301000";"100 100 91";"10000";"Участвует в конкурсе";"1586970";"—"
"17";"12";"—";"301000";"98 93 100";"10000";"Участвует в конкурсе";"1821821";"—"
"18";"6";"—";"301000";"97 100 94";"10000";"Участвует в конкурсе";"1791240";"—"
"19";"6";"—";"301000";"97 100 94";"10000";"Участвует в конкурсе";"2246911";"—"
"20";"7";"—";"301000";"94 100 97";"10000";"Участвует в конкурсе";"1272720";"—"
"21";"4";"—";"300000";"100 90 100";"10000";"Участвует в конкурсе";"1203361";"—"
"22";"6";"—";"300000";"98 98 94";"10000";"Участвует в конкурсе";"1268185";"—"
"23";"7";"—";"299000";"99 100 94";"6000";"Участвует в конкурсе";"1855416";"—"
"24";"9";"—";"299000";"100 100 89";"10000";"Участвует в конкурсе";"1572403";"—"
"25";"6";"—";"299000";"100 98 91";"10000";"Участвует в конкурсе";"1417840";"—"
"26";"3";"—";"299000";"100 98 91";"10000";"Участвует в конкурсе";"1498153";"—"
"27";"6";"Электронное";"299000";"100 95 94";"10000";"Участвует в конкурсе";"1554023";"—"
"28";"4";"—";"299000";"97 98 94";"10000";"Участвует в конкурсе";"1645101";"—"
"29";"5";"—";"299000";"96 93 100";"10000";"Участвует в конкурсе";"1643999";"—"
"30";"5";"—";"298000";"96 95 97";"10000";"Участвует в конкурсе";"1358421";"—"
"31";"6";"—";"298000";"96 95 97";"10000";"Участвует в конкурсе";"1326997";"—"
"32";"7";"—";"298000";"96 95 97";"10000";"Участвует в конкурсе";"1626983";"—"
"33";"8";"—";"297000";"100 98 89";"10000";"Участвует в конкурсе";"1496040";"—"
"34";"3";"—";"297000";"98 98 91";"10000";"Участвует в конкурсе";"1078427";"—"
"35";"5";"—";"297000";"97 93 97";"10000";"Участвует в конкурсе";"1679141";"—"
"36";"4";"—";"297000";"96 100 91";"10000";"Участвует в конкурсе";"1358374";"—"
"37";"2";"—";"297000";"95 95 97";"10000";"Участвует в конкурсе";"2312263";"—"
"38";"5";"—";"297000";"94 93 100";"10000";"Участвует в конкурсе";"1182250";"—"
"39";"2";"—";"297000";"92 98 97";"10000";"Участвует в конкурсе";"1418549";"—"
"40";"4";"—";"297000";"92 95 100";"10000";"Участвует в конкурсе";"1422687";"—"
"42";"11";"Электронное";"296000";"100 100 86";"10000";"Участвует в конкурсе";"1581548";"—"
"44";"1";"—";"296000";"97 100 89";"10000";"Участвует в конкурсе";"1258073";"—"
"45";"3";"—";"296000";"97 95 94";"10000";"Участвует в конкурсе";"1196082";"—"
"46";"5";"Электронное";"296000";"97 95 94";"10000";"Участвует в конкурсе";"981435";"—"
"47";"4";"—";"296000";"97 95 94";"10000";"Участвует в конкурсе";"1362878";"—"
"48";"5";"Электронное";"296000";"96 93 97";"10000";"Участвует в конкурсе";"1761518";"—"
