"Порядковый номер";"Приоритет конкурса";"Подано согласие";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"1";"Электронное";"281000";"90 95 86";"10000";"Участвует в конкурсе";"1845725";"—"
"2";"6";"Электронное";"274000";"82 88 94";"10000";"Участвует в конкурсе";"1424493";"—"
"3";"1";"—";"250000";"88 88 74";"—";"Участвует в конкурсе";"1584816";"—"
"7";"2";"Электронное";"225000";"78 78 69";"—";"Участвует в конкурсе";"2214350";"—"
"8";"1";"—";"222000";"80 67 75";"—";"Участвует в конкурсе";"1941105";"—"
"9";"1";"Электронное";"219000";"78 75 66";"—";"Участвует в конкурсе";"1103284";"—"
"10";"1";"—";"218000";"74 83 58";"3000";"Участвует в конкурсе";"1361714";"—"
"12";"1";"—";"213000";"82 54 72";"5000";"Участвует в конкурсе";"2221883";"—"
"13";"1";"—";"212000";"70 80 52";"10000";"Участвует в конкурсе";"1533462";"—"
"14";"1";"—";"210000";"70 51 89";"—";"Участвует в конкурсе";"1760881";"—"
"15";"1";"Электронное";"189000";"70 67 52";"—";"Участвует в конкурсе";"2181605";"—"
"16";"7";"—";"182000";"46 67 69";"—";"Участвует в конкурсе";"1635029";"—"
"17";"1";"Электронное";"176000";"52 70 54";"—";"Участвует в конкурсе";"1599886";"—"
"18";"1";"Электронное";"168000";"52 46 70";"—";"Участвует в конкурсе";"1507037";"—"
"19";"3";"Электронное";"165000";"58 54 45";"8000";"Участвует в конкурсе";"1566674";"—"
"20";"1";"Электронное";"137000";"40 46 51";"—";"Участвует в конкурсе";"1912188";"—"
