"Порядковый номер";"Приоритет конкурса";"Наличие договора";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"1";"—";"45000";"-";"45000";"Ожидание результатов ВИ";"1771231";"—"
"2";"2";"—";"45000";"-";"45000";"Ожидание результатов ВИ";"2081603";"—"
"3";"6";"—";"40000";"-";"40000";"Ожидание результатов ВИ";"2181043";"—"
"4";"1";"—";"40000";"-";"40000";"Ожидание результатов ВИ";"2128070";"—"
"5";"1";"—";"40000";"-";"40000";"Ожидание результатов ВИ";"1900033";"—"
"6";"1";"—";"40000";"-";"40000";"Ожидание результатов ВИ";"1293130";"—"
"7";"22";"—";"40000";"-";"40000";"Ожидание результатов ВИ";"2314256";"—"
"8";"2";"—";"40000";"-";"40000";"Ожидание результатов ВИ";"1960030";"—"
"9";"4";"—";"40000";"-";"40000";"Ожидание результатов ВИ";"2101723";"—"
"10";"2";"—";"40000";"-";"40000";"Ожидание результатов ВИ";"2083937";"—"
"11";"3";"—";"40000";"-";"40000";"Ожидание результатов ВИ";"2183125";"—"
"12";"3";"—";"40000";"-";"40000";"Ожидание результатов ВИ";"2178665";"—"
"13";"3";"—";"40000";"-";"40000";"Ожидание результатов ВИ";"2169861";"—"
"14";"2";"—";"40000";"-";"40000";"Ожидание результатов ВИ";"2247794";"—"
"15";"4";"—";"35000";"-";"35000";"Ожидание результатов ВИ";"2046504";"—"
"16";"1";"Электронное";"30000";"-";"30000";"Ожидание результатов ВИ";"2038052";"—"
"17";"1";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2140589";"—"
"18";"30";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2119826";"—"
"19";"5";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"1995467";"—"
"20";"1";"Электронное";"25000";"-";"25000";"Ожидание результатов ВИ";"2051302";"—"
"21";"27";"—";"25000";"x";"25000";"На рассмотрении";"2451320";"—"
"22";"1";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2203998";"—"
"23";"3";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2206607";"—"
"24";"3";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2206716";"—"
"25";"1";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2243599";"—"
"26";"9";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2162819";"—"
"27";"23";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2044638";"—"
"28";"20";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2363771";"—"
"29";"7";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"1245891";"—"
"30";"1";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2204515";"—"
"31";"7";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"1964729";"—"
"32";"2";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"1936299";"—"
"33";"16";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"1973207";"—"
"34";"1";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"1367765";"—"
"35";"4";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"1994305";"—"
"36";"20";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2056013";"—"
"37";"3";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2050107";"—"
"38";"1";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2045414";"—"
"39";"1";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2159463";"—"
"40";"4";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2464078";"—"
"41";"1";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2062477";"—"
"42";"14";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2095188";"—"
"43";"1";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2141609";"—"
"44";"1";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2140067";"—"
"45";"1";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"1704331";"—"
"46";"1";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2217520";"—"
"47";"9";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2118677";"—"
"48";"6";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2261857";"—"
"49";"16";"—";"25000";"-";"25000";"Ожидание результатов ВИ";"2249701";"—"
"50";"2";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"2401782";"—"
"51";"5";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"1915896";"—"
"52";"1";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"2401783";"—"
"53";"1";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"1857206";"—"
"54";"1";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"2326603";"—"
"55";"3";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"2267791";"—"
"56";"18";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"1927498";"—"
"57";"1";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"1946345";"—"
"58";"9";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"978776";"—"
"59";"2";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"1960031";"—"
"60";"2";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"2136063";"—"
"61";"1";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"2141960";"—"
"62";"4";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"2137350";"—"
"63";"15";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"2184400";"—"
"64";"5";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"2244988";"—"
"65";"12";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"2272146";"—"
"66";"7";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"2343070";"—"
"67";"3";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"2424447";"—"
"68";"20";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"2424001";"—"
"69";"21";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"2431995";"—"
"70";"1";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"2427728";"—"
"71";"1";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"2413170";"—"
"72";"5";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"2355612";"—"
"73";"1";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"1656274";"—"
"74";"7";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"1947599";"—"
"75";"1";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"2414109";"—"
"76";"1";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"2241826";"—"
"77";"1";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"1857336";"—"
"78";"7";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"1909445";"—"
"79";"11";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"995301";"—"
"80";"21";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"2437204";"—"
"81";"16";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"2427632";"—"
"82";"14";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"2250494";"—"
"83";"5";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"2456201";"—"
"84";"1";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"1881829";"—"
"85";"1";"—";"15000";"-";"15000";"Ожидание результатов ВИ";"1546743";"—"
