"Порядковый номер";"Приоритет конкурса";"Подано согласие";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"1";"Электронное";"1000";"x x x";"10000";"Участвует в конкурсе";"2092477";"—"
"2";"1";"Электронное";"1000";"x x x";"—";"Участвует в конкурсе";"1174688";"—"
"3";"1";"Электронное";"1000";"x x x";"10000";"Участвует в конкурсе";"1352320";"—"
"4";"1";"Электронное";"1000";"x x x";"10000";"Участвует в конкурсе";"1243009";"—"
"5";"16";"—";"310000";"100 100 100";"10000";"Участвует в конкурсе";"1728488";"—"
"6";"2";"—";"310000";"100 100 100";"10000";"Участвует в конкурсе";"1616947";"—"
"7";"1";"—";"306000";"99 100 97";"10000";"Участвует в конкурсе";"1916785";"—"
"8";"2";"—";"304000";"100 100 94";"10000";"Участвует в конкурсе";"1796316";"—"
"9";"9";"—";"304000";"100 94 100";"10000";"Участвует в конкурсе";"1455825";"—"
"10";"1";"Электронное";"304000";"94 100 100";"10000";"Участвует в конкурсе";"1706728";"—"
"11";"2";"—";"303000";"96 100 97";"10000";"Участвует в конкурсе";"1265834";"—"
"12";"4";"—";"303000";"95 98 100";"10000";"Участвует в конкурсе";"1746145";"—"
"13";"7";"—";"302000";"100 95 97";"10000";"Участвует в конкурсе";"1622830";"—"
"14";"2";"—";"302000";"95 100 97";"10000";"Участвует в конкурсе";"1880484";"—"
"15";"2";"—";"301000";"100 100 91";"10000";"Участвует в конкурсе";"1949750";"—"
"16";"10";"—";"301000";"98 93 100";"10000";"Участвует в конкурсе";"1821821";"—"
"17";"1";"—";"301000";"97 100 94";"10000";"Участвует в конкурсе";"1728529";"—"
"18";"6";"—";"301000";"94 100 97";"10000";"Участвует в конкурсе";"2246704";"—"
"19";"6";"—";"300000";"96 100 94";"10000";"Участвует в конкурсе";"999715";"—"
"20";"4";"—";"300000";"96 100 94";"10000";"Участвует в конкурсе";"1857991";"—"
"21";"3";"—";"300000";"90 100 100";"10000";"Участвует в конкурсе";"1626231";"—"
"22";"6";"—";"299000";"100 100 89";"10000";"Участвует в конкурсе";"1572403";"—"
"23";"5";"—";"299000";"100 100 89";"10000";"Участвует в конкурсе";"1626913";"—"
