"Порядковый номер";"Приоритет конкурса";"Наличие договора";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"5";"—";"294000";"92 95 97";"10000";"Участвует в конкурсе";"1179087";"—"
"2";"2";"—";"291000";"100 100 83";"8000";"Участвует в конкурсе";"1355618";"—"
"3";"8";"—";"287000";"95 85 97";"10000";"Участвует в конкурсе";"2314652";"—"
"4";"2";"—";"285000";"96 98 91";"—";"Участвует в конкурсе";"1592224";"—"
"6";"5";"—";"282000";"90 96 86";"10000";"Участвует в конкурсе";"1204107";"—"
"7";"7";"—";"282000";"88 95 89";"10000";"Участвует в конкурсе";"1208182";"—"
"8";"6";"—";"281000";"84 94 94";"9000";"Участвует в конкурсе";"1191316";"—"
"9";"6";"—";"281000";"88 100 83";"10000";"Участвует в конкурсе";"1782077";"—"
"11";"5";"—";"279000";"88 98 83";"10000";"Участвует в конкурсе";"2149824";"—"
"12";"1";"—";"278000";"100 90 78";"10000";"Участвует в конкурсе";"1716050";"—"
"13";"5";"—";"278000";"92 90 86";"10000";"Участвует в конкурсе";"2270132";"—"
"14";"4";"—";"277000";"90 86 91";"10000";"Участвует в конкурсе";"2033142";"—"
"15";"3";"—";"277000";"88 96 83";"10000";"Участвует в конкурсе";"1640538";"—"
"16";"3";"—";"277000";"88 90 89";"10000";"Участвует в конкурсе";"1291704";"—"
"17";"6";"—";"276000";"92 90 91";"3000";"Участвует в конкурсе";"2311723";"—"
"18";"6";"—";"276000";"84 88 94";"10000";"Участвует в конкурсе";"1856666";"—"
"19";"4";"—";"275000";"94 84 91";"6000";"Участвует в конкурсе";"1284208";"—"
"20";"4";"—";"275000";"76 95 94";"10000";"Участвует в конкурсе";"1575747";"—"
"22";"3";"—";"273000";"95 98 78";"2000";"Участвует в конкурсе";"1244657";"—"
"23";"1";"—";"273000";"88 93 82";"10000";"Участвует в конкурсе";"1618442";"—"
"24";"3";"—";"272000";"88 83 91";"10000";"Участвует в конкурсе";"1911798";"—"
"25";"5";"—";"271000";"74 93 94";"10000";"Участвует в конкурсе";"2202549";"—"
"26";"4";"—";"269000";"90 90 89";"—";"Участвует в конкурсе";"1511773";"—"
"28";"3";"—";"269000";"92 88 86";"3000";"Участвует в конкурсе";"1398755";"—"
"29";"6";"—";"269000";"88 98 78";"5000";"Участвует в конкурсе";"2415349";"—"
"30";"10";"—";"269000";"84 84 91";"10000";"Участвует в конкурсе";"1979104";"—"
"31";"3";"—";"269000";"80 88 91";"10000";"Участвует в конкурсе";"1133458";"—"
"32";"3";"—";"268000";"90 95 83";"—";"Участвует в конкурсе";"1259421";"—"
"33";"5";"—";"268000";"88 94 86";"—";"Участвует в конкурсе";"2265517";"—"
"35";"3";"—";"267000";"96 85 86";"—";"Участвует в конкурсе";"1694686";"—"
"36";"5";"—";"267000";"94 72 91";"10000";"Участвует в конкурсе";"2001046";"—"
"37";"6";"—";"266000";"92 95 69";"10000";"Участвует в конкурсе";"2343231";"—"
"38";"3";"—";"266000";"90 88 78";"10000";"Участвует в конкурсе";"1441421";"—"
"39";"5";"—";"265000";"94 80 91";"—";"Участвует в конкурсе";"1627450";"—"
"40";"2";"—";"264000";"86 93 75";"10000";"Участвует в конкурсе";"1196015";"—"
"42";"6";"—";"263000";"84 98 81";"—";"Участвует в конкурсе";"1481088";"—"
"43";"1";"—";"263000";"94 85 81";"3000";"Участвует в конкурсе";"2055688";"—"
"44";"4";"—";"263000";"86 88 86";"3000";"Участвует в конкурсе";"1211476";"—"
"45";"4";"—";"263000";"90 90 73";"10000";"Участвует в конкурсе";"1586396";"—"
"46";"2";"—";"262000";"80 88 89";"5000";"Участвует в конкурсе";"2173550";"—"
"47";"2";"—";"262000";"94 80 78";"10000";"Участвует в конкурсе";"1946410";"—"
"48";"6";"—";"261000";"88 88 75";"10000";"Участвует в конкурсе";"2220825";"—"
"49";"1";"—";"261000";"86 95 70";"10000";"Участвует в конкурсе";"2261899";"—"
"50";"8";"—";"261000";"82 78 91";"10000";"Участвует в конкурсе";"1292159";"—"
"51";"4";"—";"261000";"78 92 81";"10000";"Участвует в конкурсе";"1841058";"—"
"52";"6";"—";"260000";"86 86 81";"7000";"Участвует в конкурсе";"1414362";"—"
"53";"3";"—";"259000";"88 90 81";"—";"Участвует в конкурсе";"1291948";"—"
"55";"3";"—";"259000";"86 72 91";"10000";"Участвует в конкурсе";"1654410";"—"
"56";"3";"—";"259000";"80 88 81";"10000";"Участвует в конкурсе";"1509805";"—"
"57";"2";"—";"258000";"95 80 83";"—";"Участвует в конкурсе";"1713477";"—"
