"Порядковый номер";"Приоритет конкурса";"Подано согласие";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"4";"—";"288000";"96 88 94";"10000";"Участвует в конкурсе";"1620419";"—"
"2";"4";"—";"279000";"95 88 86";"10000";"Участвует в конкурсе";"1730299";"—"
"3";"3";"—";"279000";"95 83 91";"10000";"Участвует в конкурсе";"1604171";"—"
"4";"8";"—";"273000";"84 88 91";"10000";"Участвует в конкурсе";"1817348";"—"
"5";"4";"—";"268000";"88 95 75";"10000";"Участвует в конкурсе";"1239868";"—"
"6";"3";"Электронное";"248000";"80 85 83";"—";"Участвует в конкурсе";"2003261";"—"
"7";"4";"Электронное";"245000";"78 70 97";"—";"Участвует в конкурсе";"1651090";"—"
"8";"2";"—";"245000";"78 88 69";"10000";"Участвует в конкурсе";"1284721";"—"
"9";"7";"—";"242000";"72 90 75";"5000";"Участвует в конкурсе";"1157734";"—"
"10";"5";"—";"239000";"76 75 78";"10000";"Участвует в конкурсе";"2304957";"—"
"11";"2";"—";"237000";"74 80 83";"—";"Участвует в конкурсе";"1512280";"—"
"12";"6";"—";"235000";"84 72 69";"10000";"Участвует в конкурсе";"1265499";"—"
"13";"3";"—";"233000";"76 83 66";"8000";"Участвует в конкурсе";"1988007";"—"
"14";"1";"Электронное";"227000";"70 78 69";"10000";"Участвует в конкурсе";"1130724";"—"
"15";"3";"—";"224000";"82 78 64";"—";"Участвует в конкурсе";"1850785";"—"
"16";"5";"—";"219000";"70 83 66";"—";"Участвует в конкурсе";"1406320";"—"
"17";"3";"—";"212000";"76 72 61";"3000";"Участвует в конкурсе";"2311149";"—"
"18";"4";"—";"209000";"70 56 73";"10000";"Участвует в конкурсе";"1004695";"—"
"19";"2";"Электронное";"197000";"70 64 60";"3000";"Участвует в конкурсе";"2366120";"—"
"20";"14";"Электронное";"186000";"46 62 75";"3000";"Участвует в конкурсе";"1173826";"—"
"21";"10";"—";"184000";"72 54 55";"3000";"Участвует в конкурсе";"2178804";"—"
"22";"9";"—";"178000";"70 54 54";"—";"Участвует в конкурсе";"1999179";"—"
"23";"11";"Электронное";"177000";"72 48 54";"3000";"Участвует в конкурсе";"1000907";"—"
"24";"5";"—";"172000";"64 54 51";"3000";"Участвует в конкурсе";"1877499";"—"
"25";"2";"Электронное";"171000";"64 46 61";"—";"Участвует в конкурсе";"1288267";"—"
"26";"2";"—";"171000";"52 62 57";"—";"Участвует в конкурсе";"958796";"—"
