"Порядковый номер";"Приоритет конкурса";"Наличие договора";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"4";"—";"295000";"98 100 97";"—";"Участвует в конкурсе";"1989161";"—"
"2";"6";"—";"288000";"82 99 97";"10000";"Участвует в конкурсе";"1499103";"—"
"3";"4";"—";"285000";"96 88 91";"10000";"Участвует в конкурсе";"1212909";"—"
"5";"4";"—";"285000";"94 92 89";"10000";"Участвует в конкурсе";"1365467";"—"
"6";"4";"—";"285000";"94 84 97";"10000";"Участвует в конкурсе";"1617390";"—"
"7";"3";"—";"284000";"96 96 86";"6000";"Участвует в конкурсе";"1213183";"—"
"8";"6";"—";"283000";"94 98 81";"10000";"Участвует в конкурсе";"1784599";"—"
"9";"5";"—";"279000";"94 94 81";"10000";"Участвует в конкурсе";"1409586";"—"
"10";"3";"—";"279000";"92 86 91";"10000";"Участвует в конкурсе";"1357618";"—"
"11";"13";"—";"279000";"88 95 86";"10000";"Участвует в конкурсе";"1038372";"—"
"12";"4";"—";"279000";"84 94 91";"10000";"Участвует в конкурсе";"1206193";"—"
"13";"3";"—";"277000";"94 95 78";"10000";"Участвует в конкурсе";"1256713";"—"
"14";"5";"—";"277000";"90 88 89";"10000";"Участвует в конкурсе";"1291704";"—"
"15";"8";"—";"276000";"90 90 86";"10000";"Участвует в конкурсе";"1503592";"—"
"16";"2";"—";"275000";"94 100 78";"3000";"Участвует в конкурсе";"2272795";"—"
"17";"4";"—";"275000";"77 97 91";"10000";"Участвует в конкурсе";"1409599";"—"
"18";"7";"—";"274000";"94 88 89";"3000";"Участвует в конкурсе";"1652840";"—"
"19";"2";"—";"274000";"84 97 83";"10000";"Участвует в конкурсе";"1729455";"—"
"20";"4";"—";"273000";"92 90 89";"2000";"Участвует в конкурсе";"1175363";"—"
"21";"5";"—";"272000";"90 88 91";"3000";"Участвует в конкурсе";"1532553";"—"
"22";"11";"—";"270000";"92 92 78";"8000";"Участвует в конкурсе";"1513118";"—"
"23";"8";"—";"270000";"82 92 86";"10000";"Участвует в конкурсе";"1531094";"—"
"24";"4";"—";"269000";"90 90 89";"—";"Участвует в конкурсе";"1937233";"—"
"25";"6";"—";"269000";"94 86 81";"8000";"Участвует в конкурсе";"1836297";"—"
"26";"2";"—";"269000";"86 90 83";"10000";"Участвует в конкурсе";"1654363";"—"
"27";"4";"—";"268000";"92 90 86";"—";"Участвует в конкурсе";"1901995";"—"
"28";"20";"—";"268000";"88 92 78";"10000";"Участвует в конкурсе";"2120359";"—"
"29";"7";"—";"268000";"79 96 83";"10000";"Участвует в конкурсе";"1481897";"—"
"30";"5";"—";"266000";"94 94 78";"—";"Участвует в конкурсе";"1582016";"—"
"31";"4";"—";"266000";"96 90 70";"10000";"Участвует в конкурсе";"1105472";"—"
"32";"1";"Электронное";"266000";"90 88 78";"10000";"Участвует в конкурсе";"1312146";"—"
"33";"2";"—";"265000";"96 94 75";"—";"Участвует в конкурсе";"1514301";"—"
"34";"3";"—";"265000";"76 90 91";"8000";"Участвует в конкурсе";"1982909";"—"
"35";"5";"—";"265000";"94 86 75";"10000";"Участвует в конкурсе";"1340344";"—"
"36";"5";"—";"265000";"90 90 75";"10000";"Участвует в конкурсе";"1268297";"—"
"37";"5";"—";"262000";"98 86 78";"—";"Участвует в конкурсе";"1209094";"—"
"38";"3";"—";"262000";"92 88 72";"10000";"Участвует в конкурсе";"1833823";"—"
"39";"6";"—";"261000";"92 86 73";"10000";"Участвует в конкурсе";"2171395";"—"
"40";"5";"—";"261000";"84 86 81";"10000";"Участвует в конкурсе";"1504690";"—"
"41";"5";"—";"260000";"88 88 78";"6000";"Участвует в конкурсе";"1426802";"—"
"42";"3";"—";"258000";"96 84 78";"—";"Участвует в конкурсе";"1914955";"—"
"43";"4";"—";"258000";"79 88 81";"10000";"Участвует в конкурсе";"2240430";"—"
"44";"3";"—";"258000";"79 78 91";"10000";"Участвует в конкурсе";"1130954";"—"
"45";"4";"—";"257000";"94 90 73";"—";"Участвует в конкурсе";"1616086";"—"
"46";"5";"—";"257000";"90 92 75";"—";"Участвует в конкурсе";"2190625";"—"
"47";"3";"—";"257000";"84 95 78";"—";"Участвует в конкурсе";"1292327";"—"
"48";"4";"—";"257000";"86 94 75";"2000";"Участвует в конкурсе";"1788809";"—"
"49";"3";"—";"257000";"92 84 78";"3000";"Участвует в конкурсе";"2031567";"—"
"50";"3";"—";"257000";"90 86 78";"3000";"Участвует в конкурсе";"1895672";"—"
"51";"5";"—";"256000";"92 94 70";"—";"Участвует в конкурсе";"1517219";"—"
"52";"3";"—";"256000";"90 88 78";"—";"Участвует в конкурсе";"1598467";"—"
"53";"4";"—";"256000";"80 84 89";"3000";"Участвует в конкурсе";"1842942";"—"
