"Порядковый номер";"Приоритет конкурса";"Подано согласие";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"1";"—";"1000";"x x x";"10000";"Участвует в конкурсе";"1339217";"—"
"2";"5";"Электронное";"1000";"x x x";"10000";"Участвует в конкурсе";"1402124";"—"
"3";"7";"—";"1000";"x x x";"10000";"Участвует в конкурсе";"1624808";"—"
"4";"5";"—";"1000";"x x x";"2000";"Участвует в конкурсе";"1061590";"—"
"5";"2";"Электронное";"1000";"x x x";"—";"Участвует в конкурсе";"1362452";"—"
"6";"1";"—";"1000";"x x x";"—";"Участвует в конкурсе";"2005718";"—"
"7";"3";"—";"1000";"x x x";"—";"Участвует в конкурсе";"1331580";"—"
"8";"5";"—";"1000";"x x x";"—";"Участвует в конкурсе";"1211513";"—"
"9";"1";"Электронное";"1000";"x x x";"—";"Участвует в конкурсе";"2424811";"—"
"19";"2";"—";"301000";"98 99 94";"10000";"Участвует в конкурсе";"1353197";"—"
"20";"6";"—";"300000";"100 90 100";"10000";"Участвует в конкурсе";"2266228";"—"
"21";"17";"—";"292000";"98 98 86";"10000";"Участвует в конкурсе";"1291171";"—"
"22";"3";"—";"292000";"96 95 91";"10000";"Участвует в конкурсе";"1787705";"—"
"23";"1";"—";"284000";"96 95 83";"10000";"Участвует в конкурсе";"1287770";"—"
"24";"9";"Электронное";"281000";"90 92 89";"10000";"Участвует в конкурсе";"1622023";"—"
"25";"3";"—";"280000";"96 90 91";"3000";"Участвует в конкурсе";"984285";"—"
"26";"4";"Электронное";"269000";"94 82 83";"10000";"Участвует в конкурсе";"1337408";"—"
"27";"7";"—";"268000";"88 84 86";"10000";"Участвует в конкурсе";"1852052";"—"
"28";"5";"—";"267000";"96 78 83";"10000";"Участвует в конкурсе";"1464819";"—"
"29";"3";"Электронное";"261000";"84 80 94";"3000";"Участвует в конкурсе";"1624302";"—"
"31";"2";"—";"259000";"84 84 81";"10000";"Участвует в конкурсе";"1711609";"—"
"32";"3";"—";"256000";"90 88 78";"—";"Участвует в конкурсе";"1598467";"—"
"33";"4";"—";"256000";"80 84 89";"3000";"Участвует в конкурсе";"1842942";"—"
"34";"8";"—";"255000";"86 96 70";"3000";"Участвует в конкурсе";"1855219";"—"
"35";"6";"—";"251000";"82 78 81";"10000";"Участвует в конкурсе";"1859996";"—"
"36";"5";"—";"250000";"84 88 78";"—";"Участвует в конкурсе";"1360322";"—"
"37";"1";"—";"246000";"77 80 89";"—";"Участвует в конкурсе";"1707980";"—"
"38";"8";"—";"245000";"77 80 78";"10000";"Участвует в конкурсе";"1992796";"—"
"39";"5";"—";"243000";"84 84 75";"—";"Участвует в конкурсе";"1287547";"—"
"40";"3";"Электронное";"242000";"77 80 75";"10000";"Участвует в конкурсе";"1120139";"—"
"41";"5";"—";"241000";"84 86 69";"2000";"Участвует в конкурсе";"1797346";"—"
"42";"2";"—";"241000";"79 86 73";"3000";"Участвует в конкурсе";"1174707";"—"
"43";"2";"—";"238000";"80 82 76";"—";"Участвует в конкурсе";"1498461";"—"
"44";"6";"—";"237000";"90 74 73";"—";"Участвует в конкурсе";"2043813";"—"
"45";"2";"—";"237000";"88 86 63";"—";"Участвует в конкурсе";"2271721";"—"
"46";"3";"—";"237000";"74 88 75";"—";"Участвует в конкурсе";"1338305";"—"
"47";"6";"—";"237000";"79 82 73";"3000";"Участвует в конкурсе";"1568035";"—"
"48";"9";"Электронное";"236000";"71 84 81";"—";"Участвует в конкурсе";"2311177";"—"
"49";"5";"Электронное";"235000";"76 76 73";"10000";"Участвует в конкурсе";"1197757";"—"
"50";"4";"—";"234000";"68 74 89";"3000";"Участвует в конкурсе";"1191024";"—"
"51";"3";"—";"233000";"90 80 61";"2000";"Участвует в конкурсе";"999082";"—"
"52";"4";"—";"229000";"77 80 72";"—";"Участвует в конкурсе";"2218938";"—"
"53";"1";"—";"228000";"74 72 72";"10000";"Участвует в конкурсе";"2080328";"—"
"54";"4";"—";"226000";"65 88 63";"10000";"Участвует в конкурсе";"1633285";"—"
"55";"5";"Электронное";"225000";"76 92 54";"3000";"Участвует в конкурсе";"1477754";"—"
"56";"1";"—";"224000";"82 82 60";"—";"Участвует в конкурсе";"1361405";"—"
"58";"5";"—";"223000";"62 78 73";"10000";"Участвует в конкурсе";"1144282";"—"
"59";"5";"—";"222000";"74 72 73";"3000";"Участвует в конкурсе";"2005382";"—"
"60";"2";"—";"222000";"73 78 61";"10000";"Участвует в конкурсе";"2246873";"—"
"61";"1";"—";"220000";"80 80 60";"—";"Участвует в конкурсе";"1860033";"—"
"62";"4";"—";"216000";"70 80 64";"2000";"Участвует в конкурсе";"1438857";"—"
"63";"4";"—";"214000";"80 74 60";"—";"Участвует в конкурсе";"1215145";"—"
"64";"4";"Электронное";"214000";"67 86 61";"—";"Участвует в конкурсе";"1349834";"—"
"66";"6";"Электронное";"213000";"56 74 75";"8000";"Участвует в конкурсе";"1987404";"—"
"67";"2";"Электронное";"213000";"64 70 69";"10000";"Участвует в конкурсе";"2239977";"—"
"69";"5";"—";"212000";"67 76 69";"—";"Участвует в конкурсе";"1994994";"—"
"70";"5";"—";"211000";"65 80 63";"3000";"Участвует в конкурсе";"1322033";"—"
"71";"5";"—";"208000";"74 70 64";"—";"Участвует в конкурсе";"2260093";"—"
"73";"7";"—";"203000";"58 76 69";"—";"Участвует в конкурсе";"1895511";"—"
"74";"3";"—";"203000";"56 74 63";"10000";"Участвует в конкурсе";"1060971";"—"
"75";"4";"—";"202000";"58 72 69";"3000";"Участвует в конкурсе";"1517275";"—"
"76";"5";"—";"200000";"67 58 75";"—";"Участвует в конкурсе";"2177724";"—"
"77";"2";"—";"198000";"62 76 60";"—";"Участвует в конкурсе";"1724610";"—"
"78";"2";"—";"194000";"70 70 54";"—";"Участвует в конкурсе";"1996382";"—"
"79";"1";"—";"194000";"68 74 52";"—";"Участвует в конкурсе";"2000967";"—"
"80";"3";"—";"194000";"59 78 57";"—";"Участвует в конкурсе";"1627065";"—"
"81";"6";"—";"192000";"65 74 51";"2000";"Участвует в конкурсе";"1366413";"—"
"82";"1";"—";"189000";"54 58 69";"8000";"Участвует в конкурсе";"1405444";"—"
"84";"6";"Электронное";"181000";"49 74 58";"—";"Участвует в конкурсе";"1258093";"—"
"85";"2";"—";"179000";"58 46 72";"3000";"Участвует в конкурсе";"1103510";"—"
"86";"5";"—";"176000";"67 58 51";"—";"Участвует в конкурсе";"1164784";"—"
"87";"1";"—";"176000";"53 64 59";"—";"Участвует в конкурсе";"2231891";"—"
"88";"3";"—";"174000";"59 58 54";"3000";"Участвует в конкурсе";"1797823";"—"
"89";"2";"—";"173000";"71 52 48";"2000";"Участвует в конкурсе";"1476473";"—"
"90";"5";"—";"172000";"48 70 54";"—";"Участвует в конкурсе";"1340770";"—"
