"Порядковый номер";"Приоритет конкурса";"Наличие договора";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"2";"—";"287000";"90 98 89";"10000";"Участвует в конкурсе";"1976016";"—"
"2";"5";"—";"285000";"84 94 97";"10000";"Участвует в конкурсе";"1617390";"—"
"3";"1";"—";"282000";"95 98 89";"—";"Участвует в конкурсе";"1910325";"—"
"4";"6";"—";"282000";"98 93 81";"10000";"Участвует в конкурсе";"1510645";"—"
"5";"5";"—";"282000";"82 96 94";"10000";"Участвует в конкурсе";"1511658";"—"
"6";"2";"—";"281000";"86 96 89";"10000";"Участвует в конкурсе";"1262491";"—"
"7";"5";"—";"279000";"97 96 86";"—";"Участвует в конкурсе";"1622014";"—"
"8";"4";"—";"279000";"94 100 81";"4000";"Участвует в конкурсе";"1621706";"—"
"9";"4";"—";"279000";"94 94 81";"10000";"Участвует в конкурсе";"1409586";"—"
"10";"6";"—";"279000";"94 94 81";"10000";"Участвует в конкурсе";"1797665";"—"
"11";"2";"—";"279000";"88 90 91";"10000";"Участвует в конкурсе";"1751610";"—"
"12";"12";"—";"276000";"92 90 91";"3000";"Участвует в конкурсе";"2311723";"—"
"13";"1";"—";"276000";"95 88 83";"10000";"Участвует в конкурсе";"2181712";"—"
"14";"1";"—";"274000";"90 88 86";"10000";"Участвует в конкурсе";"1644595";"—"
"15";"7";"—";"273000";"86 93 94";"—";"Участвует в конкурсе";"2232631";"—"
"16";"1";"—";"273000";"84 85 94";"10000";"Участвует в конкурсе";"1484013";"—"
"17";"4";"—";"272000";"88 90 91";"3000";"Участвует в конкурсе";"1532553";"—"
"18";"9";"—";"271000";"92 83 86";"10000";"Участвует в конкурсе";"1531094";"—"
"19";"9";"—";"271000";"90 85 86";"10000";"Участвует в конкурсе";"1445320";"—"
"20";"10";"—";"271000";"88 90 83";"10000";"Участвует в конкурсе";"2152487";"—"
"21";"10";"—";"271000";"80 90 91";"10000";"Участвует в конкурсе";"1715373";"—"
"22";"7";"—";"270000";"90 94 86";"—";"Участвует в конкурсе";"1710662";"—"
"23";"12";"—";"270000";"92 92 78";"8000";"Участвует в конкурсе";"1513118";"—"
"24";"10";"—";"269000";"96 90 83";"—";"Участвует в конкурсе";"1489335";"—"
"25";"26";"—";"269000";"86 90 83";"10000";"Участвует в конкурсе";"1616900";"—"
"26";"5";"—";"268000";"94 83 81";"10000";"Участвует в конкурсе";"2159132";"—"
"28";"6";"—";"267000";"90 88 89";"—";"Участвует в конкурсе";"2085412";"—"
"29";"1";"—";"266000";"82 96 78";"10000";"Участвует в конкурсе";"1191704";"—"
"30";"9";"—";"266000";"82 83 91";"10000";"Участвует в конкурсе";"1546481";"—"
"31";"6";"—";"266000";"80 93 83";"10000";"Участвует в конкурсе";"2314984";"—"
"32";"5";"—";"265000";"95 88 75";"7000";"Участвует в конкурсе";"2225314";"—"
"33";"4";"—";"265000";"90 76 91";"8000";"Участвует в конкурсе";"1982909";"—"
"35";"11";"—";"265000";"86 88 81";"10000";"Участвует в конкурсе";"2098543";"—"
"37";"3";"—";"264000";"84 76 94";"10000";"Участвует в конкурсе";"1609274";"—"
"38";"4";"—";"263000";"88 94 81";"—";"Участвует в конкурсе";"2371556";"—"
"39";"3";"—";"263000";"95 85 73";"10000";"Участвует в конкурсе";"1510209";"—"
"41";"5";"—";"263000";"80 79 94";"10000";"Участвует в конкурсе";"1038505";"—"
"42";"5";"—";"262000";"88 92 72";"10000";"Участвует в конкурсе";"1833823";"—"
"43";"3";"—";"262000";"86 80 86";"10000";"Участвует в конкурсе";"1582962";"—"
"44";"2";"—";"261000";"82 88 91";"—";"Участвует в конкурсе";"1204659";"—"
"45";"4";"—";"261000";"84 93 75";"9000";"Участвует в конкурсе";"1784081";"—"
"46";"10";"—";"261000";"90 78 83";"10000";"Участвует в конкурсе";"2301059";"—"
"48";"3";"—";"260000";"97 88 75";"—";"Участвует в конкурсе";"2265840";"—"
"49";"11";"—";"260000";"90 98 72";"—";"Участвует в конкурсе";"2191929";"—"
"50";"14";"—";"260000";"84 93 83";"—";"Участвует в конкурсе";"1498575";"—"
"51";"5";"—";"260000";"86 90 81";"3000";"Участвует в конкурсе";"1268217";"—"
"52";"15";"—";"260000";"88 90 72";"10000";"Участвует в конкурсе";"2271395";"—"
"54";"5";"—";"259000";"90 83 86";"—";"Участвует в конкурсе";"1324071";"—"
"55";"8";"—";"258000";"84 85 89";"—";"Участвует в конкурсе";"1627781";"—"
"56";"22";"—";"258000";"92 88 73";"5000";"Участвует в конкурсе";"1831266";"—"
"57";"2";"—";"258000";"88 79 81";"10000";"Участвует в конкурсе";"2240430";"—"
"58";"15";"—";"258000";"80 85 83";"10000";"Участвует в конкурсе";"2301670";"—"
"60";"1";"—";"257000";"88 83 83";"3000";"Участвует в конкурсе";"1651455";"—"
"61";"4";"—";"257000";"84 92 78";"3000";"Участвует в конкурсе";"2031567";"—"
"62";"21";"—";"257000";"86 80 81";"10000";"Участвует в конкурсе";"2100349";"—"
"63";"4";"—";"257000";"82 82 83";"10000";"Участвует в конкурсе";"1554882";"—"
"64";"13";"—";"256000";"88 83 83";"2000";"Участвует в конкурсе";"1940724";"—"
"65";"3";"—";"256000";"84 83 86";"3000";"Участвует в конкурсе";"2221878";"—"
"66";"3";"—";"256000";"80 77 89";"10000";"Участвует в конкурсе";"2312078";"—"
"67";"7";"—";"255000";"90 98 67";"—";"Участвует в конкурсе";"1177821";"—"
"68";"6";"—";"255000";"86 83 86";"—";"Участвует в конкурсе";"1060228";"—"
"70";"9";"—";"255000";"80 85 83";"7000";"Участвует в конкурсе";"1725009";"—"
"71";"10";"—";"255000";"90 85 72";"8000";"Участвует в конкурсе";"1206104";"—"
"72";"1";"—";"255000";"86 86 73";"10000";"Участвует в конкурсе";"1181557";"—"
"73";"4";"—";"255000";"84 80 81";"10000";"Участвует в конкурсе";"2200238";"—"
"74";"9";"—";"254000";"80 83 91";"—";"Участвует в конкурсе";"1767325";"—"
"75";"6";"—";"254000";"94 80 70";"10000";"Участвует в конкурсе";"2167087";"—"
"76";"5";"—";"254000";"84 88 72";"10000";"Участвует в конкурсе";"2189213";"—"
