"Порядковый номер";"Приоритет конкурса";"Наличие договора";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"2";"3";"—";"285000";"96 85 94";"10000";"Участвует в конкурсе";"1511658";"—"
"3";"2";"—";"279000";"92 94 83";"10000";"Участвует в конкурсе";"1952793";"—"
"5";"3";"—";"275000";"90 92 83";"10000";"Участвует в конкурсе";"2242927";"—"
"6";"1";"—";"272000";"90 88 91";"3000";"Участвует в конкурсе";"1532553";"—"
"7";"2";"—";"272000";"92 92 78";"10000";"Участвует в конкурсе";"1105039";"—"
"8";"5";"—";"270000";"94 90 86";"—";"Участвует в конкурсе";"1710662";"—"
"9";"3";"—";"270000";"88 94 78";"10000";"Участвует в конкурсе";"1348278";"—"
"10";"5";"—";"270000";"84 90 86";"10000";"Участвует в конкурсе";"1042671";"—"
"11";"6";"—";"269000";"90 90 89";"—";"Участвует в конкурсе";"1937233";"—"
"12";"4";"—";"268000";"79 96 83";"10000";"Участвует в конкурсе";"1481897";"—"
"13";"3";"—";"266000";"94 94 78";"—";"Участвует в конкурсе";"1582016";"—"
"14";"2";"—";"266000";"96 90 70";"10000";"Участвует в конкурсе";"1105472";"—"
"15";"5";"—";"265000";"76 90 91";"8000";"Участвует в конкурсе";"1982909";"—"
"16";"4";"—";"265000";"94 86 75";"10000";"Участвует в конкурсе";"1340344";"—"
"17";"3";"—";"265000";"90 90 75";"10000";"Участвует в конкурсе";"1268297";"—"
"18";"3";"—";"265000";"86 88 81";"10000";"Участвует в конкурсе";"2281502";"—"
"19";"1";"—";"264000";"96 86 72";"10000";"Участвует в конкурсе";"1889473";"—"
"20";"4";"—";"264000";"86 90 78";"10000";"Участвует в конкурсе";"1420078";"—"
"21";"3";"—";"263000";"88 86 81";"8000";"Участвует в конкурсе";"1166649";"—"
"22";"1";"—";"262000";"92 88 72";"10000";"Участвует в конкурсе";"1833823";"—"
"23";"4";"—";"261000";"94 86 81";"—";"Участвует в конкурсе";"2044282";"—"
"24";"2";"—";"261000";"98 90 70";"3000";"Участвует в конкурсе";"1840428";"—"
"26";"1";"—";"258000";"79 88 81";"10000";"Участвует в конкурсе";"2240430";"—"
"27";"2";"—";"257000";"94 90 73";"—";"Участвует в конкурсе";"1616086";"—"
"28";"9";"—";"257000";"86 94 75";"2000";"Участвует в конкурсе";"1788809";"—"
"29";"2";"—";"256000";"90 88 78";"—";"Участвует в конкурсе";"1598467";"—"
"30";"2";"—";"256000";"73 84 89";"10000";"Участвует в конкурсе";"1441942";"—"
"31";"3";"—";"255000";"98 82 75";"—";"Участвует в конкурсе";"1195553";"—"
