"Порядковый номер";"Приоритет конкурса";"Подано согласие";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"4";"—";"306000";"98 98 100";"10000";"Участвует в конкурсе";"1481043";"—"
"2";"3";"—";"306000";"96 100 100";"10000";"Участвует в конкурсе";"1640945";"—"
"3";"4";"—";"303000";"100 99 94";"10000";"Участвует в конкурсе";"2414285";"—"
"4";"5";"—";"302000";"100 98 94";"10000";"Участвует в конкурсе";"1986029";"—"
"5";"3";"—";"302000";"100 98 94";"10000";"Участвует в конкурсе";"1404718";"—"
"6";"4";"—";"302000";"96 96 100";"10000";"Участвует в конкурсе";"1624612";"—"
"7";"3";"—";"300000";"100 99 91";"10000";"Участвует в конкурсе";"1913739";"—"
"8";"4";"—";"300000";"100 90 100";"10000";"Участвует в конкурсе";"1283741";"—"
"9";"3";"—";"299000";"100 100 89";"10000";"Участвует в конкурсе";"1255485";"—"
"10";"5";"—";"299000";"98 94 97";"10000";"Участвует в конкурсе";"1823670";"—"
"11";"3";"—";"299000";"92 100 97";"10000";"Участвует в конкурсе";"1537543";"—"
"12";"5";"—";"299000";"92 100 97";"10000";"Участвует в конкурсе";"2209634";"—"
"13";"4";"—";"297000";"98 100 89";"10000";"Участвует в конкурсе";"1556881";"—"
"14";"1";"—";"297000";"96 100 91";"10000";"Участвует в конкурсе";"1203884";"—"
"15";"2";"—";"297000";"96 100 91";"10000";"Участвует в конкурсе";"2116942";"—"
"16";"13";"—";"297000";"96 100 91";"10000";"Участвует в конкурсе";"1999926";"—"
"17";"2";"—";"296000";"100 97 89";"10000";"Участвует в конкурсе";"1766190";"—"
"18";"4";"—";"296000";"100 92 94";"10000";"Участвует в конкурсе";"1583964";"—"
"19";"6";"—";"293000";"98 96 89";"10000";"Участвует в конкурсе";"1730966";"—"
"20";"4";"—";"292000";"92 96 94";"10000";"Участвует в конкурсе";"1668842";"—"
"21";"4";"—";"292000";"86 99 97";"10000";"Участвует в конкурсе";"2274566";"—"
"22";"5";"—";"291000";"100 100 89";"2000";"Участвует в конкурсе";"2287443";"—"
"23";"3";"—";"291000";"100 100 81";"10000";"Участвует в конкурсе";"1957075";"—"
"24";"11";"—";"291000";"100 92 89";"10000";"Участвует в конкурсе";"1502756";"—"
"25";"6";"—";"291000";"98 97 86";"10000";"Участвует в конкурсе";"2216239";"—"
"26";"1";"—";"290000";"100 99 91";"—";"Участвует в конкурсе";"1205259";"—"
"28";"4";"—";"290000";"100 94 86";"10000";"Участвует в конкурсе";"2240745";"—"
"29";"3";"—";"290000";"94 97 89";"10000";"Участвует в конкурсе";"1397815";"—"
