"Порядковый номер";"Приоритет конкурса";"Подано согласие";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"1";"Электронное";"1000";"x x x";"10000";"Участвует в конкурсе";"1519816";"—"
"2";"1";"Электронное";"1000";"x x x";"—";"Участвует в конкурсе";"1509559";"—"
"3";"6";"—";"305000";"100 95 100";"10000";"Участвует в конкурсе";"1268572";"—"
"4";"3";"—";"304000";"98 99 97";"10000";"Участвует в конкурсе";"1579447";"—"
"5";"1";"—";"303000";"96 97 100";"10000";"Участвует в конкурсе";"1595908";"—"
"6";"1";"—";"302000";"100 98 94";"10000";"Участвует в конкурсе";"1986029";"—"
"7";"1";"—";"302000";"100 98 94";"10000";"Участвует в конкурсе";"2246035";"—"
"8";"3";"—";"302000";"100 95 97";"10000";"Участвует в конкурсе";"1366907";"—"
"9";"5";"—";"302000";"96 96 100";"10000";"Участвует в конкурсе";"1624612";"—"
"11";"3";"—";"301000";"98 99 94";"10000";"Участвует в конкурсе";"1353197";"—"
"12";"1";"—";"300000";"100 99 94";"7000";"Участвует в конкурсе";"1820800";"—"
"13";"4";"—";"300000";"100 99 91";"10000";"Участвует в конкурсе";"1617830";"—"
"14";"3";"—";"300000";"100 90 100";"10000";"Участвует в конкурсе";"1283741";"—"
"15";"4";"—";"300000";"98 98 94";"10000";"Участвует в конкурсе";"1413880";"—"
"16";"5";"—";"300000";"98 98 94";"10000";"Участвует в конкурсе";"1785651";"—"
"17";"3";"—";"300000";"90 100 100";"10000";"Участвует в конкурсе";"2134193";"—"
"18";"1";"—";"299000";"100 100 89";"10000";"Участвует в конкурсе";"1255485";"—"
"19";"21";"—";"299000";"100 98 91";"10000";"Участвует в конкурсе";"1290308";"—"
"20";"3";"—";"299000";"100 95 94";"10000";"Участвует в конкурсе";"1582347";"—"
"21";"1";"—";"299000";"100 92 97";"10000";"Участвует в конкурсе";"2001118";"—"
"22";"4";"—";"299000";"98 100 91";"10000";"Участвует в конкурсе";"1563596";"—"
"23";"1";"—";"299000";"98 94 97";"10000";"Участвует в конкурсе";"1823670";"—"
"24";"4";"—";"298000";"100 94 94";"10000";"Участвует в конкурсе";"1748025";"—"
"25";"5";"—";"298000";"98 93 97";"10000";"Участвует в конкурсе";"2196123";"—"
"26";"7";"—";"298000";"96 98 94";"10000";"Участвует в конкурсе";"1728267";"—"
"27";"5";"—";"298000";"94 94 100";"10000";"Участвует в конкурсе";"1829920";"—"
"29";"1";"—";"297000";"98 100 89";"10000";"Участвует в конкурсе";"1556881";"—"
"31";"1";"—";"296000";"100 97 89";"10000";"Участвует в конкурсе";"1766190";"—"
"32";"3";"—";"296000";"100 92 94";"10000";"Участвует в конкурсе";"1210502";"—"
"33";"2";"—";"296000";"100 92 94";"10000";"Участвует в конкурсе";"1583964";"—"
"34";"4";"—";"295000";"100 98 94";"3000";"Участвует в конкурсе";"2171054";"—"
"35";"3";"—";"295000";"100 96 89";"10000";"Участвует в конкурсе";"1399276";"—"
"36";"5";"—";"295000";"100 96 89";"10000";"Участвует в конкурсе";"1314658";"—"
"38";"3";"—";"295000";"98 98 89";"10000";"Участвует в конкурсе";"2329576";"—"
"39";"1";"—";"295000";"98 96 91";"10000";"Участвует в конкурсе";"1342346";"—"
"40";"2";"—";"295000";"96 98 91";"10000";"Участвует в конкурсе";"1205765";"—"
"41";"3";"—";"295000";"94 100 91";"10000";"Участвует в конкурсе";"1751954";"—"
"42";"11";"Электронное";"294000";"98 95 91";"10000";"Участвует в конкурсе";"1852695";"—"
"43";"4";"—";"294000";"96 94 94";"10000";"Участвует в конкурсе";"1430424";"—"
"44";"3";"—";"294000";"92 98 94";"10000";"Участвует в конкурсе";"1252735";"—"
"45";"1";"—";"294000";"90 97 97";"10000";"Участвует в конкурсе";"1353274";"—"
"46";"3";"—";"293000";"100 94 91";"8000";"Участвует в конкурсе";"1513962";"—"
"47";"3";"—";"293000";"100 97 86";"10000";"Участвует в конкурсе";"1073739";"—"
"48";"4";"—";"293000";"100 97 86";"10000";"Участвует в конкурсе";"2206886";"—"
"49";"3";"—";"293000";"98 99 86";"10000";"Участвует в конкурсе";"1420687";"—"
"50";"8";"—";"293000";"98 96 89";"10000";"Участвует в конкурсе";"2251021";"—"
"51";"3";"—";"293000";"96 98 89";"10000";"Участвует в конкурсе";"1367043";"—"
"52";"3";"—";"292000";"94 98 100";"—";"Участвует в конкурсе";"2097462";"—"
"53";"4";"—";"292000";"98 95 94";"5000";"Участвует в конкурсе";"1678328";"—"
"55";"1";"—";"292000";"98 98 86";"10000";"Участвует в конкурсе";"2220409";"—"
"56";"2";"—";"292000";"94 99 89";"10000";"Участвует в конкурсе";"1624726";"—"
"57";"1";"—";"292000";"92 96 94";"10000";"Участвует в конкурсе";"1668842";"—"
"58";"2";"—";"292000";"86 99 97";"10000";"Участвует в конкурсе";"1788818";"—"
"59";"2";"—";"292000";"86 99 97";"10000";"Участвует в конкурсе";"2274566";"—"
"60";"3";"—";"291000";"100 100 91";"—";"Участвует в конкурсе";"1088908";"—"
"61";"3";"—";"291000";"100 100 81";"10000";"Участвует в конкурсе";"1980776";"—"
"62";"1";"—";"291000";"98 97 86";"10000";"Участвует в конкурсе";"1275001";"—"
"63";"1";"—";"291000";"98 97 86";"10000";"Участвует в конкурсе";"2216239";"—"
"64";"2";"—";"291000";"94 96 91";"10000";"Участвует в конкурсе";"2002346";"—"
"65";"5";"—";"291000";"94 96 91";"10000";"Участвует в конкурсе";"1208985";"—"
"66";"3";"—";"291000";"94 96 91";"10000";"Участвует в конкурсе";"2251708";"—"
"67";"2";"—";"291000";"94 90 97";"10000";"Участвует в конкурсе";"2128321";"—"
"68";"5";"—";"291000";"88 96 97";"10000";"Участвует в конкурсе";"2138475";"—"
"69";"5";"—";"290000";"100 99 91";"—";"Участвует в конкурсе";"1205259";"—"
"71";"3";"—";"290000";"92 95 100";"3000";"Участвует в конкурсе";"1853192";"—"
"73";"2";"—";"290000";"100 94 86";"10000";"Участвует в конкурсе";"2240745";"—"
"74";"4";"—";"290000";"98 96 86";"10000";"Участвует в конкурсе";"1480407";"—"
"75";"2";"—";"290000";"94 100 86";"10000";"Участвует в конкурсе";"1857572";"—"
"76";"2";"—";"289000";"100 96 83";"10000";"Участвует в конкурсе";"1215587";"—"
"77";"5";"—";"289000";"100 90 89";"10000";"Участвует в конкурсе";"1499758";"—"
"78";"1";"Электронное";"289000";"98 92 89";"10000";"Участвует в конкурсе";"1339145";"—"
"79";"5";"—";"289000";"98 90 91";"10000";"Участвует в конкурсе";"1822346";"—"
"80";"2";"—";"289000";"94 94 91";"10000";"Участвует в конкурсе";"1789225";"—"
"81";"4";"—";"289000";"92 90 97";"10000";"Участвует в конкурсе";"1215076";"—"
"82";"2";"—";"289000";"86 99 94";"10000";"Участвует в конкурсе";"1712487";"—"
"83";"5";"—";"288000";"94 92 100";"2000";"Участвует в конкурсе";"1436659";"—"
"84";"2";"—";"288000";"100 90 89";"9000";"Участвует в конкурсе";"1052044";"—"
"85";"3";"—";"288000";"100 100 78";"10000";"Участвует в конкурсе";"2002180";"—"
"86";"2";"—";"288000";"100 100 78";"10000";"Участвует в конкурсе";"1393665";"—"
"87";"1";"—";"288000";"100 92 86";"10000";"Участвует в конкурсе";"1560630";"—"
"90";"5";"—";"288000";"98 94 86";"10000";"Участвует в конкурсе";"1322169";"—"
"91";"3";"—";"288000";"98 86 94";"10000";"Участвует в конкурсе";"1312802";"—"
"92";"1";"—";"288000";"96 88 94";"10000";"Участвует в конкурсе";"1104989";"—"
"93";"2";"—";"287000";"100 95 89";"3000";"Участвует в конкурсе";"1650959";"—"
"94";"1";"—";"287000";"100 96 81";"10000";"Участвует в конкурсе";"1242749";"—"
"95";"2";"—";"287000";"100 94 83";"10000";"Участвует в конкурсе";"1772722";"—"
"96";"2";"—";"287000";"100 94 83";"10000";"Участвует в конкурсе";"985367";"—"
"97";"6";"—";"287000";"98 96 83";"10000";"Участвует в конкурсе";"1204319";"—"
"98";"2";"—";"287000";"96 95 86";"10000";"Участвует в конкурсе";"1976657";"—"
"99";"2";"—";"287000";"94 92 91";"10000";"Участвует в конкурсе";"1436151";"—"
"100";"1";"—";"287000";"88 95 94";"10000";"Участвует в конкурсе";"1704492";"—"
"101";"1";"—";"286000";"96 98 89";"3000";"Участвует в конкурсе";"1425217";"—"
"102";"2";"—";"286000";"98 100 78";"10000";"Участвует в конкурсе";"976787";"—"
"104";"4";"—";"286000";"98 95 83";"10000";"Участвует в конкурсе";"1997502";"—"
