"Порядковый номер";"Приоритет конкурса";"Подано согласие";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"2";"—";"291000";"94 96 91";"10000";"Участвует в конкурсе";"2002346";"—"
"2";"2";"—";"279000";"92 88 89";"10000";"Участвует в конкурсе";"1461437";"—"
"4";"2";"—";"264000";"96 86 72";"10000";"Участвует в конкурсе";"1943832";"—"
"5";"3";"—";"263000";"86 96 81";"—";"Участвует в конкурсе";"1396342";"—"
"6";"3";"—";"261000";"88 90 73";"10000";"Участвует в конкурсе";"1880268";"—"
"7";"3";"—";"247000";"88 93 66";"—";"Участвует в конкурсе";"1830803";"—"
"8";"3";"—";"245000";"74 86 75";"10000";"Участвует в конкурсе";"1286125";"—"
"9";"2";"—";"243000";"84 78 81";"—";"Участвует в конкурсе";"1213680";"—"
"10";"2";"—";"243000";"68 86 89";"—";"Участвует в конкурсе";"1845255";"—"
"11";"5";"Электронное";"243000";"84 90 67";"2000";"Участвует в конкурсе";"1347384";"—"
"13";"3";"Электронное";"234000";"70 76 78";"10000";"Участвует в конкурсе";"1794829";"—"
"14";"1";"—";"232000";"80 72 70";"10000";"Участвует в конкурсе";"1181900";"—"
"15";"2";"—";"230000";"74 78 75";"3000";"Участвует в конкурсе";"1106859";"—"
"16";"3";"—";"224000";"79 78 67";"—";"Участвует в конкурсе";"2248393";"—"
"17";"5";"—";"224000";"79 76 66";"3000";"Участвует в конкурсе";"2168628";"—"
"18";"3";"—";"219000";"71 76 72";"—";"Участвует в конкурсе";"1680582";"—"
"19";"3";"Электронное";"215000";"55 100 50";"10000";"Участвует в конкурсе";"1402124";"—"
"20";"5";"—";"211000";"68 76 67";"—";"Участвует в конкурсе";"1553132";"—"
"21";"7";"—";"206000";"67 76 63";"—";"Участвует в конкурсе";"1625348";"—"
"22";"2";"Электронное";"199000";"58 64 77";"—";"Участвует в конкурсе";"2176589";"—"
"23";"1";"—";"186000";"54 64 63";"5000";"Участвует в конкурсе";"1262424";"—"
"25";"2";"Электронное";"177000";"65 46 66";"—";"Участвует в конкурсе";"1174084";"—"
"26";"3";"—";"172000";"68 52 52";"—";"Участвует в конкурсе";"1205349";"—"
"27";"2";"—";"160000";"51 46 63";"—";"Участвует в конкурсе";"1998084";"—"
